TF	Gene	rank
FBgn0267033	FBgn0038551	637
FBgn0024244	FBgn0261963	638
FBgn0037717	FBgn0037722	639
FBgn0003866	FBgn0003963	640
FBgn0003118	FBgn0040466	641
FBgn0004893	FBgn0003053	642
FBgn0032587	FBgn0039355	643
FBgn0259234	FBgn0033010	644
FBgn0278608	FBgn0283521	645
FBgn0019650	FBgn0005612	646
FBgn0029824	FBgn0039712	647
FBgn0027339	FBgn0050020	648
FBgn0011655	FBgn0052767	649
FBgn0278608	FBgn0005427	650
FBgn0033010	FBgn0032814	651
FBgn0000659	FBgn0003118	652
FBgn0015602	FBgn0003870	653
FBgn0262160	FBgn0034114	654
FBgn0086655	FBgn0051388	655
FBgn0261963	FBgn0004050	656
FBgn0013263	FBgn0262975	657
FBgn0278608	FBgn0011236	658
FBgn0003651	FBgn0003866	659
FBgn0002914	FBgn0038016	660
FBgn0027339	FBgn0038472	661
FBgn0278608	FBgn0036134	662
FBgn0037717	FBgn0025874	663
FBgn0015602	FBgn0038244	664
FBgn0262636	FBgn0016076	665
FBgn0042696	FBgn0265574	666
FBgn0004859	FBgn0260741	667
FBgn0019650	FBgn0034599	668
FBgn0015371	FBgn0029824	669
FBgn0259176	FBgn0010228	670
FBgn0002609	FBgn0003512	671
FBgn0263112	FBgn0001180	672
FBgn0261963	FBgn0034534	673
FBgn0038244	FBgn0031759	674
FBgn0262160	FBgn0037918	675
FBgn0029504	FBgn0039350	676
FBgn0027339	FBgn0037619	677
FBgn0036152	FBgn0033782	678
FBgn0000504	FBgn0003507	679
FBgn0025525	FBgn0037621	680
FBgn0039209	FBgn0000611	681
FBgn0028996	FBgn0086680	682
FBgn0039209	FBgn0034878	683
FBgn0003963	FBgn0034062	684
FBgn0005659	FBgn0039044	685
FBgn0085450	FBgn0030314	686
FBgn0052772	FBgn0032130	687
FBgn0003053	FBgn0003512	688
FBgn0020309	FBgn0000412	689
FBgn0267792	FBgn0029824	690
FBgn0262160	FBgn0039509	691
FBgn0001180	FBgn0000546	692
FBgn0003053	FBgn0003507	693
FBgn0028996	FBgn0262636	694
FBgn0085405	FBgn0004510	695
FBgn0013263	FBgn0004606	696
