	A_C_0_5	A_C_1	A_C_2	A_C_3	A_C_4	A_C_5	A_C_6	A_C_8	A_C_12	A_C_24	B_C_0_5	B_C_1	B_C_2	B_C_3	B_C_4	B_C_5	B_C_6	B_C_8	B_C_12	B_C_24	C_C_0_5	C_C_1	C_C_4	C_C_5	C_C_6	C_C_8	C_C_12	C_C_24
FBgn0003459	5.791180955431305	5.672211351843808	6.500378597824143	5.503655510466922	6.2159886487565466	7.613805515797283	7.067660733207042	5.775014483559424	6.495763119850927	6.222059610408381	6.019727803606884	5.573083088151103	6.696968588878083	6.197245174975103	6.847174707718129	6.978668856097281	7.560082109261323	6.1581663542486975	5.42590169325128	5.996674431329104	6.426776717386055	6.084035816256054	8.041832654618396	6.754445047780323	5.848731773950202	6.618687556955127	7.302746355359729	6.790316307621576
FBgn0003460	10.856692395231727	10.725972557849373	11.355507652401505	8.997351612103293	10.847165770515067	10.387766594899889	11.178323426346562	11.578539262183874	9.795266956362743	10.663035603900443	10.98792545387493	9.064483990624687	11.473544389671876	11.01007636029864	11.600961431422512	10.4888331887155	10.24835157786852	10.958640143097634	10.199125300022487	11.309443688071974	9.832787623939938	10.512293874968073	12.565674300928174	10.241959645874749	8.220451036072776	11.163197138308258	10.760236151830938	10.118790925894766
FBgn0003507	34.14126681452965	40.8827270312218	41.41500002805541	39.05162389065134	32.978206077315484	36.80362755865724	34.90669343472967	36.443869656093774	29.70932265682217	28.5079499505495	29.57156975689468	36.279821981435504	35.60995333091942	31.971877981922216	36.08667789296172	36.54309068755854	34.75471697822142	38.83930258509697	31.65948789058529	24.710589436948908	32.3891810278398	36.004736736790754	36.39492921103771	40.945905464642514	36.16249469983255	44.02175752921372	31.52510603451087	26.60300251593772
FBgn0003512	19.25521482659537	19.485761151196325	17.202954149907487	16.61077866206104	17.779440565557508	17.115619581316523	17.538371641697402	18.90847025210442	15.131408352299111	16.898532503272595	20.958488517413645	17.592908115009777	18.859427440854223	16.67951690233202	17.641277126968298	16.077395828271417	12.878049075446768	15.17281153000382	12.75465342052044	18.601430269318037	13.835610728074617	16.057328940454102	13.733613992816894	12.977554288326033	13.395986345681417	14.242206952811369	15.554993999944674	9.11095125878467
FBgn0003567	10.03291861998076	10.631715303572651	8.718705331329435	8.494775021116007	10.898043615250153	11.011956562701402	11.414633106878169	11.35751389117522	12.688434140154351	14.744466118959677	11.38817435548659	10.16353387362031	10.8609356141958	10.240625366102124	11.529422813242231	11.108838673061976	12.485027457761898	12.198174755004745	12.883018119044356	11.670336239256036	10.6063696606057	9.76099800714844	11.43214506386649	10.508659624804078	9.11194709928576	12.314343118327264	11.791739479491342	15.060155106519408
FBgn0003598	10.317728417808636	10.379403948702256	10.30722106072452	10.534314038396309	11.64011601768866	12.011949331487193	12.264669635086952	9.993722277238778	12.451316543110106	13.042320197224493	10.475529042837014	10.613494455675443	11.800707264554331	11.440028560468985	12.62453260800663	12.53285665556694	13.061999107776996	10.8882821993351	11.794166797781386	11.527146801185737	10.33259638472341	10.956447018990362	11.700623553881874	10.825507502283022	10.341400074965955	12.501624195465926	13.83540951766176	13.0074382438532
FBgn0003612	43.60679665785607	41.336432131524965	40.8484344511874	33.476920573649	40.224744684687046	43.224400775412434	47.6930044638746	39.96807433446238	40.88856473761779	42.384263528661286	41.14996334844021	38.46982743170331	43.62983952534345	43.35617390523331	41.72810989050876	43.17744656410616	42.80238280353405	42.492338279355806	38.30347831955945	43.63099027015823	39.46247649678706	39.57635500212793	47.4146507608662	40.12175981166151	39.21554188483266	43.3421683984721	46.25957389226257	44.96615891835119
FBgn0003651	35.07627455206955	50.59962521066844	45.28255090061742	36.57275886319257	30.616739445947093	35.918628727420334	37.88232511526997	42.622991033513244	37.1204700023473	35.88960055105577	30.579075889743137	45.73409753438797	37.71404316612133	33.48659027360142	32.28827265880842	33.173342672429975	35.5275708667141	36.10803909542936	35.55705408581986	26.642219103574813	31.43882679981049	40.715874101005696	33.3503147320566	36.28644605649173	35.30716872114703	46.022176488249166	35.793733594467284	29.972339256752115
FBgn0003866	3.521072780219305	3.3758778736374477	2.7708452143873594	2.5973313315669007	3.995856210518287	4.006245002260687	4.0297848573412285	4.024849728622014	3.914426228776585	3.555135502359523	3.63565192551728	3.283047435716409	4.321139672017062	3.998548367659559	3.8709242889703503	4.614870790236191	4.864751272088485	4.019215112992427	3.986770393800913	3.743935854766372	3.982821327268291	3.5703871232614057	4.708913774838267	4.073580697199771	3.8780896716960593	3.5184939228945304	4.271800254743994	3.993219046217322
FBgn0003870	33.19776001376611	34.23891935882629	34.79336119204359	35.26411766976037	42.082749685777536	38.78090321664591	43.24515199052797	38.61651254069107	39.34684726419029	35.455337601947654	34.704097753176775	32.46239068128279	37.293087950720654	37.53587139139714	39.60316831479904	39.28790493692389	44.59387012203579	40.3175904706863	40.24612587749598	35.17493438132984	33.384472679603626	34.46979850769895	47.30819269466434	38.89955532767628	37.139742666896616	42.36077365250959	41.65083586243571	40.47311697190474
