"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
280	1,0000000	0,4164950	0,6247446	0,1194885	0,1521141	0,7749918	0,0195798	0,6901292	0,7000272	0,4063729	0,8464851	0,0111870	0,1849254	0,2734909	0,4124005	0,0330835
300	1,0000000	0,4164950	0,6247446	0,1194885	0,1521090	0,7749918	0,0175809	0,6901292	0,7000272	0,4063729	0,8464851	0,0111648	0,1847190	0,2734909	0,4124001	0,0330835
320	1,0000000	0,4164950	0,6247446	0,1194885	0,1521049	0,7749918	0,0161710	0,6901292	0,7000272	0,4063729	0,8464851	0,0111531	0,1845865	0,2734909	0,4123998	0,0330835
340	1,0000000	0,4164950	0,6247446	0,1194885	0,1521014	0,7749918	0,0151766	0,6901292	0,7000272	0,4063729	0,8464851	0,0111470	0,1845013	0,2734909	0,4123997	0,0330835
360	1,0000000	0,4164950	0,6247446	0,1194885	0,1520986	0,7749918	0,0144752	0,6901292	0,7000272	0,4063729	0,8464851	0,0111438	0,1844466	0,2734909	0,4123995	0,0330835
380	1,0000000	0,4164950	0,6247446	0,1194885	0,1520962	0,7749918	0,0139804	0,6901292	0,7000272	0,4063729	0,8464851	0,0111421	0,1844115	0,2734909	0,4123994	0,0330835
400	1,0000000	0,4164950	0,6247446	0,1194885	0,1520943	0,7749918	0,0136315	0,6901292	0,7000272	0,4063729	0,8464851	0,0111412	0,1843889	0,2734909	0,4123993	0,0330835
420	1,0000000	0,4164950	0,6247446	0,1194885	0,1520927	0,7749918	0,0133854	0,6901292	0,7000272	0,4063729	0,8464851	0,0111407	0,1843744	0,2734909	0,4123993	0,0330835
440	1,0000000	0,4164950	0,6247446	0,1194885	0,1520914	0,7749918	0,0132118	0,6901292	0,7000272	0,4063729	0,8464851	0,0111405	0,1843651	0,2734909	0,4123992	0,0330835
460	1,0000000	0,4164950	0,6247446	0,1194885	0,1520904	0,7749918	0,0130893	0,6901292	0,7000272	0,4063729	0,8464851	0,0111403	0,1843591	0,2734909	0,4123992	0,0330835
480	1,0000000	0,4164950	0,6247446	0,1194885	0,1520895	0,7749918	0,0130030	0,6901292	0,7000272	0,4063729	0,8464851	0,0111403	0,1843553	0,2734909	0,4123992	0,0330835
500	1,0000000	0,4164950	0,6247446	0,1194885	0,1520888	0,7749918	0,0129421	0,6901292	0,7000272	0,4063729	0,8464851	0,0111402	0,1843528	0,2734909	0,4123992	0,0330835
520	1,0000000	0,4164950	0,6247446	0,1194885	0,1520882	0,7749918	0,0128991	0,6901292	0,7000272	0,4063729	0,8464851	0,0111402	0,1843512	0,2734909	0,4123992	0,0330835
