"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
140	0,5642644	0,8795671	0,0855313	0,0110114	0,8682868	0,3331484	0,8616326	0,8609956	0,7640116	0,6592991	0,0430419	0,6540843	0,3375675	0,6307617	0,5995120	0,0845607
160	0,5651275	0,8785543	0,0876391	0,0070102	0,8764844	0,3448906	0,8758419	0,8640028	0,7533894	0,6744480	0,0440878	0,6630239	0,3449634	0,6456928	0,5936374	0,0814812
180	0,5659236	0,8779789	0,0892840	0,0044905	0,8813124	0,3520172	0,8887410	0,8656778	0,7452850	0,6858277	0,0449051	0,6691452	0,3506206	0,6558411	0,5894698	0,0798319
200	0,5665298	0,8776520	0,0905165	0,0029037	0,8840400	0,3561553	0,8999324	0,8666280	0,7393544	0,6940903	0,0454835	0,6731524	0,3547249	0,6624311	0,5866426	0,0789507
220	0,5669417	0,8774663	0,0914111	0,0019043	0,8855125	0,3584818	0,9092615	0,8671688	0,7351572	0,6999281	0,0458650	0,6756724	0,3575833	0,6665395	0,5847970	0,0784781
240	0,5671984	0,8773608	0,0920443	0,0012748	0,8862661	0,3597579	0,9167820	0,8674734	0,7322659	0,7039629	0,0461029	0,6771997	0,3595098	0,6690054	0,5836326	0,0782218
260	0,5673462	0,8773009	0,0924838	0,0008781	0,8866268	0,3604439	0,9226833	0,8676416	0,7303167	0,7067028	0,0462442	0,6780935	0,3607743	0,6704327	0,5829200	0,0780804
280	0,5674242	0,8772668	0,0927844	0,0006282	0,8867843	0,3608065	0,9272172	0,8677319	0,7290248	0,7085380	0,0463245	0,6785992	0,3615865	0,6712300	0,5824956	0,0780006
300	0,5674611	0,8772475	0,0929879	0,0004708	0,8868438	0,3609952	0,9306443	0,8677789	0,7281794	0,7097547	0,0463682	0,6788762	0,3620994	0,6716599	0,5822490	0,0779544
320	0,5674756	0,8772365	0,0931246	0,0003715	0,8868604	0,3610920	0,9332026	0,8678026	0,7276311	0,7105557	0,0463912	0,6790232	0,3624193	0,6718838	0,5821087	0,0779270
340	0,5674790	0,8772302	0,0932162	0,0003090	0,8868611	0,3611411	0,9350941	0,8678141	0,7272774	0,7110810	0,0464027	0,6790991	0,3626172	0,6719968	0,5820302	0,0779106
360	0,5674779	0,8772267	0,0932775	0,0002696	0,8868577	0,3611658	0,9364825	0,8678194	0,7270496	0,7114250	0,0464084	0,6791375	0,3627392	0,6720523	0,5819866	0,0779006
380	0,5674753	0,8772247	0,0933185	0,0002447	0,8868546	0,3611782	0,9374961	0,8678219	0,7269028	0,7116505	0,0464111	0,6791568	0,3628145	0,6720794	0,5819624	0,0778946
400	0,5674727	0,8772235	0,0933460	0,0002291	0,8868530	0,3611844	0,9382329	0,8678231	0,7268077	0,7117988	0,0464125	0,6791667	0,3628613	0,6720930	0,5819488	0,0778910
420	0,5674707	0,8772229	0,0933645	0,0002192	0,8868527	0,3611876	0,9387669	0,8678237	0,7267459	0,7118967	0,0464133	0,6791721	0,3628907	0,6721003	0,5819410	0,0778889
440	0,5674694	0,8772225	0,0933771	0,0002130	0,8868532	0,3611893	0,9391530	0,8678241	0,7267054	0,7119615	0,0464137	0,6791754	0,3629093	0,6721047	0,5819363	0,0778877
460	0,5674685	0,8772223	0,0933856	0,0002091	0,8868541	0,3611903	0,9394317	0,8678244	0,7266787	0,7120047	0,0464141	0,6791775	0,3629212	0,6721077	0,5819334	0,0778871
480	0,5674680	0,8772222	0,0933914	0,0002066	0,8868550	0,3611908	0,9396326	0,8678246	0,7266611	0,7120335	0,0464143	0,6791790	0,3629290	0,6721100	0,5819315	0,0778868
500	0,5674678	0,8772221	0,0933953	0,0002051	0,8868557	0,3611912	0,9397772	0,8678248	0,7266493	0,7120529	0,0464145	0,6791801	0,3629341	0,6721117	0,5819302	0,0778866
520	0,5674676	0,8772221	0,0933980	0,0002041	0,8868564	0,3611914	0,9398813	0,8678249	0,7266415	0,7120659	0,0464147	0,6791810	0,3629374	0,6721130	0,5819294	0,0778865
