"Time"	yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP
780	0,3315182	0,6707132	0,6700833	1,0290980	0,5035843	0,2108823	0,3886256	0,4358075	0,0155650	0,9193005	0,1304125	0,9701560	0,8356077	0,6329104	0,0156622	0,2977391
800	0,3672482	0,6670783	0,6671277	0,9445617	0,4653549	0,1865963	0,3752438	0,4819477	0,0165597	0,8281985	0,1355822	1,0292686	0,9001821	0,6375213	0,0219114	0,2805364
820	0,3740972	0,6276593	0,6196585	0,9646233	0,5002305	0,1901825	0,3455071	0,4473145	0,0251389	0,8378750	0,1389709	1,0596788	0,9384768	0,6269446	0,0086695	0,2807771
840	0,3932476	0,6879994	0,6173892	1,0116485	0,4648299	0,2435553	0,3090284	0,4499721	0,0207045	0,8840060	0,1454303	1,0171667	0,9542589	0,6380714	0,0084625	0,2679497
860	0,3917387	0,6962386	0,6581900	1,0004452	0,5262658	0,2797759	0,3058936	0,4297005	0,0212130	0,8705775	0,1637608	0,9684001	0,9226964	0,6292425	0,0104196	0,2636242
880	0,3953606	0,6872546	0,6565290	1,0474991	0,5635063	0,2262248	0,3118462	0,3669498	0,0168205	0,8707980	0,1385869	0,9533859	0,9285173	0,6095534	0,0067210	0,2487480
900	0,3826931	0,6925229	0,6207849	0,9467581	0,5469345	0,2350772	0,3384591	0,3896801	0,0201204	0,8874395	0,1209866	0,9427180	0,9227637	0,6881029	0,0035902	0,2686120
920	0,3499316	0,6140152	0,5897436	0,9870365	0,5240070	0,1996019	0,3282717	0,3460278	0,0190989	0,8851741	0,1311616	0,9817519	0,9086182	0,6755142	0,0044534	0,2978458
940	0,3152016	0,6559547	0,6528255	0,9869931	0,5052820	0,2209207	0,3601776	0,4072321	0,0237550	0,8833506	0,1457866	0,9902524	0,9947784	0,7605707	0,0194514	0,2757155
960	0,3615780	0,6798305	0,6915457	1,0404499	0,4925772	0,1973367	0,3802285	0,4272303	0,0137737	0,9147030	0,1468432	0,9718121	0,9950470	0,7627086	0,0142922	0,3006242
980	0,3801973	0,6569941	0,7067302	1,0257749	0,4513934	0,1798159	0,3874301	0,4613516	0,0163655	0,9385814	0,1477511	0,9453130	0,9688185	0,7606314	0,0051981	0,3107780
1000	0,3542890	0,6472526	0,6431924	0,9792148	0,4182623	0,1671071	0,3836416	0,4508208	0,0157212	0,9041528	0,1518904	0,9992051	0,8987535	0,7111602	0,0021348	0,3282852
1020	0,3688826	0,6359271	0,6619435	0,9500562	0,4315278	0,1836571	0,3524915	0,3934637	0,0145308	0,9190036	0,1551569	0,9960337	0,8985848	0,6651546	0,0000000	0,2881882
1040	0,3776042	0,6277457	0,6226436	0,9684664	0,4949679	0,1941147	0,3248591	0,3634444	0,0207271	0,9377068	0,1424336	0,9134200	0,8953150	0,6691582	0,0070360	0,2921075
1060	0,3961969	0,6968152	0,6131933	0,9460013	0,5161073	0,2074921	0,3814931	0,3915246	0,0186212	0,9251771	0,1398113	0,8812112	0,8653632	0,6772830	0,0101190	0,2916878
1080	0,3856040	0,7859218	0,6120341	0,9657772	0,5365369	0,2064910	0,3626373	0,3780064	0,0147417	0,9064931	0,1226855	0,8940276	0,8823576	0,7273814	0,0137950	0,2698092
1100	0,4005772	0,7543803	0,6331372	0,9693570	0,5232947	0,1711041	0,3448550	0,3992223	0,0169317	0,8395225	0,1195214	0,9251608	0,9299891	0,7402512	0,0098120	0,2910948

0	0,4000132	0,6515465	0,5796497	1,0480861	0,5080704	0,1654157	0,3372386	0,4314835	0,0065202	0,8968690	0,1676354	1,0203437	0,8801678	0,6643341	0,0184241	0,3004976
20	0,3622675	0,6638740	0,4724687	0,8954939	0,4867008	0,2123131	0,3286682	0,4259129	0,0104591	0,8410286	0,1395608	0,9840298	0,7504916	0,5690043	0,0298567	0,2352459
40	0,3529457	0,6868812	0,3705366	0,8257156	0,5076275	0,1931446	0,3365319	0,3708340	0,0150629	0,7649010	0,1304522	0,9961957	0,6845447	0,6121938	0,0126652	0,2583725
60	0,3669810	0,7310688	0,3283418	0,7910843	0,4715086	0,1837047	0,3278906	0,3709916	0,0093010	0,6288743	0,1332460	1,0335957	0,6463941	0,6324053	0,0171629	0,2502244
80	0,4003498	0,7416313	0,3242632	0,8085724	0,5203832	0,1924393	0,3295026	0,3963592	0,0053879	0,5771038	0,1491655	1,0260096	0,6338796	0,6890027	0,0217221	0,2754463
100	0,4168193	0,6801209	0,2765604	0,7382901	0,4936353	0,1771303	0,3659070	0,4068783	0,0070686	0,5602553	0,1257371	1,0129376	0,6264148	0,7258265	0,0269145	0,3160638
120	0,4184289	0,6434817	0,3176519	0,7240197	0,4872755	0,1736543	0,3461798	0,4227955	0,0026984	0,6082018	0,1233868	0,9499395	0,6626252	0,6551115	0,0172325	0,2996856
140	0,4085610	0,6461809	0,3391737	0,7677414	0,4971747	0,2063124	0,3819369	0,3933406	0,0041773	0,6292193	0,1306408	0,9681027	0,5917038	0,6638462	0,0185315	0,3514848
160	0,3933279	0,5863274	0,3664888	0,7963084	0,5471621	0,2367522	0,3646289	0,4322080	0,0005819	0,6594921	0,1415116	1,0356696	0,6262020	0,6921464	0,0254676	0,3522797
180	0,3961896	0,5370663	0,3960110	0,8060406	0,5947171	0,1918702	0,3358291	0,4018416	0,0012171	0,6324096	0,1569417	0,9989004	0,6358339	0,6804858	0,0204755	0,2971976
200	0,3891850	0,6058071	0,3608520	0,7615450	0,5215254	0,1946716	0,3160044	0,4382623	0,0013295	0,6099572	0,1575539	1,0840308	0,5754195	0,6390298	0,0131615	0,2457306
220	0,3877779	0,6654453	0,3479652	0,7727367	0,4976101	0,1592211	0,3154027	0,4312671	0,0026869	0,6145809	0,1577896	1,0198597	0,5946394	0,6163544	0,0158320	0,2117531
240	0,3481423	0,6426295	0,3839600	0,8129829	0,4652681	0,1654564	0,3082114	0,4039656	0,0004411	0,5788372	0,1374088	1,0470013	0,5640691	0,5415654	0,0144651	0,2612389
260	0,3174336	0,5496488	0,3151707	0,7783679	0,5299348	0,1650753	0,3009320	0,3771926	0,0021460	0,6153756	0,1265561	1,0309164	0,5210536	0,5492364	0,0046104	0,2687370
280	0,2978126	0,6079079	0,3361206	0,6700332	0,5275181	0,2035611	0,3451587	0,3865413	0,0029815	0,5892839	0,1028118	1,0083886	0,5736508	0,5516202	0,0124250	0,3198550
300	0,3304771	0,6448587	0,3401115	0,7576700	0,4852828	0,2074117	0,3412478	0,3935307	0,0000000	0,6264041	0,0916718	0,9597393	0,5948889	0,5869595	0,0100833	0,2592451
320	0,3450662	0,6968862	0,3263970	0,7443144	0,4378405	0,1968839	0,3456085	0,3851711	0,0012317	0,5977408	0,1129121	0,9210703	0,5547298	0,6361796	0,0071116	0,2538750
340	0,3779560	0,6736574	0,3424753	0,7774452	0,4319586	0,2082694	0,3342735	0,3806106	0,0057371	0,6692015	0,1190845	0,9408152	0,5227930	0,6308117	0,0134296	0,2817863
360	0,3660040	0,6155894	0,3534920	0,8118174	0,4105697	0,1933457	0,3817826	0,3834314	0,0022994	0,6746454	0,1341472	0,9559031	0,5298303	0,6325240	0,0192036	0,3309372
380	0,3981074	0,6705165	0,3408357	0,8139891	0,4084739	0,2394729	0,3580662	0,3662067	0,0064534	0,6408491	0,1539084	0,9780186	0,6109245	0,6228640	0,0231595	0,2961229
400	0,3701845	0,7119613	0,3566894	0,7757334	0,5061678	0,2136677	0,3788756	0,3889367	0,0059578	0,6296496	0,1605526	0,9418471	0,6243280	0,5991475	0,0178208	0,3567403
420	0,3666947	0,6722178	0,4246629	0,7347487	0,5086598	0,2315738	0,3503903	0,3989244	0,0047267	0,6537535	0,1445896	0,9431905	0,6264625	0,6501296	0,0208277	0,3077028
440	0,3421997	0,6397496	0,3982741	0,7023184	0,4533695	0,1999308	0,4125351	0,4324819	0,0036427	0,6967015	0,1445493	0,9051895	0,6429038	0,6427118	0,0150783	0,2947477
460	0,3619260	0,6404117	0,3905697	0,7351977	0,4330820	0,1799939	0,3615793	0,3931590	0,0047891	0,6827426	0,1453446	0,9093588	0,6351630	0,5876382	0,0162201	0,2905958
480	0,3476116	0,6295974	0,3596936	0,7107246	0,4558206	0,2266750	0,3640075	0,3783176	0,0045114	0,7062207	0,1557513	0,9777015	0,6386328	0,6882961	0,0170624	0,2992680
500	0,3513048	0,6303685	0,3143088	0,7318475	0,4656805	0,2318226	0,3426942	0,3868255	0,0076427	0,6760061	0,1634744	0,9841122	0,6469846	0,7528999	0,0169073	0,3250526
520	0,3352888	0,6674548	0,3036233	0,7490923	0,5016148	0,2429525	0,3230066	0,3912424	0,0092737	0,6825811	0,1769831	0,9489978	0,6451683	0,7578227	0,0114517	0,3174656
