"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
320	1,0822403	0,4663535	0,2372224	0,8892245	0,3094358	0,3146444	0,8930703	0,6072063	0,2754848	0,1088968	0,1586789	0,0203069	0,3866660	0,1390585	0,2221541	0,0289044
340	1,0250703	0,4781356	0,2325095	0,8522302	0,2995709	0,3338708	0,8151958	0,5863006	0,2591055	0,1073385	0,1294981	0,0175722	0,3883120	0,1511161	0,1972118	0,0442588
360	0,9625920	0,5137576	0,2466658	0,8049847	0,2868264	0,3381811	0,8328661	0,6589229	0,2639230	0,1125830	0,1330215	0,0140977	0,4226898	0,1558938	0,1901312	0,0496104
380	0,9204228	0,4962983	0,2210813	0,8064139	0,2842582	0,3597775	0,8706396	0,6631243	0,2877613	0,1095055	0,1567526	0,0141822	0,4052451	0,1615511	0,1756915	0,0370783
400	0,9516894	0,5434022	0,2241941	0,8159905	0,3118121	0,4070673	0,8667655	0,7005018	0,2885026	0,1107831	0,1684174	0,0213872	0,4128683	0,1607993	0,1684158	0,0312936
420	0,9913986	0,5603832	0,2478202	0,8405915	0,3036464	0,4246216	0,8547561	0,6623942	0,2854638	0,0811883	0,1396166	0,0232612	0,4325896	0,1559786	0,1547766	0,0397547
440	1,0474361	0,5379958	0,2385995	0,8978299	0,3148238	0,4814975	0,8442290	0,6719652	0,2643059	0,0642171	0,1610625	0,0195725	0,3887574	0,1605258	0,1746196	0,0428864
460	1,0916184	0,5654562	0,2464204	0,9374280	0,3343284	0,4813942	0,8875341	0,6611188	0,2099288	0,0628230	0,1708151	0,0108274	0,4072718	0,1675280	0,1645362	0,0385655
480	1,1170238	0,5691210	0,2369178	0,9749142	0,3400193	0,5042234	0,9533037	0,6371610	0,2197108	0,0753666	0,1593409	0,0073784	0,4150062	0,1489442	0,1890984	0,0306669
500	1,1894751	0,5341771	0,2288865	0,8919784	0,3241126	0,4709107	0,9896731	0,6041418	0,2365856	0,0906665	0,1469475	0,0093469	0,4029111	0,1315565	0,2262956	0,0232000
520	1,0995917	0,5085721	0,2970914	0,8631854	0,3157274	0,4561130	0,8928965	0,5677074	0,2214032	0,0866276	0,1534832	0,0047487	0,3791264	0,1308472	0,1826943	0,0187379
