"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
980	0,9326826	0,7145571	0,5467503	0,8024540	0,0434247	0,0682826	0,4250217	0,0039370	0,3916345	0,3624779	0,0251173	0,7221992	0,4519745	0,9222332	0,9202798	0,1956083
1000	0,9468700	0,6852193	0,6059616	0,8057800	0,0319512	0,0660193	0,3683498	0,0050088	0,3697206	0,3220588	0,0150538	0,6366967	0,4810431	0,8459548	0,9677663	0,1957535
1020	0,9229743	0,6497368	0,5910522	0,6802494	0,0360898	0,0969748	0,3815075	0,0025513	0,3778457	0,3006128	0,0167808	0,6252134	0,5851304	0,8410597	0,9433993	0,1981787
1040	0,9240195	0,5945564	0,6125725	0,6886163	0,0433232	0,0877262	0,3600112	0,0074697	0,3763952	0,2626142	0,0117794	0,6824869	0,5012829	0,8836647	0,9248699	0,1886905
1060	0,9343576	0,6361023	0,6374663	0,7412173	0,0319596	0,0758427	0,3769481	0,0076875	0,3328782	0,3032723	0,0172950	0,6321380	0,5864107	0,7875787	1,0089563	0,2125195
1080	0,9483566	0,6621594	0,6854302	0,7900127	0,0322926	0,0621794	0,3961232	0,0051795	0,3293670	0,3390898	0,0158154	0,7178848	0,4799515	0,8389745	0,9613191	0,2266882
1100	0,9450983	0,5997558	0,7340361	0,8276551	0,0265012	0,0651447	0,3923925	0,0044269	0,3709363	0,3381257	0,0208096	0,7264653	0,5376819	0,8673105	0,9920706	0,1733592

0	0,9952826	0,6492347	0,7434686	0,8462526	0,0305394	0,0891638	0,4700268	0,0069775	0,4426839	0,3798406	0,0265086	0,6857390	0,7390327	0,8228484	0,9597602	0,2029886
20	0,9129885	0,6285042	0,7686317	0,8287487	0,0290493	0,1354183	0,4463530	0,0187363	0,4348885	0,4577258	0,1104404	0,5406817	0,6136957	0,8764020	0,9584428	0,2153879
40	0,7529476	0,6831752	0,7363193	0,8524903	0,0255271	0,1957415	0,5467722	0,0268350	0,4489303	0,5415432	0,2661507	0,4287584	0,6098181	0,8924516	0,9934518	0,1695232
60	0,7042146	0,6736198	0,7340524	0,8205306	0,0328108	0,2598839	0,6368938	0,0387402	0,4475579	0,7279021	0,4204271	0,3356683	0,6477781	0,9005335	1,0045055	0,1645662
80	0,5652943	0,6608678	0,6681434	0,8315413	0,0346943	0,3274396	0,7297241	0,0457231	0,4296634	0,8516741	0,5471883	0,2742267	0,7331558	0,8581626	0,9702644	0,1709568
100	0,4537823	0,7470546	0,6701394	0,8519114	0,0192580	0,3983531	0,8401371	0,0621601	0,4202289	0,8728312	0,7711888	0,2194615	0,5911695	0,8996014	0,9897867	0,1414962
120	0,3607221	0,7736182	0,6635587	0,9231571	0,0173359	0,5091973	0,8846805	0,0610591	0,4330941	0,9220515	0,9023258	0,1723371	0,5469634	0,8439085	0,9650233	0,1358276
140	0,3487640	0,8342806	0,6324342	0,9344125	0,0097656	0,5083362	0,8573591	0,0561028	0,3652997	0,9172566	0,8842809	0,1565542	0,5977650	0,8248057	1,0568538	0,1183888
160	0,3352743	0,8486103	0,6612499	0,9522484	0,0098651	0,5286049	0,8560595	0,0573308	0,3920583	0,8440847	0,9281757	0,1333416	0,5955522	0,7926858	1,1027433	0,1152487
180	0,2901667	0,9060137	0,6729435	0,9756992	0,0123866	0,5524234	0,8749976	0,0846694	0,3762794	0,8103003	0,9506444	0,1050708	0,6367914	0,8754351	1,0833491	0,1152329
200	0,2340074	0,9677691	0,6734377	0,9869037	0,0201795	0,5443832	0,9079155	0,0763751	0,3669989	0,8540681	0,8990196	0,1292878	0,5749691	0,9097998	1,0601358	0,1387831
220	0,2583163	0,9510215	0,6999048	1,0038656	0,0193069	0,5643933	0,8286291	0,0807396	0,3580626	0,8329050	0,8406644	0,1409642	0,5923205	0,8363155	1,0668855	0,1300182
240	0,2736832	0,8871144	0,6981446	1,0389609	0,0220887	0,4952556	0,8607354	0,0796426	0,4230416	0,7886008	0,7876311	0,1403434	0,5875168	0,7951956	1,0345933	0,1404394
260	0,2928118	0,9394329	0,6158102	1,0330134	0,0214235	0,5680432	0,8682846	0,0732084	0,4316798	0,8263981	0,8387597	0,1522796	0,5288749	0,8793536	0,9830011	0,1534111
280	0,2973435	0,9984156	0,6093802	0,9599006	0,0297657	0,5608831	0,8438534	0,0671134	0,4133183	0,8019196	0,7812405	0,1668921	0,5622576	0,8722297	0,9990030	0,1668306
300	0,2897012	1,0370237	0,6661295	0,9908727	0,0371575	0,5573848	0,8691320	0,0953241	0,4130697	0,7640729	0,8811275	0,1773095	0,5637508	0,8552336	0,9694233	0,1613810
320	0,2769726	0,9774133	0,6146950	1,0034462	0,0254058	0,5031242	0,8286273	0,0837580	0,4830660	0,8584319	0,8839454	0,1919533	0,6115558	0,8708071	0,9375835	0,1508636
340	0,2802090	1,0141707	0,7130221	1,0043763	0,0280039	0,4965911	0,8715643	0,0940103	0,4666462	0,8903692	0,8330082	0,1643300	0,5605235	0,8409789	0,9492083	0,1502981
360	0,2763377	1,0158847	0,7058187	0,9511899	0,0289790	0,5094835	0,8504141	0,0859105	0,4537594	0,9506028	0,8727331	0,1822209	0,6229443	0,7256770	1,0193929	0,1619635
380	0,2806606	1,0206373	0,6599511	0,9495197	0,0280027	0,5195273	0,9695146	0,0790731	0,4342546	0,9113252	0,9447708	0,1626955	0,6480376	0,7417464	1,0208582	0,1735122
400	0,2871498	1,1010173	0,6553525	0,9701724	0,0276980	0,4835172	0,9410188	0,0836464	0,4189169	0,9523949	0,8675863	0,1408879	0,5951027	0,7972454	1,0194145	0,1844616
