"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
960	0,9609238	0,7207476	0,5845282	0,8448766	0,0326147	0,1076277	0,3865388	0,0107926	0,3560369	0,3465937	0,0106980	0,7054322	0,5326400	0,8794319	0,9061666	0,1745632
980	0,9299995	0,6812860	0,6517266	0,8008234	0,0237368	0,0989227	0,3356230	0,0093931	0,3441834	0,3090302	0,0167767	0,7375660	0,4588755	0,7756337	0,9255364	0,1981629
1000	0,9710608	0,6235508	0,6542336	0,6696204	0,0379779	0,1008188	0,3250662	0,0093396	0,3451912	0,3248532	0,0148384	0,6507067	0,5261325	0,7296645	1,0131976	0,2060890
1020	0,9146334	0,5708876	0,6684716	0,6896499	0,0259825	0,0747412	0,3559067	0,0091726	0,3866898	0,2703220	0,0108420	0,6455038	0,5327586	0,7558719	0,9681555	0,1926531
1040	0,9527060	0,5749734	0,6738898	0,7381014	0,0289882	0,0803297	0,3862025	0,0070273	0,4164651	0,2981546	0,0148360	0,6063084	0,4932522	0,7628668	0,9920267	0,1960059
1060	0,9808944	0,5949772	0,7053971	0,8546228	0,0179127	0,0770993	0,3859830	0,0080993	0,3925181	0,3598550	0,0195845	0,6557025	0,5079716	0,7217318	1,0550900	0,1642588
1080	0,9735075	0,6016017	0,7098255	0,8028404	0,0287548	0,0979033	0,3931103	0,0023862	0,4702630	0,3619987	0,0171617	0,6900419	0,5210040	0,7578469	1,0550944	0,1429873
1100	0,9395878	0,5739820	0,6753855	0,8592365	0,0390287	0,0956771	0,4072063	0,0025114	0,4750494	0,4338881	0,0137211	0,6516394	0,5341493	0,8269116	1,0442690	0,1461683

0	1,0278544	0,6278907	0,7209794	0,9147415	0,0239874	0,0854089	0,4799075	0,0058544	0,4959156	0,3867701	0,0196550	0,6377651	0,6928299	0,8934143	0,9091980	0,1622096
20	0,5758769	0,6706822	0,6622551	0,8090389	0,0120867	0,2589908	0,6005337	0,0321452	0,4634801	0,5977303	0,3734103	0,4185129	0,6231804	0,9237143	0,9662096	0,1709703
40	0,4578377	0,6893420	0,6380392	0,8765823	0,0297447	0,3395880	0,7263358	0,0529527	0,4569452	0,8047028	0,5485984	0,3093797	0,6263090	0,8499032	0,9288363	0,1399215
60	0,3542828	0,7674724	0,6881045	0,9553426	0,0291307	0,4147495	0,7798855	0,0652303	0,3933383	0,8610765	0,6809502	0,2547648	0,6285993	0,8463114	1,0111969	0,1181549
80	0,3058588	0,8181669	0,6460759	0,9005765	0,0150765	0,5180801	0,8791643	0,0587992	0,3737079	0,8568340	0,7233223	0,1991880	0,6240522	0,8474315	1,0274676	0,1226613
100	0,2637742	0,9459676	0,6639947	0,9160135	0,0147077	0,5834630	0,8862144	0,0498329	0,3894900	0,8984424	0,8677538	0,1677676	0,6000995	0,9089434	1,0297964	0,1061514
120	0,2822485	0,9546300	0,6774806	0,9870684	0,0145520	0,5760687	0,8113948	0,0561725	0,3777281	0,8966833	0,8804601	0,1792036	0,5530608	0,8675064	1,0479594	0,1120047
140	0,3395732	0,9952724	0,6281483	1,0077217	0,0162802	0,5705988	0,8352804	0,0528828	0,4274379	0,8786141	0,8670993	0,1641493	0,5870801	0,8450297	0,9999016	0,1155618
