"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
740	0,9932937	0,3548975	0,6842531	0,1530922	0,6228341	0,7673914	0,9734859	0,7328081	0,7068046	0,3927680	0,8910285	0,4964879	0,5385208	0,3057321	0,4469379	0,0081422
760	0,9408904	0,3543756	0,6506038	0,1295448	0,5656520	0,8331904	0,9619774	0,7522379	0,7145842	0,4071737	0,8769690	0,4821683	0,4509304	0,2646483	0,4270071	0,0224621
780	0,9706732	0,3410486	0,6205992	0,1545271	0,5294898	0,8043380	0,9099053	0,7289060	0,7644425	0,4062415	0,9359569	0,3576576	0,4294447	0,2690712	0,3788036	0,0299002
800	0,9871762	0,3792787	0,6330147	0,1387133	0,5225118	0,9257473	0,8863729	0,6866418	0,7427341	0,3819775	0,8894973	0,3534459	0,4354653	0,2872161	0,4402152	0,0214567
820	0,9979613	0,4478654	0,7220118	0,1548789	0,5519321	0,8841692	0,9032194	0,7249645	0,7874521	0,4004596	0,9048993	0,3781207	0,4873597	0,2978807	0,4468953	0,0243906
840	1,0164258	0,4037603	0,5842207	0,1292892	0,5191572	0,8718130	0,9191767	0,7394271	0,7239001	0,4003130	0,8611772	0,3672420	0,5148983	0,2375303	0,4349012	0,0287026
860	0,9570165	0,3993665	0,6619902	0,1356802	0,4520054	0,8424858	0,9010168	0,7057022	0,7751607	0,3751458	0,8866121	0,3687768	0,5273248	0,2143848	0,4226045	0,0368645
880	0,9304734	0,3941280	0,6722109	0,1166787	0,4008374	0,7758718	0,9170252	0,7469419	0,7587697	0,4068106	0,8763524	0,3475277	0,4843346	0,2375770	0,3732766	0,0370647
900	0,9852957	0,3525473	0,5960357	0,0831178	0,3763439	0,8084836	0,8971423	0,7110509	0,7555077	0,3855712	0,8161060	0,3321860	0,4530152	0,2479112	0,3601372	0,0277542
920	1,0489702	0,3772974	0,6126900	0,0970556	0,3502573	0,7797295	0,9042144	0,6814701	0,7011264	0,3352019	0,8209319	0,3363671	0,4551929	0,2540665	0,3661042	0,0142761
940	1,0861040	0,4319228	0,6237993	0,0899753	0,3034541	0,7978614	0,9321481	0,7321443	0,7153153	0,3833678	0,8448012	0,3154584	0,4358624	0,2587369	0,3782553	0,0055136
960	1,0588703	0,4403808	0,6612307	0,1557680	0,2710426	0,8115577	0,8873617	0,7241072	0,7030458	0,4100721	0,8696695	0,3837888	0,4240194	0,3069251	0,3532877	0,0234068
980	1,0221961	0,3970212	0,6619680	0,1097709	0,2727348	0,7595117	0,8367241	0,7250567	0,6956126	0,3926134	0,8600981	0,4015118	0,4387826	0,2595686	0,3396671	0,0473739
1000	1,0239001	0,4017644	0,6134992	0,0779261	0,2333333	0,7844896	0,9226154	0,6392358	0,6603338	0,3952579	0,8859367	0,4181342	0,4300632	0,2475165	0,3885166	0,0499120
1020	0,9919048	0,4171162	0,6982555	0,0998210	0,2083415	0,8057314	0,9398186	0,6648741	0,6944849	0,4207292	0,8448186	0,4481464	0,4590313	0,2568056	0,4126808	0,0488348
1040	0,9257162	0,4507315	0,6524647	0,1082651	0,2001762	0,7666305	0,9060484	0,7012259	0,6901297	0,4582989	0,8510249	0,4337245	0,4406502	0,2248137	0,4372295	0,0423650
1060	0,9143530	0,4622175	0,6147050	0,1275397	0,2139097	0,7848123	0,9132251	0,6791718	0,6605936	0,4560307	0,8399544	0,3860868	0,4345670	0,2162627	0,4360199	0,0343759
1080	0,9721339	0,4508428	0,6789929	0,1678690	0,2076032	0,7404742	0,9451475	0,6730194	0,6427121	0,4102099	0,8317009	0,3204669	0,4714223	0,2052756	0,4104282	0,0375512
1100	0,9749128	0,4266336	0,5738198	0,1147496	0,1802393	0,7719931	0,9316084	0,6689396	0,6286004	0,4309925	0,8099676	0,2940927	0,4236428	0,2332934	0,3799506	0,0236108

