"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
560	0,7569422	0,7399584	0,1064107	0,0764177	0,5351995	0,3181228	0,9956213	0,7613377	0,2629364	0,9404466	0,6274754	0,0019776	0,0713755	0,1219602	0,9813032	0,1015170
580	0,7578860	0,7399363	0,1815227	0,0764983	0,4744586	0,3080547	0,9491166	0,7172445	0,2624379	0,8455249	0,5659241	0,1601524	0,0714195	0,1129997	0,9739680	0,1655097
600	0,7698998	0,7396513	0,3234051	0,1048006	0,3740206	0,2911377	0,8613467	0,6236825	0,2601272	0,6779162	0,5064158	0,4031841	0,0731397	0,0988062	0,9665504	0,2760294
620	0,8005898	0,7376134	0,4585850	0,1802551	0,2867189	0,2712732	0,7778196	0,5176021	0,2617956	0,5250083	0,4735134	0,5851798	0,0891455	0,1076304	0,9650622	0,3520495
640	0,8400373	0,7316179	0,5593438	0,2696353	0,2201416	0,2462747	0,7214301	0,4167515	0,2743093	0,4197683	0,4100052	0,6842355	0,1430938	0,1733710	0,9675501	0,3766598
660	0,8778144	0,7209399	0,6231872	0,3550632	0,1700426	0,2176221	0,6943036	0,3283897	0,2966757	0,3637473	0,3206635	0,7205851	0,2341706	0,2868943	0,9717515	0,3650816
680	0,9091005	0,7067658	0,6581021	0,4329478	0,1318569	0,1889608	0,6839220	0,2546142	0,3233537	0,3428407	0,2325731	0,7215321	0,3354618	0,4148691	0,9762466	0,3353532
700	0,9329106	0,6909932	0,6739947	0,5032201	0,1025729	0,1633418	0,6760503	0,1950138	0,3491710	0,3412087	0,1608947	0,7078315	0,4239619	0,5325708	0,9803216	0,3000860
720	0,9500379	0,6752582	0,6790518	0,5659731	0,0802513	0,1422814	0,6613931	0,1480205	0,3710846	0,3473769	0,1085883	0,6914940	0,4906266	0,6289632	0,9837023	0,2664033
740	0,9618502	0,6606704	0,6788667	0,6211300	0,0634778	0,1260009	0,6368445	0,1116532	0,3880188	0,3548800	0,0728867	0,6778935	0,5358637	0,7021213	0,9863522	0,2375750
760	0,9697203	0,6478805	0,6767538	0,6686996	0,0510936	0,1139754	0,6041161	0,0839215	0,4001654	0,3609123	0,0495636	0,6684812	0,5640110	0,7546295	0,9883474	0,2145465
780	0,9748073	0,6371943	0,6744042	0,7089463	0,0421103	0,1053916	0,5672724	0,0630246	0,4083349	0,3647873	0,0347811	0,6628448	0,5801119	0,7906699	0,9898043	0,1970274
800	0,9780055	0,6286610	0,6725088	0,7424028	0,0356969	0,0994226	0,5304910	0,0474308	0,4135128	0,3667963	0,0256135	0,6599526	0,5884974	0,8144904	0,9908430	0,1841815
820	0,9799652	0,6221443	0,6712224	0,7697933	0,0311796	0,0953554	0,4968233	0,0358883	0,4166102	0,3675280	0,0200192	0,6587759	0,5923663	0,8297273	0,9915694	0,1750278
840	0,9811381	0,6173879	0,6704626	0,7919333	0,0280326	0,0926283	0,4679150	0,0274027	0,4183566	0,3675367	0,0166473	0,6585262	0,5938379	0,8392021	0,9920699	0,1686485
860	0,9818256	0,6140767	0,6700766	0,8096436	0,0258590	0,0908232	0,4442590	0,0212008	0,4192811	0,3672244	0,0146345	0,6586888	0,5941871	0,8449574	0,9924108	0,1642769
880	0,9822217	0,6118862	0,6699204	0,8236923	0,0243679	0,0896409	0,4256010	0,0166906	0,4197372	0,3668344	0,0134421	0,6589725	0,5941063	0,8483921	0,9926411	0,1613173
900	0,9824472	0,6105189	0,6698868	0,8347624	0,0233500	0,0888734	0,4113011	0,0134251	0,4199447	0,3664874	0,0127401	0,6592381	0,5939270	0,8504205	0,9927958	0,1593292
920	0,9825748	0,6097238	0,6699070	0,8434398	0,0226578	0,0883786	0,4005864	0,0110698	0,4200306	0,3662260	0,0123288	0,6594367	0,5937792	0,8516160	0,9928993	0,1579993
940	0,9826471	0,6093041	0,6699428	0,8502135	0,0221883	0,0880617	0,3927010	0,0093767	0,4200626	0,3660508	0,0120889	0,6595650	0,5936940	0,8523260	0,9929686	0,1571109
960	0,9826885	0,6091148	0,6699761	0,8554841	0,0218706	0,0878597	0,3869808	0,0081634	0,4200739	0,3659446	0,0119494	0,6596375	0,5936620	0,8527548	0,9930149	0,1565168
980	0,9827126	0,6090559	0,6700008	0,8595748	0,0216558	0,0877315	0,3828787	0,0072962	0,4200789	0,3658867	0,0118685	0,6596725	0,5936634	0,8530196	0,9930459	0,1561188
1000	0,9827269	0,6090625	0,6700166	0,8627435	0,0215108	0,0876505	0,3799639	0,0066779	0,4200827	0,3658589	0,0118217	0,6596855	0,5936808	0,8531872	0,9930666	0,1558515
1020	0,9827356	0,6090957	0,6700253	0,8651943	0,0214130	0,0875995	0,3779079	0,0062381	0,4200863	0,3658481	0,0117947	0,6596872	0,5937025	0,8532954	0,9930805	0,1556716
1040	0,9827408	0,6091341	0,6700294	0,8670876	0,0213471	0,0875675	0,3764660	0,0059258	0,4200898	0,3658457	0,0117792	0,6596844	0,5937220	0,8533662	0,9930898	0,1555505
1060	0,9827440	0,6091678	0,6700308	0,8685488	0,0213026	0,0875474	0,3754594	0,0057045	0,4200926	0,3658468	0,0117702	0,6596806	0,5937371	0,8534127	0,9930961	0,1554690
1080	0,9827459	0,6091933	0,6700308	0,8696758	0,0212727	0,0875348	0,3747593	0,0055479	0,4200948	0,3658487	0,0117651	0,6596772	0,5937475	0,8534431	0,9931003	0,1554143
1100	0,9827471	0,6092107	0,6700304	0,8705445	0,0212525	0,0875269	0,3742737	0,0054373	0,4200961	0,3658505	0,0117621	0,6596749	0,5937540	0,8534628	0,9931030	0,1553776

0	0,9827490	0,6092637	0,6700277	0,8708502	0,0212108	0,0875140	0,3731946	0,0051747	0,4200808	0,3658557	0,0117581	0,6596693	0,5937662	0,8534887	0,9930246	0,1553732
20	0,9051782	0,6101859	0,6700279	0,8833792	0,0212108	0,1349267	0,4197269	0,0092543	0,4200853	0,4319354	0,1204154	0,5781480	0,5937635	0,8534915	0,9933447	0,1553499
40	0,7624321	0,6196069	0,6700281	0,9044316	0,0212108	0,2241967	0,5076305	0,0179332	0,4200884	0,5427423	0,3073749	0,4496123	0,5937619	0,8534930	0,9939410	0,1553346
60	0,6240585	0,6449161	0,6700284	0,9237872	0,0212108	0,3130154	0,5955659	0,0278263	0,4200905	0,6399346	0,4758384	0,3436278	0,5937611	0,8534938	0,9945617	0,1553246
80	0,5122349	0,6846235	0,6700285	0,9389961	0,0212108	0,3867379	0,6690949	0,0372522	0,4200920	0,7111914	0,6025055	0,2700929	0,5937607	0,8534943	0,9951053	0,1553180
100	0,4294383	0,7317824	0,6700287	0,9501798	0,0212108	0,4428079	0,7255387	0,0454867	0,4200930	0,7592087	0,6898759	0,2228694	0,5937606	0,8534946	0,9955431	0,1553137
120	0,3712027	0,7795353	0,6700287	0,9581359	0,0212108	0,4833052	0,7667632	0,0523204	0,4200938	0,7900399	0,7471870	0,1937794	0,5937607	0,8534948	0,9958785	0,1553109
140	0,3315979	0,8233910	0,6700288	0,9636957	0,0212108	0,5115726	0,7959153	0,0578024	0,4200943	0,8092365	0,7835722	0,1762947	0,5937607	0,8534950	0,9961272	0,1553090
160	0,3052946	0,8611920	0,6700288	0,9675419	0,0212108	0,5308302	0,8160728	0,0620952	0,4200947	0,8209418	0,8061521	0,1659452	0,5937608	0,8534951	0,9963075	0,1553077
180	0,2881297	0,8923906	0,6700288	0,9701872	0,0212108	0,5437140	0,8297851	0,0653968	0,4200950	0,8279739	0,8199337	0,1598790	0,5937608	0,8534952	0,9964359	0,1553069
200	0,2770789	0,9173535	0,6700288	0,9720002	0,0212108	0,5522130	0,8389990	0,0679008	0,4200952	0,8321530	0,8282401	0,1563464	0,5937609	0,8534952	0,9965262	0,1553064
220	0,2700402	0,9368728	0,6700288	0,9732403	0,0212108	0,5577568	0,8451317	0,0697788	0,4200953	0,8346163	0,8331980	0,1542980	0,5937609	0,8534953	0,9965891	0,1553061
240	0,2655959	0,9518689	0,6700288	0,9740874	0,0212108	0,5613401	0,8491832	0,0711746	0,4200954	0,8360594	0,8361345	0,1531137	0,5937609	0,8534953	0,9966325	0,1553058
260	0,2628097	0,9632315	0,6700288	0,9746657	0,0212108	0,5636384	0,8518438	0,0722041	0,4200954	0,8369007	0,8378630	0,1524302	0,5937609	0,8534953	0,9966623	0,1553057
280	0,2610736	0,9717456	0,6700287	0,9750602	0,0212108	0,5651031	0,8535825	0,0729587	0,4200955	0,8373894	0,8388753	0,1520364	0,5937609	0,8534953	0,9966826	0,1553056
300	0,2599973	0,9780671	0,6700287	0,9753293	0,0212108	0,5660314	0,8547144	0,0735088	0,4200955	0,8376725	0,8394657	0,1518096	0,5937609	0,8534953	0,9966964	0,1553055
320	0,2593330	0,9827252	0,6700287	0,9755128	0,0212108	0,5666170	0,8554487	0,0739079	0,4200955	0,8378360	0,8398089	0,1516791	0,5937609	0,8534953	0,9967057	0,1553055
