"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
940	0,1338863	0,7547986	0,3010916	0,2618941	0,0003802	0,3035737	0,0107807	0,0321800	0,0710909	0,3953667	0,0558186	0,3108935	0,0169554	0,0000000	0,0096576	0,0405052
960	0,1596818	0,8525538	0,3190988	0,3404398	0,0000500	0,3455081	0,0030468	0,0225514	0,0277612	0,3713402	0,0826635	0,2112845	0,0308101	0,0001280	0,0113275	0,0712718
980	0,1355520	0,7247319	0,2779650	0,2918102	0,0000000	0,3133739	0,0062504	0,0342862	0,0588277	0,4104390	0,0763751	0,1993675	0,0113003	0,0019253	0,0021565	0,0847531
1000	0,2187976	0,8077114	0,2976169	0,2641063	0,0000006	0,3730606	0,0021411	0,0214284	0,0543626	0,3026370	0,0542296	0,2257110	0,0253633	0,0002272	0,0138793	0,0734359
1020	0,1518625	0,7477727	0,3392851	0,2603195	0,0009729	0,3560912	0,0104261	0,0183033	0,0780126	0,2820982	0,0635005	0,2719494	0,0231943	0,0000322	0,0047792	0,0872208
1040	0,1448991	0,7119626	0,3217861	0,3035305	0,0000000	0,4390214	0,0088717	0,0441417	0,0663606	0,3255829	0,0954329	0,2108312	0,0168841	0,0000000	0,0079400	0,0576447
1060	0,2244240	0,6070487	0,3182094	0,2892246	0,0001492	0,4168906	0,0253240	0,0395193	0,0487823	0,3236488	0,0523025	0,2291818	0,0281136	0,0000065	0,0074975	0,0316686
1080	0,1678364	0,6106803	0,3975117	0,2554381	0,0000683	0,3429256	0,0287711	0,0442357	0,0426682	0,3064572	0,0768375	0,2362433	0,0237245	0,0001773	0,0337940	0,0549992
1100	0,1789955	0,6621496	0,3337182	0,2869392	0,0002237	0,3251448	0,0088826	0,0170904	0,0724686	0,3530832	0,0771432	0,3237968	0,0333528	0,0000110	0,0112389	0,0548956

0	0,1817472	0,8616683	0,3635847	0,3556694	0,0001195	0,3515432	0,0054857	0,0211776	0,0569529	0,2899734	0,1255740	0,2901718	0,0262372	0,0002396	0,0155307	0,0537098
20	0,0310863	0,5891682	0,3192403	0,1856887	0,0657003	0,2913348	0,0083590	0,0323498	0,0537847	0,3002660	0,0598581	0,2147026	0,0066709	0,0006680	0,1120877	0,0594459
40	0,0060048	0,5658356	0,2926037	0,2316991	0,0395353	0,3092851	0,0309245	0,0477614	0,0411861	0,3280212	0,0717398	0,3345794	0,0073717	0,0004506	0,1711412	0,1246630
60	0,0005150	0,6354689	0,3787708	0,2090080	0,0435590	0,3004262	0,0165950	0,0424336	0,0625884	0,3264666	0,1065512	0,2641011	0,0213985	0,0000948	0,2278206	0,1682910
80	0,0000923	0,5724668	0,3938715	0,1664054	0,0770865	0,2868044	0,0275961	0,0563390	0,0964481	0,2971321	0,1343247	0,3792131	0,0292113	0,0007451	0,2863067	0,4616450
100	0,0018764	0,4626486	0,3823188	0,1487598	0,1490214	0,2863399	0,0041570	0,0239794	0,1127898	0,2980408	0,2251316	0,5362132	0,0041136	0,0006493	0,2783361	0,4038696
120	0,0000000	0,5319153	0,3589913	0,1637736	0,0998712	0,3145598	0,0083118	0,0227959	0,1824086	0,4126235	0,2194662	0,5950745	0,0164916	0,0017072	0,3544322	0,3820268
140	0,0000000	0,4557995	0,4716345	0,1676214	0,1372132	0,1804668	0,0089791	0,0427220	0,1633774	0,3347681	0,2357285	0,5391946	0,0045734	0,0038851	0,3716867	0,4941768
160	0,0030863	0,4233314	0,4188409	0,1161426	0,1109008	0,2666562	0,0048318	0,0476874	0,2042790	0,3548695	0,2303652	0,6205006	0,0229625	0,0012267	0,5061902	0,5501506
180	0,0000000	0,4086938	0,4439829	0,1238799	0,0974526	0,2304581	0,0167356	0,0272107	0,2445396	0,3526477	0,2734936	0,6202828	0,0101003	0,0131920	0,3640385	0,6819409
