"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
680	0,9622375	0,6628950	0,7026429	0,6099782	0,0543821	0,1373253	0,6721982	0,0899068	0,3967373	0,3268617	0,1171058	0,7118144	0,3948421	0,6236706	0,9845631	0,2584905
700	0,9720462	0,6451239	0,6914213	0,6622623	0,0432402	0,1193185	0,6590400	0,0637665	0,4150433	0,3479019	0,0729584	0,6902913	0,4715099	0,7118687	0,9874727	0,2205422
720	0,9775237	0,6313372	0,6822544	0,7069654	0,0353206	0,1073378	0,6289181	0,0456153	0,4241171	0,3609208	0,0469529	0,6749367	0,5243666	0,7694729	0,9894425	0,1952470
740	0,9804445	0,6211657	0,6759826	0,7438889	0,0300184	0,0996822	0,5883539	0,0330549	0,4273403	0,3674549	0,0319058	0,6655315	0,5576875	0,8054324	0,9907493	0,1790635
760	0,9819033	0,6141157	0,6722477	0,7735188	0,0266231	0,0949124	0,5451225	0,0243823	0,4273915	0,3698010	0,0232680	0,6605805	0,5769915	0,8269453	0,9916011	0,1690918
780	0,9825627	0,6096425	0,6703297	0,7967980	0,0245147	0,0919864	0,5051169	0,0184020	0,4260646	0,3699030	0,0183272	0,6584739	0,5871829	0,8392715	0,9921482	0,1631625
800	0,9828126	0,6071650	0,6695385	0,8148293	0,0232296	0,0902084	0,4713646	0,0142815	0,4244040	0,3690710	0,0155056	0,6579389	0,5919624	0,8460306	0,9924960	0,1597501
820	0,9828723	0,6061101	0,6693543	0,8286739	0,0224528	0,0891343	0,4446034	0,0114437	0,4229211	0,3680464	0,0138954	0,6581273	0,5938255	0,8495826	0,9927157	0,1578386
840	0,9828575	0,6059684	0,6694411	0,8392531	0,0219829	0,0884875	0,4242698	0,0094898	0,4217967	0,3671696	0,0129770	0,6585490	0,5942975	0,8513830	0,9928544	0,1567856
860	0,9828233	0,6063334	0,6696097	0,8473199	0,0216968	0,0880988	0,4092741	0,0081447	0,4210349	0,3665431	0,0124532	0,6589638	0,5942207	0,8522781	0,9929425	0,1562059
880	0,9827922	0,6069134	0,6697701	0,8534681	0,0215207	0,0878654	0,3984484	0,0072188	0,4205657	0,3661517	0,0121545	0,6592815	0,5940063	0,8527304	0,9929990	0,1558794
900	0,9827705	0,6075232	0,6698903	0,8581563	0,0214107	0,0877253	0,3907533	0,0065815	0,4203026	0,3659373	0,0119842	0,6594902	0,5938208	0,8529758	0,9930357	0,1556866
920	0,9827577	0,6080619	0,6699675	0,8617346	0,0213410	0,0876412	0,3853450	0,0061429	0,4201699	0,3658381	0,0118870	0,6596101	0,5937080	0,8531260	0,9930598	0,1555654
940	0,9827513	0,6084880	0,6700107	0,8644689	0,0212964	0,0875906	0,3815748	0,0058410	0,4201120	0,3658047	0,0118317	0,6596692	0,5936601	0,8532298	0,9930759	0,1554845
960	0,9827487	0,6087973	0,6700311	0,8665605	0,0212674	0,0875603	0,3789618	0,0056333	0,4200924	0,3658035	0,0118001	0,6596919	0,5936547	0,8533069	0,9930867	0,1554283
980	0,9827480	0,6090048	0,6700382	0,8681621	0,0212484	0,0875420	0,3771579	0,0054903	0,4200897	0,3658145	0,0117821	0,6596958	0,5936707	0,8533652	0,9930939	0,1553885
1000	0,9827481	0,6091333	0,6700387	0,8693897	0,0212359	0,0875309	0,3759158	0,0053919	0,4200927	0,3658276	0,0117718	0,6596918	0,5936936	0,8534085	0,9930988	0,1553605
1020	0,9827484	0,6092053	0,6700366	0,8703312	0,0212276	0,0875243	0,3750618	0,0053242	0,4200962	0,3658383	0,0117659	0,6596858	0,5937154	0,8534395	0,9931021	0,1553411
1040	0,9827487	0,6092405	0,6700340	0,8710539	0,0212221	0,0875203	0,3744752	0,0052776	0,4200985	0,3658456	0,0117626	0,6596804	0,5937326	0,8534607	0,9931043	0,1553280
1060	0,9827488	0,6092534	0,6700318	0,8716088	0,0212184	0,0875178	0,3740725	0,0052455	0,4200995	0,3658500	0,0117607	0,6596765	0,5937448	0,8534747	0,9931058	0,1553194
1080	0,9827488	0,6092544	0,6700303	0,8720351	0,0212159	0,0875163	0,3737962	0,0052234	0,4200994	0,3658522	0,0117596	0,6596741	0,5937525	0,8534835	0,9931067	0,1553139
1100	0,9827487	0,6092501	0,6700293	0,8723627	0,0212142	0,0875154	0,3736066	0,0052082	0,4200989	0,3658531	0,0117590	0,6596728	0,5937570	0,8534888	0,9931074	0,1553104

0	0,9827484	0,6092280	0,6700277	0,8724777	0,0212108	0,0875140	0,3731965	0,0051747	0,4200959	0,3658530	0,0117581	0,6596712	0,5937642	0,8534952	0,9930908	0,1553088
20	0,6581914	0,6199065	0,6700283	0,9302534	0,0212108	0,2829394	0,5484309	0,0269335	0,4200954	0,6196641	0,3680550	0,4435243	0,5937622	0,8534949	0,9943337	0,1553077
40	0,4786384	0,6679392	0,6700286	0,9546386	0,0212108	0,3988130	0,6601666	0,0419041	0,4200952	0,7370512	0,5711301	0,3193144	0,5937612	0,8534947	0,9951516	0,1553069
60	0,3796171	0,7408739	0,6700288	0,9653412	0,0212108	0,4675180	0,7314134	0,0522044	0,4200952	0,7913426	0,6868748	0,2479365	0,5937607	0,8534948	0,9956896	0,1553064
80	0,3251120	0,8129593	0,6700288	0,9702836	0,0212108	0,5082552	0,7768429	0,0592913	0,4200953	0,8164522	0,7528446	0,2069188	0,5937606	0,8534949	0,9960437	0,1553061
100	0,2951138	0,8707550	0,6700288	0,9727111	0,0212108	0,5324096	0,8058104	0,0641673	0,4200954	0,8280654	0,7904448	0,1833478	0,5937606	0,8534950	0,9962766	0,1553059
120	0,2785911	0,9125199	0,6700288	0,9739869	0,0212108	0,5467314	0,8242812	0,0675221	0,4200955	0,8334365	0,8118755	0,1698026	0,5937607	0,8534951	0,9964299	0,1553057
140	0,2694832	0,9411364	0,6700288	0,9747034	0,0212108	0,5552232	0,8360588	0,0698303	0,4200955	0,8359206	0,8240901	0,1620188	0,5937608	0,8534952	0,9965307	0,1553056
160	0,2644600	0,9601890	0,6700288	0,9751295	0,0212108	0,5602583	0,8435686	0,0714184	0,4200956	0,8370695	0,8310519	0,1575458	0,5937608	0,8534952	0,9965971	0,1553055
180	0,2616890	0,9726660	0,6700288	0,9753945	0,0212108	0,5632438	0,8483572	0,0725111	0,4200956	0,8376009	0,8350199	0,1549753	0,5937609	0,8534953	0,9966407	0,1553055
200	0,2601606	0,9807531	0,6700288	0,9755647	0,0212108	0,5650139	0,8514105	0,0732629	0,4200956	0,8378466	0,8372815	0,1534982	0,5937609	0,8534953	0,9966694	0,1553054
220	0,2593177	0,9859574	0,6700287	0,9756765	0,0212108	0,5660635	0,8533574	0,0737802	0,4200956	0,8379603	0,8385705	0,1526494	0,5937609	0,8534953	0,9966883	0,1553054
240	0,2588531	0,9892878	0,6700287	0,9757508	0,0212108	0,5666858	0,8545989	0,0741361	0,4200956	0,8380129	0,8393051	0,1521616	0,5937609	0,8534953	0,9967008	0,1553054
260	0,2585971	0,9914082	0,6700287	0,9758008	0,0212108	0,5670548	0,8553904	0,0743809	0,4200956	0,8380372	0,8397239	0,1518813	0,5937609	0,8534953	0,9967090	0,1553054
280	0,2584562	0,9927515	0,6700287	0,9758346	0,0212108	0,5672736	0,8558952	0,0745494	0,4200956	0,8380484	0,8399626	0,1517202	0,5937609	0,8534953	0,9967143	0,1553054
