"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA
100	0,7123110	0,7607913	0,6795278	0,7775335	0,0611925	0,5767752	0,0911823	1,0226999	0,4322471	0,0346618	0,7179033	0,3075378	0,4145910	1,0167962	0,6280103	0,2370921
120	0,7486194	0,7727924	0,6526972	0,8371718	0,0477909	0,5565141	0,0930393	1,0088058	0,3845098	0,0350620	0,7645689	0,3153848	0,4760990	0,9269264	0,6888074	0,1661129
140	0,7852847	0,7947765	0,6176716	0,8017120	0,0477761	0,4680248	0,0779960	0,9687276	0,4263907	0,0435159	0,6952508	0,3293407	0,4722295	0,9968899	0,6878796	0,1402143
160	0,7383096	0,8442086	0,7097544	0,8545982	0,0585965	0,4488732	0,0783114	0,9859357	0,4102101	0,0490550	0,7154742	0,2994432	0,4897087	0,9959947	0,7232227	0,1339988
180	0,7283119	0,8064411	0,6956661	0,8678549	0,0471193	0,4314869	0,0940022	0,9899512	0,3892333	0,0498976	0,7290029	0,3506341	0,4724042	1,0345965	0,8007345	0,1338944
200	0,7697341	0,8316788	0,6830961	0,8550426	0,0467902	0,4219087	0,1171014	0,9106047	0,3998653	0,0436688	0,8380648	0,3281508	0,4460147	1,0669427	0,7022012	0,1103331
220	0,8400744	0,8188851	0,6165713	0,8727696	0,0660433	0,3954373	0,0907177	1,0155449	0,4540317	0,0649895	0,7894642	0,3100229	0,4604965	1,0474023	0,6960647	0,0924254
240	0,7800502	0,7846764	0,6208829	0,7942790	0,0518490	0,4252699	0,0913960	1,0286376	0,4570476	0,0732451	0,8418539	0,3009346	0,4720618	1,0319115	0,7359211	0,1146861
260	0,7445355	0,7887895	0,6281909	0,6975522	0,0512992	0,4300937	0,0846660	1,0280577	0,4093316	0,0841583	0,8542733	0,3279967	0,4724222	1,0114774	0,7208994	0,1272075
280	0,7015718	0,7842834	0,6838949	0,7793442	0,0451975	0,4427121	0,0719599	1,0295509	0,4146861	0,0727888	0,8136836	0,3223297	0,5040995	1,0246227	0,7091972	0,1028938
300	0,7392408	0,8317164	0,7072551	0,8485845	0,0520192	0,4493566	0,0593847	1,0244527	0,4056326	0,0488739	0,6686856	0,3430809	0,4987476	0,9935231	0,7114411	0,0955369
320	0,7585524	0,8419060	0,6561079	0,8337731	0,0403560	0,4597500	0,0748919	0,9904519	0,3664671	0,0536949	0,7365088	0,3901819	0,4942563	1,0143839	0,7169108	0,1027184
340	0,7592949	0,7528750	0,6841009	0,9091289	0,0336646	0,4497885	0,0690194	0,9436631	0,4230363	0,0551446	0,7615012	0,3643033	0,5399113	0,9987788	0,7130722	0,1085948
360	0,7332588	0,7485603	0,7063122	0,9112342	0,0352815	0,4285270	0,0593079	1,0344904	0,4490452	0,0449518	0,7864069	0,3451488	0,5231262	1,0132752	0,7676835	0,1236611
380	0,7329312	0,7820504	0,6788689	0,8788164	0,0397894	0,4389767	0,0623143	1,0251938	0,4401221	0,0506647	0,8100695	0,3421459	0,5171375	0,9830633	0,8089225	0,1321880
400	0,7442661	0,8064330	0,6336996	0,8441509	0,0495681	0,4217933	0,0712474	1,0051815	0,4565670	0,0487412	0,7880468	0,3764438	0,4718636	1,0640951	0,8447286	0,1341761
420	0,7778229	0,7910937	0,6101865	0,9183082	0,0492312	0,4078374	0,0856571	0,9985781	0,4064894	0,0623158	0,8063961	0,3734124	0,4649189	1,0895856	0,8017041	0,1094233
440	0,7709812	0,8322687	0,6454315	0,9112243	0,0389645	0,3930459	0,0858007	1,0095931	0,4308111	0,0509643	0,7870741	0,3079135	0,4880102	1,0700961	0,7996733	0,1276218
460	0,8121656	0,8196326	0,6944542	0,8132592	0,0386124	0,4218967	0,0724852	1,0128247	0,3912126	0,0508776	0,7486828	0,3208167	0,5264768	1,0178892	0,7543506	0,1070209
480	0,7485726	0,8400736	0,6825644	0,8588542	0,0174056	0,4525762	0,0761175	0,9506258	0,3982794	0,0667684	0,7405745	0,3247953	0,5422085	1,0196226	0,6712556	0,1225209
500	0,7725157	0,8492079	0,6722043	0,8936851	0,0251643	0,4561610	0,0771289	0,9933679	0,4180930	0,0593894	0,7763801	0,3325002	0,5239317	0,9883808	0,6967858	0,1172582
