"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
120	0,5850009	0,8968515	0,0800188	0,0648059	0,8184448	0,2653098	0,8193410	0,8142251	0,7956027	0,5898893	0,0424356	0,6080186	0,3225212	0,5385834	0,6302681	0,1727838
140	0,5772124	0,8900204	0,0827900	0,0458490	0,8411376	0,2897125	0,8282613	0,8323206	0,7810985	0,6102525	0,0425148	0,6233108	0,3264589	0,5624800	0,6216992	0,1445692
160	0,5725898	0,8854601	0,0852712	0,0320703	0,8575061	0,3101122	0,8386190	0,8446998	0,7681245	0,6295141	0,0432324	0,6367952	0,3319117	0,5845713	0,6136909	0,1242550
180	0,5699911	0,8824702	0,0873530	0,0222354	0,8686797	0,3259205	0,8497889	0,8529475	0,7572641	0,6467067	0,0440750	0,6479770	0,3377240	0,6038398	0,6066480	0,1098797
200	0,5686126	0,8805372	0,0890123	0,0153136	0,8759722	0,3374998	0,8611757	0,8583495	0,7486414	0,6613738	0,0448138	0,6568057	0,3431739	0,6199085	0,6007431	0,0998347
220	0,5679292	0,8793014	0,0902816	0,0104964	0,8805490	0,3456284	0,8722666	0,8618441	0,7420832	0,6734418	0,0453786	0,6635020	0,3478927	0,6328431	0,5959789	0,0928801
240	0,5676188	0,8785184	0,0912208	0,0071746	0,8833190	0,3511514	0,8826685	0,8640816	0,7372684	0,6830833	0,0457743	0,6684132	0,3517572	0,6429655	0,5922533	0,0880975
260	0,5674953	0,8780261	0,0918976	0,0049012	0,8849376	0,3548093	0,8921209	0,8655007	0,7338354	0,6906015	0,0460344	0,6719141	0,3547932	0,6507102	0,5894138	0,0848247
280	0,5674573	0,8777186	0,0923749	0,0033554	0,8858504	0,3571834	0,9004871	0,8663928	0,7314463	0,6963470	0,0461968	0,6743497	0,3571024	0,6565296	0,5872948	0,0825929
300	0,5674533	0,8775274	0,0927060	0,0023101	0,8863466	0,3586993	0,9077308	0,8669485	0,7298163	0,7006646	0,0462937	0,6760093	0,3588141	0,6608402	0,5857408	0,0810748
320	0,5674596	0,8774092	0,0929327	0,0016066	0,8866061	0,3596545	0,9138881	0,8672918	0,7287221	0,7038639	0,0463493	0,6771202	0,3600567	0,6639975	0,5846171	0,0800440
340	0,5674664	0,8773364	0,0930865	0,0011351	0,8867364	0,3602497	0,9190417	0,8675022	0,7279967	0,7062068	0,0463800	0,6778528	0,3609438	0,6662904	0,5838139	0,0793451
360	0,5674709	0,8772917	0,0931902	0,0008202	0,8867991	0,3606175	0,9232996	0,8676303	0,7275202	0,7079060	0,0463965	0,6783301	0,3615683	0,6679452	0,5832450	0,0788718
380	0,5674730	0,8772644	0,0932599	0,0006106	0,8868281	0,3608430	0,9267788	0,8677078	0,7272093	0,7091284	0,0464050	0,6786380	0,3620032	0,6691340	0,5828449	0,0785515
