"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
1020	0,7067145	0,3482828	0,1748477	0,8777319	0,2797604	0,2935712	0,0157189	0,0772257	0,1499453	0,0592251	0,3358589	0,0053862	0,3038806	0,0873902	0,1773520	0,0302451
1040	0,8145670	0,3648042	0,2306233	0,6648327	0,2187002	0,3430218	0,0015880	0,0939887	0,1512828	0,0708130	0,3425500	0,0249374	0,2784433	0,1176973	0,1595354	0,0095126
1060	0,9220075	0,4107120	0,2100523	0,7258578	0,2738744	0,3773402	0,0125250	0,0500193	0,1900974	0,0779522	0,3733059	0,0275241	0,3510350	0,1069336	0,1480061	0,0295026
1080	0,8692350	0,3021949	0,1695839	0,6925804	0,2138752	0,2838812	0,0054904	0,0924131	0,2611939	0,0982965	0,3277643	0,0318912	0,4177566	0,1267023	0,1083248	0,0311812
1100	0,8378284	0,3334991	0,0972225	0,6216199	0,2801000	0,3345549	0,0055046	0,0903827	0,1821338	0,0419988	0,3275475	0,0093584	0,4058350	0,1175560	0,1500602	0,0164196

0	0,8008440	0,5279456	0,1816098	0,6228180	0,2591199	0,4545636	0,0185202	0,0682940	0,2257104	0,1798339	0,3044470	0,0220987	0,2468811	0,1584781	0,1019233	0,0183759
20	0,8147522	0,3799634	0,1555246	0,6953437	0,2477028	0,3661939	0,1542170	0,0702883	0,2987726	0,0586878	0,2341797	0,0105470	0,3227036	0,1273537	0,1875448	0,0185201
40	0,6888218	0,3870415	0,1661813	0,6433921	0,2462630	0,4744694	0,3173163	0,1883022	0,3212698	0,1029058	0,2248127	0,0094055	0,3105770	0,1634462	0,1175833	0,0223363
60	0,8884023	0,4520715	0,1572714	0,6030637	0,2126456	0,3716537	0,5727344	0,3993574	0,2729412	0,0588390	0,2519165	0,0067093	0,3513958	0,1249726	0,1312023	0,0205206
80	0,8143043	0,4697122	0,2076475	0,7226912	0,2439245	0,3928312	0,6037884	0,3679636	0,2076787	0,0997459	0,2835906	0,0146263	0,2817652	0,1016014	0,1768360	0,0109430
100	0,8677602	0,4704171	0,2019474	0,8346712	0,2421469	0,4681011	0,6830460	0,3838390	0,2300156	0,0935415	0,1854756	0,0109534	0,2917685	0,1468922	0,1280461	0,0269019
120	0,7889910	0,4072533	0,2012377	0,7797796	0,2573490	0,3423186	0,6818033	0,3073359	0,1803502	0,1018853	0,2045659	0,0152967	0,3795466	0,1012993	0,1003023	0,0443417
140	0,9722231	0,3962936	0,2411650	0,8303784	0,2380752	0,3932937	0,6779758	0,4300383	0,1628770	0,0629213	0,1393035	0,0062391	0,3640207	0,1070731	0,0954420	0,0371690
