"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA
660	0,7412757	0,8598562	0,6154548	0,9634430	0,8739151	0,5621531	0,6940197	0,6365570	0,7662873	0,5308640	0,6779316	0,5652241	0,8561458	0,0235043	0,5640053	0,5242196
680	0,7899082	0,8425589	0,6571060	0,9102431	0,8724702	0,5557050	0,6986441	0,6232549	0,8303484	0,5307581	0,6309248	0,5157465	0,8179767	0,0552328	0,5401804	0,5811382
700	0,7560957	0,7906034	0,6725325	0,9292270	0,9042610	0,5616089	0,7312223	0,6112489	0,7567231	0,5439332	0,6616298	0,4897690	0,9118652	0,0486018	0,5757522	0,5355146
720	0,7910249	0,8277666	0,6609429	0,9259166	0,9145332	0,5872363	0,7941316	0,6334120	0,7548961	0,5520444	0,6285736	0,4882065	0,8616007	0,0415985	0,5879511	0,5046464
740	0,7781803	0,8027039	0,6666716	0,9015737	0,9059714	0,5997980	0,7593850	0,5737758	0,8136021	0,5160826	0,6579182	0,5590822	0,8274569	0,0411104	0,5832656	0,5105286
760	0,7493156	0,8149322	0,6480535	0,8900367	0,8356377	0,6000290	0,7451954	0,6058966	0,8030351	0,5092178	0,6227456	0,5330006	0,8176272	0,0331629	0,6465867	0,5420289
780	0,7191297	0,8145932	0,6128304	0,9110349	0,8230669	0,5645362	0,7473321	0,6319032	0,8784222	0,5840749	0,6026480	0,5216083	0,7835249	0,0371785	0,6919871	0,5231397
800	0,6800669	0,8392096	0,6782617	0,9226755	0,8217263	0,5438293	0,6799970	0,5964781	0,8889105	0,5644840	0,6059193	0,4924883	0,7769349	0,0335433	0,6484137	0,5051612
820	0,6828581	0,8489231	0,6677329	0,9335110	0,8336604	0,5171615	0,6988286	0,5522609	0,8588671	0,5790360	0,6960072	0,4545362	0,8730219	0,0443388	0,6492058	0,4359685
840	0,7679333	0,8908682	0,6541124	0,9289642	0,7812701	0,5350191	0,6644199	0,4824625	0,8536253	0,5999971	0,6313932	0,4471283	0,8643206	0,0447095	0,6379568	0,4789763
860	0,8024540	0,9503453	0,5923046	0,9359447	0,8147239	0,5228272	0,7075741	0,4907474	0,8412530	0,5904782	0,6162248	0,4094564	0,8005074	0,0461782	0,6508574	0,5174562
880	0,7553060	0,9230769	0,5864695	1,0316232	0,8300849	0,5930303	0,7120038	0,5240024	0,7740278	0,6030400	0,5828889	0,4383428	0,8016963	0,0360132	0,6030192	0,5672057
