"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
40	0,6256353	0,4670099	0,6100419	0,6312494	0,0152627	0,1764173	0,3748921	0,0348051	0,3687480	0,3759445	0,1938562	0,2869674	0,5496191	0,7341535	0,5682275	0,1203135
60	0,5168466	0,4966131	0,4866505	0,5581005	0,0175437	0,1751837	0,4854598	0,0164283	0,3324949	0,4551215	0,3568562	0,2635171	0,4559686	0,7416902	0,7222903	0,0975200
80	0,4240357	0,5590100	0,5305431	0,6400980	0,0316202	0,2269129	0,5914520	0,0374326	0,2299614	0,6041885	0,4379032	0,2173387	0,5482252	0,8810768	0,6426560	0,1624457
100	0,3245856	0,6600853	0,4350259	0,6312366	0,0084143	0,3734788	0,6395565	0,0275009	0,3025190	0,5718498	0,5017816	0,1587252	0,4274414	0,5785316	0,6929303	0,1400174
120	0,2357578	0,5652185	0,5655618	0,6871655	0,0109815	0,2813010	0,6129318	0,0668538	0,2588826	0,6287492	0,7533116	0,1098341	0,4655432	0,6274470	0,6308768	0,1153018
140	0,2804931	0,5899696	0,5306241	0,5939036	0,0128072	0,3223286	0,6433439	0,0375851	0,2492134	0,5657054	0,5595116	0,1217742	0,4320557	0,5545768	0,9916137	0,0804514
160	0,2507472	0,5866679	0,4700412	0,6677307	0,0065126	0,3500354	0,6215520	0,0764070	0,2931369	0,5358814	0,8145172	0,0902859	0,5092502	0,6501503	0,7817188	0,1029574
180	0,2316700	0,5873497	0,5310660	0,6679117	0,0102624	0,4117221	0,5829465	0,0617436	0,3068982	0,6431533	0,6770127	0,0931548	0,5318361	0,7009389	0,7240629	0,0625992
200	0,1705433	0,8130863	0,5579918	0,7166790	0,0196329	0,3756602	0,7681514	0,0667143	0,2501650	0,6948185	0,6741256	0,0878489	0,3698105	0,6366472	0,7620753	0,0674335
220	0,1885810	0,7644780	0,5914535	0,8141287	0,0117293	0,3964317	0,5867186	0,0778106	0,2522515	0,5835571	0,6158203	0,1035593	0,3929302	0,6348331	0,9120986	0,0857973
240	0,2612672	0,6692084	0,4752214	0,8124150	0,0141962	0,3227866	0,5764147	0,0806423	0,2271257	0,5442003	0,6316153	0,1393655	0,4922778	0,5819260	0,7465369	0,0996825
