yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP	Time	Experiment
1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	600	6
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	620	6
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	640	6
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	660	6
1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	680	6
1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	700	6
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	720	6
1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	1	740	6
1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	760	6
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	780	6
1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	800	6
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	820	6
