"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
100	0,8602530	0,1719973	0,4583897	0,2433953	1,0151016	0,5530873	0,8832282	0,5106974	0,3531543	0,2957205	0,1048666	0,0364708	0,0022911	0,3282454	0,1391688	0,2542414
120	1,0044240	0,1501313	0,4150797	0,2805187	0,9459067	0,6828985	0,9743046	0,5772069	0,4211028	0,2405766	0,0826564	0,0403698	0,0015234	0,3239615	0,1170004	0,2427938
140	0,9718447	0,0913711	0,4038916	0,3071543	1,0457281	0,7705780	0,9152390	0,6861445	0,3596520	0,1872663	0,0778702	0,1090741	0,0023029	0,3543494	0,1409377	0,2592421
160	0,8708224	0,0689377	0,4325163	0,2671399	1,0705658	0,8672285	0,9637338	0,7453912	0,3656921	0,1359227	0,0877482	0,1694601	0,0022053	0,3805833	0,1551511	0,2653694
180	0,9028732	0,0523313	0,4743640	0,2459692	1,0370707	0,9309884	1,0786937	0,8410961	0,3664735	0,1173631	0,0904065	0,1829494	0,0011339	0,3480242	0,1270956	0,2654444
200	0,8751646	0,0741495	0,4620458	0,2444579	1,0492120	0,9798208	1,1766389	0,9092634	0,3798645	0,1342064	0,0881064	0,2146293	0,0021015	0,3533643	0,1544546	0,2455586
220	0,9701861	0,0614207	0,4597588	0,2444882	1,0283273	0,9503642	1,0200191	0,8720560	0,3599344	0,1347760	0,0962740	0,2585127	0,0023384	0,3644911	0,1698464	0,3244052
240	0,9855883	0,0699812	0,4150985	0,2455287	0,9642615	0,9139659	1,0207197	0,8592310	0,3117797	0,1052889	0,1029232	0,2890122	0,0014262	0,3363536	0,1480339	0,3202501
260	0,9347698	0,0616760	0,4131917	0,2291287	1,0034457	0,9364323	1,0546624	0,9093161	0,3358297	0,0662304	0,1083845	0,2931157	0,0027701	0,3176343	0,1431995	0,3073626
280	0,8426217	0,0454190	0,4446335	0,2509318	0,9801534	0,9857447	1,1201332	0,8943424	0,3355279	0,0631039	0,1000134	0,3149775	0,0048919	0,2783233	0,1502231	0,2975291
300	0,9368373	0,0460682	0,4230470	0,2636691	0,9916056	1,0172007	1,0931004	0,9652987	0,3111205	0,0725206	0,0938819	0,3165726	0,0030143	0,2542117	0,1360142	0,3274062
320	1,0803750	0,0383261	0,3956336	0,2682793	1,0590451	1,0359088	0,9810478	0,9947318	0,3523437	0,0826269	0,0990974	0,3282147	0,0041101	0,2669710	0,1499901	0,3165372
340	0,9436043	0,0563514	0,4020529	0,2563085	1,0147693	1,0915938	1,0267975	1,0299793	0,3258198	0,0912913	0,0836086	0,3160772	0,0059778	0,2495790	0,1299657	0,2815713
360	0,9622531	0,0501731	0,3528730	0,2604564	0,9673091	1,0663904	1,0333424	1,0751099	0,3372012	0,0838789	0,0904900	0,3297259	0,0024902	0,2330205	0,1399122	0,2750929
380	0,8326428	0,0391744	0,3513864	0,2631089	0,9901624	1,0003061	1,0600905	1,0806944	0,2652582	0,0831839	0,0926171	0,3274588	0,0047599	0,2429472	0,1369549	0,2663612
