"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
660	0,5461314	0,6229380	0,0666238	0,2086399	0,7981335	0,1731207	0,6812374	0,4716687	0,6122500	0,5734349	0,1495168	0,5698088	0,3895592	0,4784554	0,4626562	0,4303704
680	0,4774169	0,7114796	0,0404413	0,1928173	0,5827047	0,1933599	0,6998844	0,5350129	0,4879610	0,5819484	0,1303274	0,6039322	0,3605662	0,3863551	0,4865540	0,4671646
700	0,4652333	0,6968357	0,1252298	0,2068992	0,5363841	0,1275295	0,6900334	0,4371310	0,4456077	0,6205889	0,0969526	0,5324079	0,3504151	0,4845088	0,4115892	0,4845693
720	0,5090660	0,6552424	0,0729131	0,1533344	0,6668820	0,1409001	0,6383155	0,5387948	0,4283037	0,5332963	0,0719465	0,4227659	0,4082576	0,3618887	0,4942441	0,5171992
740	0,5309778	0,6361819	0,0344407	0,1770148	0,6277913	0,2031088	0,6520844	0,5872874	0,5146083	0,4805329	0,1099146	0,4355187	0,4094218	0,4630396	0,4893373	0,4100244
760	0,5565418	0,5489174	0,0720435	0,2231838	0,5444402	0,1559783	0,6290077	0,4575128	0,6050342	0,4583692	0,0584200	0,5770831	0,2623819	0,4452935	0,4431744	0,4537022
780	0,6465985	0,6742328	0,0868538	0,1402380	0,4699212	0,1805885	0,5245695	0,5760256	0,5363718	0,4689424	0,1338820	0,4933300	0,3490159	0,4116118	0,4998074	0,3911569
800	0,4631099	0,5447183	0,0750618	0,1623613	0,4853305	0,1952104	0,6736308	0,3768313	0,5837111	0,3639739	0,0495690	0,4756295	0,3153991	0,3693281	0,5133054	0,3404883
820	0,6433187	0,6142365	0,0433879	0,2225565	0,5412637	0,1531245	0,5975697	0,4519919	0,5487561	0,3817322	0,1178410	0,5339763	0,2933833	0,3850216	0,5559772	0,3337964
840	0,5774809	0,7149021	0,0612658	0,2057310	0,5309000	0,1442895	0,5692814	0,4392459	0,5318906	0,4718798	0,1079137	0,3947020	0,2528933	0,4150565	0,5383368	0,3478756
860	0,4605913	0,6959755	0,0784607	0,2389212	0,4225886	0,1834786	0,4822504	0,4481488	0,5964782	0,5083560	0,0953400	0,3643920	0,2474743	0,3545380	0,5435285	0,3626812
880	0,5865666	0,7939155	0,0516641	0,2070631	0,5221436	0,1671007	0,5383675	0,4714744	0,5086192	0,5088762	0,1696647	0,4899474	0,2130192	0,3285990	0,5831872	0,3505977
900	0,4335688	0,7180712	0,0471191	0,1778821	0,5059725	0,1585824	0,4738703	0,4897968	0,5903441	0,4851255	0,0626087	0,3994294	0,2538272	0,3593984	0,4966727	0,4088512
