"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
40	0,6118320	0,9411949	0,0679541	0,1242753	0,6433604	0,1811996	0,7730477	0,7395473	0,8120803	0,4673142	0,0353924	0,5769643	0,2898420	0,4185315	0,6128305	0,2255841
60	0,5295772	0,9505785	0,0595174	0,0745853	0,6839834	0,2224227	0,8071210	0,7792122	0,7969989	0,4855051	0,0275535	0,6188300	0,2810788	0,4951023	0,6319431	0,1806410
80	0,5297141	0,8995583	0,0621139	0,0505084	0,7220694	0,2699802	0,8707347	0,8198769	0,8445836	0,5416182	0,0264665	0,5916989	0,2689369	0,5268916	0,5877243	0,1329044
100	0,4914660	0,8857518	0,0725734	0,0421336	0,8187413	0,3353072	0,8710165	0,8070253	0,7798909	0,6232689	0,0257498	0,5553615	0,3273365	0,5582566	0,6214027	0,1206536
120	0,5878852	0,8446736	0,0961546	0,0262146	0,9389155	0,3131312	0,8952724	0,8598611	0,7621583	0,6272749	0,0386352	0,6842290	0,3348598	0,6962404	0,6078171	0,1268934
140	0,6214470	0,8962183	0,0941167	0,0240072	0,8569901	0,3683584	0,8930657	0,8652542	0,7153813	0,7083650	0,0368573	0,7114048	0,3492756	0,7069864	0,6850609	0,1070860
160	0,6350744	0,8691328	0,0886354	0,0168731	0,9155696	0,3449887	0,9087537	0,9032486	0,7016308	0,7246196	0,0424022	0,7269518	0,3767267	0,6395306	0,5850508	0,1105960
180	0,6271563	0,8651998	0,0757762	0,0072282	0,8765039	0,3742270	0,9361932	0,8583276	0,7347723	0,6354935	0,0428530	0,6891014	0,3701448	0,6522187	0,5713452	0,1046109
200	0,5832975	0,8737547	0,0729105	0,0020354	0,9119901	0,3558879	0,9115106	0,7673760	0,6871516	0,6041261	0,0470506	0,6405737	0,3752591	0,6435896	0,5393538	0,0874509
220	0,5060922	0,8161124	0,0737100	0,0011382	0,8594060	0,3404356	0,9375413	0,8537267	0,6530143	0,6637818	0,0425794	0,6917472	0,3715032	0,6645483	0,5456413	0,0954229
240	0,5871347	0,8824011	0,0958796	0,0007439	0,8639594	0,3430656	0,9044167	0,7773296	0,6802159	0,7364970	0,0358981	0,6967481	0,4202241	0,7174993	0,5216291	0,0748098
260	0,5672345	0,9386421	0,1023862	0,0004798	0,8571333	0,3222314	0,8927580	0,9002057	0,7063110	0,7240230	0,0363202	0,6032573	0,3741948	0,7383248	0,5968198	0,0847746
280	0,5855948	0,9381052	0,1102976	0,0001420	0,8848240	0,3654637	0,9375854	0,8476057	0,7195850	0,6789049	0,0378788	0,6925734	0,3937587	0,7580760	0,6070816	0,0785579
300	0,5944894	0,9459053	0,1171129	0,0005057	0,8736339	0,3600224	0,9904993	0,8595838	0,7176458	0,6742540	0,0492574	0,7146620	0,4115543	0,6778022	0,6636672	0,0813266
320	0,5773013	0,9149069	0,0940988	0,0016844	0,8606553	0,3789914	0,9744410	0,8154076	0,7134636	0,6380518	0,0444496	0,7053541	0,3757552	0,6269992	0,6184281	0,0671219
340	0,5961088	0,9121674	0,0833356	0,0037966	0,9202317	0,3752297	0,9158676	0,9280393	0,7655051	0,6824720	0,0644411	0,6707718	0,4120529	0,6422857	0,5925060	0,0589399
360	0,5673074	0,8724208	0,0754695	0,0047320	0,9214030	0,3829624	0,9540475	0,9294280	0,7648746	0,7035106	0,0482301	0,6933771	0,3763051	0,6533753	0,5431856	0,0692993
380	0,5809317	0,8367529	0,0542268	0,0009509	0,7912247	0,4033456	0,9614163	0,9683134	0,7942753	0,7117729	0,0449731	0,7362761	0,3458950	0,6508824	0,5727509	0,0871675
400	0,5659686	0,8104735	0,0650074	0,0003501	0,8597132	0,3593065	0,9547737	0,9240611	0,8012635	0,6941959	0,0511767	0,6622343	0,3460999	0,6679094	0,5508999	0,0928079
420	0,5166763	0,8331977	0,0805923	0,0000000	0,8385014	0,3884848	0,9194443	0,9022720	0,7644739	0,7462064	0,0477849	0,5755438	0,3666055	0,6231859	0,5843535	0,0726689
440	0,5496854	0,8595143	0,0959059	0,0000334	0,7426452	0,3577197	0,9063696	0,8609966	0,7576281	0,6870516	0,0479306	0,6178095	0,3350051	0,6657815	0,6212575	0,0843180
460	0,5623387	0,8155265	0,0963433	0,0006018	0,8726041	0,3333900	0,9678728	0,8884252	0,7203532	0,6721581	0,0401350	0,6559571	0,3719087	0,6945270	0,5539566	0,0946119
480	0,5945920	0,8536200	0,1171398	0,0001702	0,8904368	0,3682589	1,0028836	0,8538082	0,6707114	0,7415374	0,0538156	0,6533305	0,3605121	0,6773864	0,5639147	0,1026985
500	0,5700697	0,8619099	0,1122706	0,0000946	0,9255229	0,3696957	0,9428303	0,8487871	0,6783363	0,6654898	0,0389829	0,6870840	0,3585846	0,7242122	0,5327919	0,0718746
520	0,5688511	0,8376070	0,1186149	0,0000470	0,9461775	0,3514096	0,9016923	0,8356082	0,6979384	0,6692448	0,0509105	0,7124350	0,3607416	0,7230337	0,5701170	0,0572555
