"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
620	0,3951941	0,2897534	0,4545895	0,1046551	0,7588723	0,5561285	0,9504879	0,2685411	0,5417807	0,2842123	0,5200832	0,3655107	0,5027389	0,3108542	0,2020331	0,0183817
640	0,5248430	0,3149387	0,5092496	0,1177628	0,6980835	0,5101531	0,8845447	0,4698625	0,4951932	0,2981640	0,5556176	0,3172135	0,4255988	0,2736197	0,3400160	0,0176345
660	0,6284332	0,3129194	0,5530733	0,1216482	0,6273225	0,5963147	0,6964968	0,5831673	0,6022086	0,2818178	0,7179914	0,3247647	0,3474460	0,2966349	0,2730688	0,0167843
680	0,7610950	0,2884924	0,5055559	0,0982759	0,5472659	0,5895059	0,7653838	0,5013115	0,5785493	0,2827230	0,6265578	0,3678973	0,4394486	0,2456809	0,2369500	0,0171522
700	0,7157628	0,3848155	0,4279889	0,1148160	0,5241737	0,6055835	0,7695296	0,5962216	0,5823120	0,2883064	0,5577769	0,3418830	0,3048371	0,2456207	0,3000335	0,0037189
720	0,6422990	0,2626783	0,4555774	0,1037673	0,4465389	0,7083204	0,7870304	0,6048202	0,6244330	0,2721245	0,7447264	0,4143343	0,4535925	0,2286022	0,2746233	0,0053744
740	0,6747448	0,2822664	0,4853808	0,0722103	0,5253497	0,5447691	0,8323066	0,4671500	0,5745705	0,2789460	0,5459331	0,2489434	0,3113293	0,3119827	0,3715502	0,0086017
760	0,6373993	0,2309042	0,4561630	0,0873617	0,5088459	0,5206854	0,7013028	0,4817180	0,6023050	0,2313030	0,6596806	0,3740721	0,2990733	0,2990844	0,3474207	0,0122364
780	0,7621896	0,3218807	0,4464594	0,1156740	0,4329961	0,6319642	0,7914209	0,5838281	0,4805779	0,3391598	0,7344056	0,3116427	0,2795384	0,2286026	0,2061762	0,0276376
800	0,8379362	0,3187956	0,4083762	0,0752714	0,4074581	0,6705928	0,6435994	0,5716966	0,6115735	0,2990674	0,5920984	0,3101732	0,2897791	0,2677894	0,2773149	0,0186209
820	0,6965436	0,3081054	0,4284563	0,0994616	0,4778987	0,5609907	0,7289661	0,5367472	0,5855107	0,2781067	0,7424640	0,3684996	0,2869917	0,2487684	0,3538239	0,0092663
840	0,7385578	0,2876843	0,5061512	0,0856850	0,3620102	0,5498012	0,7818485	0,5435603	0,5224852	0,2942087	0,6510337	0,2660885	0,3070666	0,2185509	0,3470115	0,0063911
860	0,7807649	0,2817653	0,4701180	0,1053470	0,3881067	0,6103169	0,7669952	0,5350151	0,5595017	0,2755973	0,6653513	0,2880183	0,3761653	0,2175270	0,2900059	0,0193578
880	0,7366245	0,2968388	0,5052387	0,1105035	0,3026061	0,6102318	0,8779178	0,4577227	0,4608413	0,2761160	0,6867899	0,2354369	0,3420856	0,1375054	0,3129306	0,0149681
900	0,7309317	0,3268110	0,5214011	0,0766387	0,3555607	0,5951791	0,6462783	0,5122156	0,5204761	0,3182601	0,7837590	0,2766848	0,3542341	0,1728870	0,2467249	0,0200932
920	0,7897271	0,2606278	0,4165902	0,0917785	0,3645186	0,5215609	0,7037498	0,4822559	0,6450153	0,2108138	0,6764289	0,2488008	0,3590409	0,1709732	0,3138469	0,0150311
940	0,8422963	0,2688529	0,4885525	0,0802988	0,2656208	0,5062432	0,6403248	0,4847891	0,5795564	0,2306856	0,6331161	0,2349309	0,3540648	0,1775015	0,2649387	0,0251355
960	0,7538006	0,3816373	0,4199315	0,0830871	0,2168321	0,6085339	0,7474623	0,4601645	0,5029597	0,2957655	0,6226263	0,2988914	0,3220519	0,1662296	0,2743420	0,0107889
980	0,7095780	0,3254306	0,4731730	0,1138299	0,2516125	0,5527007	0,6252311	0,5371061	0,5739749	0,3777122	0,6758695	0,2874757	0,3121831	0,2034848	0,3220429	0,0192258
1000	0,8344282	0,3832758	0,5267299	0,1710426	0,1587664	0,5796341	0,6300121	0,5940370	0,6199287	0,3378042	0,7144599	0,3173914	0,3956996	0,1714733	0,3006325	0,0239720
1020	0,9001708	0,2780014	0,3574033	0,0838785	0,2778701	0,6109174	0,7244721	0,4548689	0,5113877	0,3461612	0,6384713	0,3237968	0,2962186	0,1832447	0,3014156	0,0151254
1040	0,7881506	0,2968785	0,5150163	0,1491461	0,2245228	0,5820494	0,7174182	0,6509332	0,5304595	0,3228100	0,6349244	0,2366802	0,3372784	0,2133508	0,3021788	0,0319742
1060	0,8093599	0,3460195	0,5600742	0,1200193	0,1709656	0,6121960	0,5939696	0,5438620	0,4916759	0,3789004	0,7400809	0,3166957	0,3727492	0,2001318	0,2710029	0,0580499
1080	0,6956179	0,2925296	0,4319858	0,0843885	0,1535517	0,5492102	0,6403603	0,5590332	0,4596634	0,3302684	0,5328626	0,2307365	0,4064709	0,1734301	0,3187317	0,0493781
1100	0,7547634	0,3572692	0,3864784	0,1058394	0,1346087	0,4617839	0,6231835	0,3893811	0,4972342	0,3818353	0,6781695	0,2902876	0,3922379	0,2049766	0,2383233	0,0306788

0	0,7951234	0,3132635	0,4004386	0,1045883	0,1390557	0,6542217	0,6887034	0,4788816	0,5579821	0,3115097	0,7837297	0,2665077	0,3366292	0,2370338	0,2370951	0,0263406
20	0,8492057	0,3606584	0,4754229	0,1171628	0,1246807	0,4746203	0,7129692	0,5211589	0,5532693	0,2886661	0,7747551	0,1987502	0,2697581	0,2080542	0,2836501	0,0105704
40	0,8115838	0,3029978	0,4769551	0,0453827	0,1596361	0,5437740	0,6126660	0,4411339	0,4942930	0,2606190	0,7861707	0,1771215	0,3255199	0,2345262	0,3093906	0,0485536
60	0,8323877	0,3043091	0,5327971	0,1345367	0,0972741	0,5281412	0,4134488	0,5706778	0,5913683	0,4445058	0,5775087	0,1575367	0,2277529	0,2157324	0,3437982	0,0242254
80	0,7786884	0,3694362	0,4865494	0,1400744	0,1125971	0,5638865	0,3539151	0,4904781	0,5229630	0,3391872	0,7536424	0,1116677	0,2814049	0,2095009	0,3440729	0,0346453
100	0,6885797	0,3394042	0,4571080	0,0840728	0,0861386	0,5533028	0,2910876	0,4308711	0,4625710	0,2961314	0,6622795	0,1175360	0,2381314	0,2605016	0,3372950	0,0382519
120	0,7028305	0,2612344	0,5145237	0,0918362	0,0638317	0,5247907	0,2807686	0,6036278	0,6115899	0,2252513	0,5687909	0,0859897	0,1857298	0,1589059	0,3698013	0,0509646
140	0,6291812	0,3162576	0,4888003	0,0740957	0,0909455	0,5112887	0,1767004	0,4733697	0,5770492	0,2758059	0,6793958	0,0723056	0,1584347	0,2239843	0,3064140	0,0638760
160	0,6882916	0,2728942	0,5422251	0,0906846	0,1205874	0,6244632	0,1656676	0,5060210	0,6173656	0,2906569	0,6908362	0,0424160	0,1215244	0,2628380	0,3192749	0,0491835
180	0,6627557	0,2836071	0,3908802	0,1030000	0,1054999	0,4543902	0,1648205	0,4715918	0,5992223	0,2330914	0,6200346	0,0208614	0,1362747	0,2046322	0,2774752	0,0552225
200	0,8098344	0,3090423	0,4481672	0,0957059	0,0989366	0,5523415	0,1083353	0,5256463	0,6212930	0,2602250	0,6620569	0,0151305	0,1067771	0,2319553	0,2353587	0,0193171
220	0,7723285	0,3074497	0,4359446	0,0769497	0,1123539	0,6189469	0,0827858	0,5463840	0,5506030	0,2606101	0,6343217	0,0296819	0,1046562	0,2259837	0,2948324	0,0310557
240	0,7605210	0,2473200	0,5434493	0,0682544	0,0754096	0,5631040	0,1054729	0,6183043	0,5297818	0,3246541	0,6222545	0,0043602	0,1114506	0,1706572	0,2247998	0,0195105
260	0,7271822	0,3117738	0,4267750	0,1248956	0,0865756	0,6285937	0,0599947	0,5410324	0,5672057	0,2672010	0,5876113	0,0072721	0,1021081	0,2166018	0,2832851	0,0120984
280	0,6862280	0,3674365	0,3998838	0,1256353	0,0774246	0,5685804	0,0879151	0,6123748	0,4586085	0,2866869	0,5782400	0,0344004	0,1177620	0,1132297	0,2991534	0,0104998
300	0,6441612	0,3355370	0,4157736	0,0868734	0,1116047	0,6281190	0,0185836	0,5466634	0,3666030	0,2856693	0,6081530	0,0071188	0,1415201	0,2443706	0,2231810	0,0154732
320	0,7644228	0,3317013	0,4343240	0,1031785	0,0914052	0,5752159	0,0194292	0,5054200	0,5199114	0,2460846	0,6986598	0,0109145	0,0772814	0,2267293	0,3978773	0,0184719
340	0,7664457	0,3693921	0,4793647	0,0962375	0,0922891	0,5710836	0,0216373	0,5223572	0,5519649	0,3019206	0,6330516	0,0239815	0,0482208	0,2863312	0,2739975	0,0407308
360	0,7508484	0,3574348	0,4207474	0,1092320	0,0854514	0,5423796	0,0238947	0,4980602	0,4702150	0,2950468	0,7180883	0,0225479	0,1249124	0,1717741	0,3046320	0,0316016
380	0,8685114	0,4195741	0,5603252	0,0578557	0,0932285	0,7566567	0,0300933	0,4305507	0,4660396	0,2785634	0,7035432	0,0234489	0,1304456	0,2727694	0,3480734	0,0303760
400	0,8240257	0,3810121	0,4977958	0,0730798	0,1258504	0,5909922	0,0101436	0,5216758	0,5049174	0,2740828	0,6242622	0,0179832	0,0724149	0,2337376	0,2574265	0,0190055
420	0,9071909	0,2927473	0,4402742	0,0796594	0,0810418	0,5819227	0,0384936	0,4611967	0,5279702	0,4082342	0,6724676	0,0101674	0,1344146	0,2076587	0,2791550	0,0381190
