"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD
200	0,7124232	0,3620973	0,3238588	0,8351188	0,6558964	0,7477361	0,7497449	0,5598541	0,6081940	0,8398971	0,7706727	0,3241249	0,7522637	0,2057341	0,8246485	0,2480937
220	0,7021685	0,3890009	0,3009290	0,8228925	0,6503529	0,8216087	0,7729999	0,5324894	0,5728713	0,7324832	0,7361458	0,3299701	0,7614346	0,1815158	0,8361976	0,2444142
240	0,6715566	0,3303743	0,3574894	0,8286941	0,6956479	0,8367765	0,7950734	0,5350868	0,5786007	0,7691022	0,7519549	0,3574523	0,7803691	0,1689788	0,8427502	0,2169808
260	0,6557713	0,3349499	0,4391564	0,7643005	0,7276338	0,8447058	0,8104120	0,4993714	0,5286917	0,7332271	0,7104369	0,3577578	0,7858276	0,1283840	0,8921010	0,2384862
280	0,6921794	0,3674477	0,4034444	0,8094360	0,6607468	0,8131006	0,7813905	0,4667830	0,5527245	0,7376226	0,7460244	0,3312710	0,8020657	0,1967068	0,8401101	0,2651245
300	0,7330072	0,3648835	0,3452124	0,8443987	0,7016928	0,8370532	0,7838233	0,4843184	0,5351594	0,8096119	0,7711991	0,3039939	0,7919322	0,1812822	0,8103110	0,2884103
320	0,7254996	0,3472560	0,3254097	0,8048140	0,6784997	0,8092074	0,7855673	0,4395674	0,5359680	0,8161282	0,8034809	0,3300974	0,7782274	0,1802715	0,8233831	0,2485573
340	0,7338248	0,3170048	0,3358473	0,7872965	0,6581594	0,8083609	0,7627498	0,4412357	0,5271402	0,8350461	0,7940933	0,3736294	0,7534213	0,1727715	0,8875071	0,2366985
360	0,7722041	0,3072104	0,3396407	0,7565951	0,6483423	0,7792673	0,7553217	0,5179612	0,5147395	0,8442644	0,7602095	0,3519021	0,7015597	0,1574459	0,8945868	0,2346781
380	0,7469257	0,2780551	0,3507617	0,7325357	0,7243438	0,7774659	0,7473389	0,5317863	0,6011822	0,8476281	0,7639241	0,3425867	0,7653452	0,1912965	0,9409465	0,2372743
