"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
160	0,0075750	0,5637282	0,3159493	0,1147219	0,0962793	0,2690261	0,0064662	0,0401973	0,1468578	0,3195884	0,2241104	0,4470062	0,0140511	0,0051136	0,3270338	0,4006022
180	0,0037278	0,5693817	0,3401482	0,1395961	0,1007061	0,3248058	0,0125804	0,0171683	0,1609384	0,3608600	0,3286796	0,5227964	0,0064619	0,0082818	0,3352161	0,4596738
200	0,0004636	0,4133207	0,3649628	0,1167286	0,0976718	0,2735257	0,0089499	0,0250382	0,1416730	0,3635263	0,3544532	0,4935466	0,0204610	0,0092900	0,3805097	0,5064139
220	0,0018138	0,4709806	0,4750089	0,1665796	0,1126956	0,3271937	0,0277863	0,0438560	0,2011565	0,3604053	0,2199693	0,5072479	0,0300464	0,0217986	0,3805643	0,5745478
240	0,0000000	0,4775409	0,4725258	0,1936474	0,0794065	0,2444471	0,0051584	0,0150644	0,1911821	0,3843376	0,3240631	0,6942458	0,0255318	0,0873355	0,3921392	0,6142435
260	0,0034044	0,5490788	0,3304941	0,1867216	0,1066810	0,2070618	0,0076858	0,0366088	0,2693956	0,3657510	0,2954922	0,6013360	0,0106976	0,0187800	0,4508983	0,7236955
280	0,0020206	0,5018835	0,3312425	0,2133964	0,1464584	0,3657502	0,0225193	0,0402593	0,2580984	0,3139593	0,3961974	0,6136185	0,0298458	0,0112517	0,4408740	0,5144090
300	0,0024950	0,4967082	0,3360764	0,1766363	0,0683616	0,3559825	0,0084896	0,0375486	0,1753278	0,3730340	0,3188562	0,7029876	0,0359597	0,0117098	0,4705839	0,5383358
320	0,0035714	0,4755969	0,2777947	0,2226115	0,1221471	0,3111549	0,0140979	0,0249962	0,2875258	0,3870382	0,2724386	0,6039961	0,0211436	0,0121623	0,4992809	0,6537422
340	0,0025628	0,4469589	0,4340977	0,1618292	0,1279016	0,2677903	0,0771955	0,0089577	0,2432967	0,4422430	0,2572229	0,5828639	0,0303425	0,0093841	0,3479803	0,6849105
360	0,0032909	0,5205217	0,4680157	0,2201268	0,1711204	0,3725250	0,0311199	0,0315724	0,1403697	0,3493141	0,3781953	0,5950800	0,0179920	0,0248117	0,3845092	0,5647650
380	0,0144161	0,4273846	0,3660005	0,2160370	0,1461441	0,2968057	0,0222370	0,0242052	0,2238370	0,4842599	0,3259425	0,6404245	0,0147829	0,0358884	0,5582554	0,6330289
400	0,0025590	0,4838356	0,3977670	0,1730236	0,1436748	0,3186304	0,0221283	0,0378687	0,2560181	0,3623924	0,2909557	0,6666999	0,0232425	0,0357560	0,5316147	0,7140088
420	0,0169628	0,6183309	0,3407675	0,2346830	0,1167717	0,2453509	0,0139460	0,0247822	0,2756007	0,4253698	0,3217234	0,6585527	0,0218837	0,0204193	0,4275440	0,6569492
440	0,0016546	0,5842984	0,4106780	0,1545521	0,2002931	0,3486200	0,0353836	0,0215786	0,3102059	0,4549397	0,2639818	0,7707009	0,0210559	0,0225079	0,3584840	0,6350444
460	0,0003060	0,4747951	0,4033488	0,1628204	0,1205913	0,2906473	0,0108035	0,0658650	0,3229047	0,4093095	0,3684149	0,6129975	0,0213213	0,0378967	0,4838474	0,7401220
