"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
100	0,3902911	0,2659597	0,4547837	0,1301385	0,5878994	0,5554380	0,7045390	0,0854879	0,2385334	0,2972863	0,6376358	0,2882600	0,3331490	0,4111007	0,2888689	0,0211777
120	0,4484131	0,3436107	0,4676188	0,0909880	0,5648640	0,5301467	0,7826763	0,0967345	0,2401168	0,2278605	0,6406728	0,2714068	0,3630750	0,5452850	0,2986621	0,0219178
140	0,3677882	0,2845118	0,4400134	0,0667923	0,7325184	0,6369192	0,5847818	0,0395816	0,2265829	0,2982246	0,6836406	0,2445391	0,3818270	0,5803212	0,3310545	0,0299141
160	0,3234442	0,2404016	0,5573735	0,1049570	0,5896145	0,6466611	0,7284630	0,0468608	0,2743564	0,2283545	0,6611264	0,3223472	0,4224418	0,6841186	0,3301740	0,0273183
180	0,4344974	0,3076189	0,4897258	0,1185092	0,5185370	0,5026599	0,7427337	0,0532864	0,3313277	0,3158657	0,6454944	0,3042500	0,3422693	0,5955772	0,2933319	0,0136302
200	0,3918737	0,3801826	0,4725137	0,0968902	0,4946325	0,6863392	0,7251209	0,0786703	0,2977135	0,3201386	0,5233658	0,3223534	0,3604433	0,6665440	0,2912571	0,0359566
220	0,3765211	0,3194650	0,5733097	0,1350403	0,6866537	0,5684305	0,6502445	0,0648417	0,2841104	0,3427350	0,7316640	0,3455398	0,3886017	0,5060465	0,3119631	0,0120165
240	0,4322313	0,2521987	0,4217849	0,0596575	0,6345382	0,6135941	0,6902598	0,0603159	0,2657830	0,2569955	0,6395963	0,1957403	0,3655990	0,4779750	0,2337318	0,0188882
260	0,3502103	0,3027653	0,4554062	0,0823716	0,5728870	0,6436718	0,5830360	0,0516463	0,3599695	0,2445662	0,6202501	0,2480059	0,4481944	0,4890399	0,2762358	0,0421232
280	0,3794930	0,2622876	0,5334593	0,0821038	0,5443762	0,6267464	0,8170140	0,0418645	0,3622875	0,3497851	0,6853945	0,3298214	0,3199294	0,5092678	0,2556993	0,0268247
300	0,3013192	0,3224363	0,4504313	0,1772737	0,6485080	0,6404079	0,7174022	0,0739040	0,3164694	0,3429199	0,5563428	0,3262500	0,3936316	0,5715308	0,3106901	0,0478673
320	0,3199226	0,3554202	0,5252142	0,0897445	0,6497161	0,5970826	0,7421381	0,0713347	0,3757507	0,2957858	0,5890357	0,2749242	0,3097082	0,5686271	0,2750302	0,0051946
340	0,3148452	0,3632422	0,4465303	0,0575188	0,6758382	0,6095380	0,8124318	0,0933891	0,3202186	0,2785860	0,5649321	0,3040554	0,2998958	0,4416589	0,2393085	0,0234907
360	0,2811288	0,3518754	0,4154054	0,1360464	0,7507307	0,5820779	0,6880765	0,0968077	0,3956825	0,2590889	0,5591274	0,3231310	0,4004991	0,5524739	0,2742960	0,0189117
380	0,3496539	0,3327257	0,4766528	0,0831018	0,7379887	0,5767831	0,8451054	0,0662957	0,3194243	0,2480976	0,4887855	0,2516731	0,4107006	0,6037662	0,3007221	0,0263519
400	0,3920087	0,3137916	0,4738558	0,1304518	0,7019801	0,5863638	0,7217687	0,0533420	0,3631338	0,3292516	0,6431205	0,2346576	0,3288394	0,6037661	0,3250875	0,0170573
420	0,3509568	0,3978035	0,4659798	0,1414520	0,8272242	0,7345951	0,7259211	0,0605385	0,4105148	0,3224105	0,7204586	0,2616504	0,3578757	0,5626930	0,2582488	0,0555760
440	0,2624408	0,2722345	0,4359942	0,0851243	0,6304422	0,7336304	0,5810332	0,0701018	0,3469401	0,3086994	0,6899402	0,2974877	0,3786186	0,6006728	0,2280678	0,0170070
460	0,3682937	0,2758462	0,5328156	0,1076528	0,6833417	0,6227158	0,7209316	0,0629775	0,2936632	0,3200355	0,7054515	0,2156523	0,3457445	0,5264523	0,3024553	0,0431417
480	0,3218651	0,3602510	0,5053590	0,1077942	0,6222358	0,6657656	0,6453676	0,0462118	0,3800391	0,3784603	0,6266961	0,2349715	0,3041690	0,5080223	0,3101118	0,0133720
500	0,3843108	0,2523987	0,5306491	0,1037359	0,6547775	0,5854217	0,6942217	0,0408865	0,3325813	0,3089799	0,7268362	0,2903993	0,2862540	0,5260879	0,2826094	0,0193285
520	0,3036098	0,2822194	0,5104062	0,0904246	0,7392729	0,5528556	0,7584907	0,0305057	0,3049034	0,3385723	0,5396698	0,3261852	0,2977505	0,4429849	0,2802929	0,0232050
540	0,3692017	0,3496565	0,5245446	0,0849431	0,7740795	0,6005597	0,6992151	0,0718152	0,3754926	0,3307432	0,6909543	0,2567338	0,3195305	0,4652299	0,2943031	0,0133727
560	0,3537910	0,3588353	0,3675583	0,1296307	0,8486442	0,5580096	0,7446186	0,0273568	0,3800241	0,2323048	0,6744864	0,2308015	0,2825847	0,5148702	0,3211624	0,0133475
580	0,4965254	0,2536809	0,4638627	0,0489476	0,6982608	0,5273403	0,7583868	0,2959762	0,5211334	0,3357669	0,6683785	0,2861335	0,3487221	0,3776922	0,2793387	0,0057814
600	0,5895074	0,2341563	0,5564517	0,1491516	0,6032605	0,6084671	0,7802020	0,3916820	0,4569585	0,2755722	0,6214436	0,3787074	0,3025967	0,3148363	0,2854088	0,0156766
620	0,6171328	0,2968915	0,4338990	0,0923663	0,5695114	0,6004353	0,7714604	0,4914860	0,6713730	0,2951246	0,5244862	0,3332674	0,4254740	0,2568028	0,2960062	0,0208236
640	0,6469967	0,3358452	0,5017619	0,0597314	0,7037092	0,6403437	0,7137634	0,5259908	0,6504335	0,3482772	0,7540720	0,3699712	0,3820625	0,1784407	0,3979795	0,0296943
660	0,7087098	0,2383567	0,5131270	0,0806354	0,5824907	0,5791531	0,6857979	0,5448549	0,6869320	0,2753483	0,6701113	0,3284797	0,3461678	0,2532226	0,2897322	0,0170236
680	0,6609035	0,3228356	0,4854175	0,0734518	0,5337775	0,5643419	0,7391226	0,5808413	0,5471526	0,3331776	0,6210678	0,3393100	0,4199479	0,2840262	0,2762251	0,0112513
700	0,6352232	0,3167906	0,5138875	0,0970874	0,4911621	0,4929138	0,8269098	0,5965858	0,5861755	0,3278992	0,6452180	0,2604976	0,4490283	0,1651025	0,3380849	0,0148964
720	0,6592554	0,2958889	0,5475042	0,0773826	0,4481904	0,5190841	0,7402585	0,5018199	0,5582058	0,3143638	0,7344509	0,3391966	0,3230143	0,2010606	0,3065846	0,0050156
740	0,7394593	0,2815338	0,4890569	0,0881112	0,4556389	0,4589219	0,6190111	0,5238703	0,4624217	0,2793277	0,7105658	0,3806965	0,4206915	0,2391291	0,2976080	0,0037098
760	0,7551554	0,2432364	0,4671915	0,1088432	0,4454260	0,6527333	0,7321135	0,5721136	0,4812659	0,2448947	0,6661016	0,4514505	0,3814903	0,2824251	0,2889977	0,0104271
780	0,8178440	0,2529202	0,4871813	0,0848723	0,3728222	0,5981554	0,6631658	0,6050501	0,5630921	0,3207323	0,5754371	0,2997863	0,2970653	0,1637806	0,3631960	0,0256131
800	0,7491144	0,2572470	0,4788395	0,1022388	0,3489030	0,6319361	0,6584911	0,5161360	0,5919732	0,3166782	0,5869391	0,2799298	0,3132513	0,1843648	0,3501426	0,0145786
820	0,7154833	0,3523118	0,5812396	0,0986767	0,4048049	0,6445927	0,5868558	0,5211095	0,5227590	0,3510750	0,7370459	0,2542728	0,3941269	0,2056884	0,3627054	0,0282978
840	0,7799218	0,2198096	0,5175479	0,0967509	0,3847653	0,5622344	0,6509027	0,5218446	0,5660165	0,3118708	0,6965460	0,2690444	0,3376329	0,1593854	0,3294896	0,0134091
860	0,6896312	0,4150002	0,4560469	0,0929335	0,3171314	0,5890532	0,7381406	0,5558080	0,6247031	0,3564561	0,6391082	0,2466400	0,3969418	0,1235653	0,2836768	0,0128623
880	0,6995855	0,2993688	0,4683988	0,0879337	0,3016149	0,6083385	0,6668334	0,6487122	0,6211553	0,2747844	0,6350916	0,2286927	0,3881266	0,2185304	0,2832688	0,0256408
900	0,7289257	0,2054463	0,4908604	0,0489681	0,2014472	0,6081371	0,7007970	0,6126499	0,5212446	0,2767918	0,5967383	0,2563504	0,3544340	0,1749059	0,2917507	0,0173121
920	0,8175568	0,3250151	0,3654087	0,0656209	0,2237917	0,6030058	0,6248899	0,4957565	0,4674088	0,2518901	0,5530238	0,2693442	0,3585386	0,2030692	0,2726634	0,0084507
940	0,7144953	0,3275096	0,4229297	0,0736024	0,2825427	0,5454509	0,7020037	0,4862225	0,4994451	0,2778306	0,5272286	0,2953085	0,3040921	0,1632239	0,2882102	0,0043983
960	0,6343175	0,2781619	0,5217074	0,1475900	0,2190671	0,6737641	0,6581242	0,4669541	0,4864253	0,3067962	0,6732787	0,2559429	0,3251046	0,1737113	0,3094880	0,0099681
980	0,7579893	0,2798593	0,6238285	0,1095557	0,2217119	0,5781249	0,7075911	0,4441929	0,5246699	0,2793062	0,6361068	0,2683879	0,2642552	0,1905044	0,2133137	0,0256649
1000	0,7567456	0,3697618	0,4460693	0,0630315	0,1647808	0,6647330	0,7446557	0,5228313	0,4951029	0,3345658	0,5525283	0,2523869	0,2547479	0,1662776	0,2566148	0,0303706
1020	0,7761973	0,3178685	0,4961406	0,0687422	0,1592578	0,4908479	0,8311379	0,5266462	0,4991981	0,2736111	0,5518729	0,3294772	0,3518520	0,1905984	0,3711149	0,0401923
1040	0,6887076	0,3312471	0,4620796	0,0677239	0,1379832	0,5197406	0,6576745	0,4849281	0,4909034	0,3432879	0,5795021	0,3453140	0,3693629	0,1640643	0,2249880	0,0256031
1060	0,7034086	0,3610881	0,4106126	0,0992221	0,1990100	0,5250153	0,6894637	0,4778203	0,5375545	0,2842356	0,5695283	0,3664560	0,3496835	0,1460749	0,3069402	0,0368389
1080	0,6979995	0,3143002	0,5466013	0,1162189	0,1686876	0,5064336	0,7164744	0,4916416	0,3990305	0,2645431	0,5826241	0,2803136	0,3268009	0,1822222	0,3654244	0,0270970
1100	0,6523038	0,2106233	0,4075467	0,0556896	0,1317907	0,5236469	0,6880337	0,5116577	0,3832960	0,3172086	0,6058771	0,2730177	0,2906755	0,2074603	0,3116333	0,0159051

0	0,8730611	0,3310480	0,4215720	0,0872910	0,1046420	0,7628486	0,6994486	0,5834790	0,5648973	0,3617774	0,6367512	0,3053964	0,2466246	0,2309148	0,2692851	0,0241986
20	0,7350373	0,2484999	0,3231035	0,0777132	0,1266827	0,4615812	0,4457522	0,4952514	0,5139610	0,2354455	0,6087630	0,1355830	0,3146693	0,2942663	0,3313525	0,0369780
40	0,8646044	0,3590494	0,4340427	0,0780728	0,0902817	0,5609343	0,3039937	0,4560259	0,5660477	0,3856761	0,6890763	0,0592522	0,1952233	0,2218424	0,3282162	0,0335165
60	0,7347118	0,2272978	0,4057015	0,2656439	0,1179150	0,5760680	0,2531335	0,5075716	0,5409272	0,2413905	0,6050186	0,0335837	0,1960132	0,2216399	0,3064488	0,0119584
80	0,6446116	0,2309707	0,5248010	0,0713083	0,1139820	0,6268851	0,1405609	0,4312466	0,4784871	0,3068833	0,4902410	0,0241021	0,1348288	0,1705906	0,3065470	0,0389991
100	0,6564655	0,2947462	0,4320941	0,0545283	0,1143850	0,5945966	0,1418335	0,4802417	0,4899176	0,3617875	0,5693300	0,0154229	0,1258258	0,1816483	0,3039787	0,0317716
120	0,7841569	0,2461372	0,3599729	0,0679800	0,0974625	0,5878299	0,0888859	0,4955531	0,5621693	0,3000373	0,5784039	0,0094417	0,2049460	0,1713111	0,2769621	0,0292011
140	0,7567261	0,2353984	0,3697731	0,0925178	0,0866152	0,5295927	0,0515534	0,4513944	0,4592786	0,2586379	0,6921849	0,0022434	0,1276598	0,1413460	0,2338772	0,0221885
160	0,6965264	0,2854148	0,3249014	0,1253686	0,0910568	0,4970536	0,0710608	0,4891787	0,5480472	0,3117260	0,7387693	0,0145256	0,2105825	0,1715671	0,3245199	0,0057736
180	0,8186097	0,2858318	0,3963619	0,0948003	0,1193276	0,5892315	0,0394451	0,4704336	0,4895050	0,3850384	0,6896394	0,0107889	0,0979634	0,1866255	0,2845397	0,0171120
200	0,7031562	0,2207465	0,4030354	0,0754492	0,1375420	0,5262577	0,0315936	0,5594443	0,5527944	0,2523883	0,6410973	0,0131099	0,1249069	0,2495598	0,2648897	0,0197338
220	0,8187879	0,2617848	0,4646092	0,0830028	0,0969526	0,5413502	0,0432069	0,6338809	0,5465656	0,2743276	0,5702987	0,0104458	0,1355032	0,2048358	0,2754405	0,0155490
240	0,8449893	0,3121781	0,3050229	0,1085352	0,0857759	0,6038356	0,0099371	0,4891335	0,5212068	0,2490643	0,5565184	0,0124983	0,1037448	0,1261350	0,3011321	0,0369563
260	0,8599914	0,2803614	0,3824663	0,0675828	0,1058722	0,5075936	0,0033659	0,5020306	0,5356945	0,2988746	0,6865623	0,0038880	0,1252826	0,1968873	0,3943974	0,0252445
280	0,7175763	0,2317245	0,4925107	0,0856220	0,0678433	0,5650082	0,0145141	0,5238303	0,5132489	0,2525960	0,6234628	0,0161002	0,0941603	0,1690061	0,2428918	0,0312607
300	0,6827742	0,2285996	0,4012341	0,0857397	0,0983945	0,6699720	0,0236520	0,5614954	0,5742342	0,2493035	0,6617790	0,0067967	0,0951304	0,2392448	0,3609202	0,0179721
320	0,9185646	0,2337862	0,4505597	0,1308226	0,0560645	0,5882230	0,0146190	0,6058008	0,4490679	0,2687375	0,7280410	0,0159017	0,0974925	0,2068095	0,3362212	0,0226086
340	0,8300280	0,2812820	0,4251533	0,0570611	0,1335238	0,5245671	0,0136549	0,5176453	0,5504918	0,2764045	0,6601463	0,0076580	0,0972638	0,2688553	0,2854467	0,0181789
360	0,7782235	0,3525472	0,4605237	0,0834126	0,0992223	0,5269369	0,0072400	0,4480077	0,5128507	0,2703656	0,6475714	0,0029982	0,1161908	0,2284767	0,3794041	0,0124091
380	0,7743911	0,3366984	0,4225633	0,1040581	0,0793237	0,6231237	0,0257393	0,3935922	0,6263531	0,3663620	0,6638623	0,0049949	0,1538607	0,2458936	0,3473124	0,0137027
400	0,8537679	0,2630232	0,4660927	0,0686539	0,0738869	0,4481548	0,0096954	0,5128952	0,5419781	0,3250841	0,6325295	0,0252053	0,1419638	0,1683777	0,3140415	0,0335550
420	0,7922551	0,3089591	0,4742066	0,0975819	0,0888047	0,5893243	0,0031313	0,5112891	0,5949839	0,3314679	0,7285430	0,0045607	0,1425674	0,2144179	0,2801127	0,0219808
440	0,8330609	0,2418564	0,4543667	0,1100016	0,0715998	0,5579668	0,0068374	0,5489849	0,6176698	0,2562167	0,6307261	0,0087698	0,1817139	0,2852435	0,3484380	0,0275481
