"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD
300	0,4803404	0,2921207	0,1963621	0,6632286	0,5045642	0,6674540	0,6774878	0,3641727	0,3590770	0,6296689	0,5858335	0,2283079	0,6721992	0,1649345	0,7593530	0,2235098
320	0,4689669	0,2993005	0,2829700	0,6701793	0,5112085	0,6198307	0,8452566	0,3377821	0,4651441	0,6501235	0,6065768	0,3270350	0,6224279	0,2129021	0,6159558	0,1840570
340	0,5157087	0,3082815	0,3116441	0,5751899	0,6849953	0,8094308	0,8374287	0,4146584	0,4564893	0,6970685	0,6692188	0,2709186	0,5205166	0,1507347	0,7279352	0,2391332
360	0,5821533	0,3330191	0,2650165	0,6863380	0,5810819	0,6208224	0,6832058	0,3676388	0,4143323	0,7701834	0,7351926	0,3125427	0,5812749	0,1279394	0,8773208	0,2023400
380	0,4382807	0,2245401	0,3568056	0,6771367	0,5177765	0,6232118	0,7126048	0,4393354	0,5832272	0,8380680	0,6749822	0,3054823	0,5807655	0,1266074	0,6984041	0,2122546
400	0,5049982	0,2524266	0,2591558	0,5970060	0,4820304	0,5874941	0,5580588	0,4969940	0,3906933	0,6652624	0,6728287	0,2873295	0,6092143	0,2071835	0,8042783	0,2199842
420	0,5265088	0,2922971	0,3079370	0,5709378	0,4271427	0,6642723	0,5584181	0,3968720	0,3936723	0,8640001	0,6365722	0,3590959	0,5778460	0,1915703	0,7546322	0,2212725
440	0,4874449	0,3902288	0,2147633	0,5420820	0,6196762	0,6813758	0,5799615	0,4685194	0,3842917	0,7222646	0,5198743	0,3487619	0,5274435	0,0900127	0,6631734	0,1574263
460	0,5616196	0,2087182	0,1967187	0,6597611	0,5176831	0,5817101	0,6956464	0,4829052	0,2836647	0,7089290	0,5910262	0,2764135	0,6409554	0,1419588	0,6624135	0,1330548
480	0,5255650	0,2095652	0,3035394	0,6542007	0,5764181	0,6188763	0,5677515	0,4505246	0,4091987	0,7331156	0,5847970	0,2910693	0,6119991	0,0949179	0,6442822	0,1875030
500	0,6226568	0,1579182	0,3420324	0,5697075	0,6454651	0,5944442	0,7769213	0,4083434	0,4209632	0,7178814	0,5022557	0,2893384	0,5772117	0,1471225	0,7316079	0,1603736
