"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
520	1,0675961	0,6161974	0,8899979	0,1977335	1,0009055	0,1387676	0,4783595	1,0584850	0,3588351	0,3299552	0,9242957	0,0177686	0,9512110	0,5707761	0,7666589	0,9880234
540	1,0588802	0,6520097	0,8880879	0,2130339	1,0215335	0,1212629	0,5254392	1,0444230	0,3539531	0,3323003	0,9709585	0,0207182	0,9713478	0,5647329	0,7283982	0,8740605
560	1,0104823	0,7234612	0,8893059	0,2420086	1,0483291	0,1106500	0,4659086	0,9958340	0,3135863	0,3104121	0,9629663	0,0235224	1,0055087	0,5682787	0,7849646	0,8547835
580	1,0165121	0,7078059	0,9023197	0,2136499	0,9849149	0,0986602	0,4270911	0,9409447	0,3142106	0,3075118	0,9128077	0,0727957	0,9186027	0,5845462	0,7740297	0,9108194
600	1,0204324	0,6449477	0,9319142	0,1625446	0,9715731	0,1008801	0,4451447	0,9433029	0,3180622	0,2899985	0,8906302	0,1663770	0,8434431	0,5821193	0,7910031	0,9570164
620	1,0172002	0,6479088	0,9038488	0,2057890	0,9661026	0,0991980	0,4442068	0,9297041	0,3261109	0,2991955	0,8758484	0,3310583	0,8895849	0,5344224	0,7528808	1,0574639
640	0,9868022	0,6534642	0,9896397	0,2052746	0,9664600	0,0951835	0,4168696	0,9090963	0,2349033	0,3524519	0,9196410	0,3866701	0,8807565	0,5966212	0,7811140	1,0722048
660	0,9511245	0,6705536	1,0004152	0,1876752	0,9931508	0,0972485	0,5520489	0,9690486	0,1771974	0,3470888	0,7862684	0,4432254	0,7789321	0,6318665	0,7225074	1,1039660
680	0,9414693	0,7152797	1,0571060	0,1750798	0,9354574	0,1209514	0,5204566	0,9517904	0,1645642	0,3159212	0,8654745	0,4579109	0,8583717	0,6207682	0,7237851	0,9850535
700	0,9822246	0,6423954	1,0790092	0,1575605	0,9692991	0,1366823	0,4999166	0,9532999	0,1324262	0,2981047	0,8846788	0,5029486	0,8771110	0,6233071	0,7158520	0,8790876
720	1,0056694	0,6365194	1,0800231	0,1671296	1,0038333	0,1638254	0,5680505	0,9764725	0,1022914	0,3232047	0,9361836	0,5701072	0,8331760	0,6028819	0,6905128	0,9008612
740	1,0621105	0,5832896	1,0341581	0,1710289	1,0090855	0,1375890	0,5166610	1,0272590	0,0960804	0,3049090	0,9299712	0,5797411	0,8939669	0,6037501	0,6021918	0,9098345
760	1,0990023	0,6588456	1,0936533	0,1608902	0,9983885	0,1192482	0,5150298	0,9783058	0,0898795	0,2712762	0,9520756	0,6175610	0,8760538	0,5568644	0,6240053	0,8993575
