"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
660	0,7607539	0,3958103	0,2625864	0,1457441	0,7155613	0,1172195	0,6002721	0,2465422	0,1057950	0,6225993	0,0525854	0,0064792	0,0024211	0,1107723	0,0624921	0,1829099
680	0,7702333	0,3511508	0,3394595	0,1832723	0,7378409	0,1054631	0,4924110	0,2105607	0,0758095	0,7915576	0,0734705	0,0157947	0,0012559	0,1278295	0,0553020	0,1092857
700	0,5876673	0,3828213	0,3732521	0,1693913	0,8644690	0,1291080	0,5477407	0,2454860	0,1163141	0,7301064	0,0428120	0,0200740	0,0120285	0,1855517	0,0802569	0,1522367
720	0,7129084	0,4488529	0,2501622	0,1469057	0,7519521	0,0955566	0,5378346	0,2188325	0,1261266	0,7395545	0,1395619	0,0221073	0,0033196	0,1304421	0,0807478	0,0863860
740	0,5348602	0,3103304	0,3018195	0,2053766	0,8742742	0,1648968	0,5265431	0,1853244	0,2287110	0,7924565	0,0808270	0,0625356	0,0074458	0,1404838	0,0807566	0,1874603
760	0,6305761	0,4103405	0,2994209	0,1605761	0,8895276	0,1976759	0,5567566	0,2446626	0,2502607	0,8226974	0,1070029	0,0254115	0,0024701	0,1503790	0,0931329	0,1391826
780	0,7429892	0,5339840	0,2904584	0,1916583	0,8267330	0,1542390	0,5901934	0,2471047	0,1885315	0,9213287	0,1038594	0,0244561	0,0004347	0,1484704	0,0806448	0,2381200
800	0,7832762	0,5212705	0,3704158	0,1361385	0,9036458	0,2160411	0,6189434	0,3165395	0,2436076	0,9132102	0,1165887	0,0172352	0,0040835	0,2167591	0,0740734	0,1541460
820	0,7360993	0,4579858	0,2779299	0,2140921	0,7637633	0,1366252	0,4422046	0,3332504	0,2298010	0,8197472	0,1794035	0,0308717	0,0010277	0,1898475	0,0684285	0,3034163
840	0,5606020	0,3563637	0,3558998	0,1375063	0,8260989	0,0969728	0,4406172	0,1999211	0,2211653	0,8536792	0,1119583	0,0394216	0,0002465	0,2569290	0,0996548	0,1431036
860	0,5201196	0,4387479	0,3499317	0,2149142	0,8379782	0,1357552	0,6969449	0,2977884	0,1985617	0,7213210	0,1533187	0,0161447	0,0050698	0,2061782	0,1060521	0,2215414
880	0,6652825	0,4260563	0,2763283	0,1948943	0,7911165	0,1238101	0,8368780	0,2394991	0,2431216	0,9071987	0,1197956	0,0250081	0,0055949	0,2913163	0,1147358	0,2341507
