"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA
880	0,6380935	0,7160987	0,4906696	0,6869508	0,6829062	0,3698245	0,6183594	0,2923891	0,5329228	0,4306842	0,3638539	0,3656765	0,5677792	0,0303547	0,3899372	0,4411643
900	0,5750007	0,7410483	0,4786417	0,7113749	0,5729349	0,4301514	0,5942720	0,3838117	0,5984956	0,3700496	0,3542766	0,3561552	0,5281225	0,0303910	0,4643303	0,4149339
920	0,5602143	0,7650090	0,4293437	0,6333063	0,7435330	0,3837354	0,4601711	0,3608632	0,6026745	0,2705039	0,4459423	0,4673303	0,4962492	0,0462297	0,4535947	0,4037172
940	0,5314119	0,6764640	0,5778441	0,8057577	0,6350341	0,4664510	0,4224461	0,4119722	0,5925738	0,3769949	0,3856523	0,4818551	0,5620481	0,0201521	0,5103928	0,3733369
960	0,7343912	0,6859066	0,4459884	0,7455556	0,5621661	0,4429340	0,5008380	0,3761823	0,6847483	0,3369059	0,4535526	0,4211127	0,7061790	0,0352597	0,4733769	0,3684677
980	0,5790778	0,5984587	0,5700043	0,7014433	0,6355778	0,4183873	0,5855490	0,4783190	0,6294728	0,3649901	0,5113154	0,3706183	0,5313986	0,0217758	0,5867849	0,3777610
1000	0,5335341	0,6302153	0,4677606	0,8065721	0,8396248	0,3462066	0,5376580	0,3808809	0,5797488	0,4199305	0,4791933	0,4628476	0,5281581	0,0332002	0,4474322	0,3941565
1020	0,5197947	0,6735145	0,3754320	0,7467418	0,5908553	0,3310227	0,5212834	0,4939711	0,6733174	0,3968704	0,5522938	0,3581535	0,5709964	0,0373691	0,3673286	0,4310459
1040	0,5358499	0,5944103	0,4579899	0,7747387	0,5134716	0,3982301	0,6728434	0,3614838	0,7973225	0,3759732	0,5205129	0,3428292	0,5960904	0,0213069	0,4570547	0,4889184
1060	0,6040980	0,6907607	0,4717227	0,6386203	0,6401362	0,4550914	0,5477049	0,4106628	0,7611127	0,4321577	0,4686889	0,3489662	0,6396463	0,0709584	0,4560859	0,3079459
1080	0,5914692	0,6482421	0,4407812	0,6710349	0,5455915	0,5146504	0,6028186	0,4607524	0,7120562	0,4435842	0,5711870	0,3974365	0,6739133	0,0402579	0,3589606	0,2491939
1100	0,6164027	0,4819467	0,5093762	0,7264846	0,6836376	0,5018111	0,5608702	0,3920863	0,6954546	0,5490640	0,5934930	0,4058053	0,4326015	0,0362976	0,3756375	0,3465225

0	0,5651466	0,6459656	0,4789695	0,0211201	0,0262151	0,7841784	0,0836731	0,6920183	0,0906494	0,0540216	0,0395812	0,0181401	0,0895138	0,7064578	0,0008571	0,7607692
20	0,5555713	0,6304493	0,4889755	0,0610758	0,0113836	0,6674141	0,0734324	0,6974283	0,0825257	0,0273410	0,0761583	0,0253075	0,1058633	0,6504117	0,0324676	0,7660473
40	0,6106606	0,6009687	0,4497564	0,2057163	0,0247240	0,5920082	0,0727659	0,7869371	0,1870130	0,0307606	0,2095184	0,0798038	0,2025039	0,8185997	0,2129003	0,5211622
60	0,6294986	0,6705441	0,3762463	0,2756933	0,0341545	0,6132867	0,0924793	0,6767796	0,2009800	0,0225520	0,2653761	0,0807619	0,2310805	0,6283897	0,2314389	0,5011221
80	0,4614998	0,6696859	0,4015586	0,3793860	0,0291700	0,6200529	0,0586784	0,6504542	0,2077525	0,0171080	0,3835208	0,0906752	0,2528603	0,6387292	0,2887800	0,3103656
