hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD	Time	Experiment
0	1	1	1	0	0	0	0	0	1	0	1	1	0	1	0	820	5
0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	840	5
1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	860	5
1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	880	5
0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	900	5
1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	920	5
0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	940	5
1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	960	5
1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	980	5
1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	1000	5
1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1020	5
1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1040	5
1	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1060	5
0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	1080	5
0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1100	5
1	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	6
0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	20	6
0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	40	6
1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	60	6
0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	80	6
0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	100	6
0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	120	6
0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1	140	6
1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	160	6
1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	180	6
0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	200	6
1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	220	6
0	1	0	0	1	0	1	0	1	1	1	0	1	0	1	0	240	6
0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	260	6
1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	280	6
1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	300	6
1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	320	6
0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	340	6
0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	360	6
0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	380	6
0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	400	6
0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	420	6
0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	440	6
1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	460	6
0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	480	6
0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	1	500	6
0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	520	6
1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	540	6
0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	560	6
0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	580	6
0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	600	6
0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	620	6
0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	640	6
