"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
720	0,8842764	0,5586871	0,4361335	0,2779985	1,0000000	0,2212292	0,7444239	0,3559993	0,2841058	0,9918643	0,1717352	0,0271302	0,0032786	0,2712975	0,1127689	0,2738593
740	0,8842764	0,5586871	0,4363035	0,2779985	1,0000000	0,2212292	0,7459356	0,3559993	0,3037847	0,9953352	0,1817701	0,0271302	0,0032877	0,2780160	0,1200528	0,2738593
760	0,8842764	0,5586871	0,4363733	0,2779985	1,0000000	0,2212292	0,7467238	0,3559993	0,3183026	0,9972977	0,1884485	0,0271302	0,0032926	0,2822574	0,1251165	0,2738593
780	0,8842764	0,5586871	0,4364019	0,2779985	1,0000000	0,2212292	0,7471348	0,3559993	0,3287501	0,9984072	0,1927920	0,0271302	0,0032952	0,2848967	0,1285256	0,2738593
800	0,8842764	0,5586871	0,4364137	0,2779985	1,0000000	0,2212292	0,7473491	0,3559993	0,3361312	0,9990346	0,1955675	0,0271302	0,0032966	0,2865207	0,1307657	0,2738593
820	0,8842764	0,5586871	0,4364185	0,2779985	1,0000000	0,2212292	0,7474608	0,3559993	0,3412730	0,9993893	0,1973163	0,0271302	0,0032973	0,2875108	0,1322102	0,2738593
840	0,8842764	0,5586871	0,4364205	0,2779985	1,0000000	0,2212292	0,7475190	0,3559993	0,3448153	0,9995898	0,1984059	0,0271302	0,0032977	0,2881100	0,1331279	0,2738593
860	0,8842764	0,5586871	0,4364213	0,2779985	1,0000000	0,2212292	0,7475494	0,3559993	0,3472343	0,9997033	0,1990786	0,0271302	0,0032980	0,2884705	0,1337039	0,2738593
880	0,8842764	0,5586871	0,4364217	0,2779985	1,0000000	0,2212292	0,7475652	0,3559993	0,3488741	0,9997674	0,1994907	0,0271302	0,0032981	0,2886862	0,1340619	0,2738593
900	0,8842764	0,5586871	0,4364218	0,2779985	1,0000000	0,2212292	0,7475735	0,3559993	0,3499793	0,9998037	0,1997416	0,0271302	0,0032981	0,2888147	0,1342827	0,2738593
920	0,8842764	0,5586871	0,4364218	0,2779985	1,0000000	0,2212292	0,7475778	0,3559993	0,3507203	0,9998242	0,1998935	0,0271302	0,0032982	0,2888911	0,1344178	0,2738593
940	0,8842764	0,5586871	0,4364219	0,2779985	1,0000000	0,2212292	0,7475800	0,3559993	0,3512152	0,9998358	0,1999850	0,0271302	0,0032982	0,2889363	0,1345001	0,2738593
960	0,8842764	0,5586871	0,4364219	0,2779985	1,0000000	0,2212292	0,7475812	0,3559993	0,3515445	0,9998423	0,2000399	0,0271302	0,0032982	0,2889629	0,1345499	0,2738593
980	0,8842764	0,5586871	0,4364219	0,2779985	1,0000000	0,2212292	0,7475818	0,3559993	0,3517629	0,9998460	0,2000728	0,0271302	0,0032982	0,2889786	0,1345800	0,2738593
1000	0,8842764	0,5586871	0,4364219	0,2779985	1,0000000	0,2212292	0,7475821	0,3559993	0,3519075	0,9998481	0,2000924	0,0271302	0,0032982	0,2889879	0,1345980	0,2738593
1020	0,8842764	0,5586871	0,4364219	0,2779985	1,0000000	0,2212292	0,7475823	0,3559993	0,3520029	0,9998493	0,2001040	0,0271302	0,0032982	0,2889933	0,1346089	0,2738593
1040	0,8842764	0,5586871	0,4364219	0,2779985	1,0000000	0,2212292	0,7475824	0,3559993	0,3520658	0,9998500	0,2001110	0,0271302	0,0032982	0,2889965	0,1346153	0,2738593
1060	0,8842764	0,5586871	0,4364219	0,2779985	1,0000000	0,2212292	0,7475824	0,3559993	0,3521071	0,9998504	0,2001151	0,0271302	0,0032982	0,2889984	0,1346192	0,2738593
1080	0,8842764	0,5586871	0,4364219	0,2779985	1,0000000	0,2212292	0,7475825	0,3559993	0,3521343	0,9998506	0,2001175	0,0271302	0,0032982	0,2889994	0,1346215	0,2738593
1100	0,8842764	0,5586871	0,4364219	0,2779985	1,0000000	0,2212292	0,7475825	0,3559993	0,3521521	0,9998507	0,2001189	0,0271302	0,0032982	0,2890001	0,1346228	0,2738593

0	0,8842762	0,5586871	0,4364222	0,2780186	1,0000000	0,2212335	0,7475818	0,3559967	0,3523417	0,9998509	0,2001396	0,0271303	0,0032983	0,2890099	0,1346429	0,2740337
20	0,8842763	0,3101987	0,4364221	0,2780115	1,0000000	0,2356971	0,7568824	0,3630991	0,3522890	0,6012407	0,1436500	0,0278678	0,0018375	0,2890064	0,1346359	0,2739881
40	0,8842764	0,1843380	0,4364220	0,2780069	1,0000000	0,3159884	0,7945787	0,3996273	0,3522540	0,3761626	0,1134698	0,0321913	0,0010839	0,2890043	0,1346316	0,2739544
60	0,8842764	0,1209455	0,4364219	0,2780040	1,0000000	0,4706403	0,8471501	0,4709281	0,3522308	0,2490707	0,0973456	0,0433246	0,0007382	0,2890030	0,1346289	0,2739295
80	0,8842764	0,0887184	0,4364219	0,2780020	1,0000000	0,6402786	0,8963168	0,5654547	0,3522155	0,1773073	0,0887311	0,0652171	0,0006549	0,2890022	0,1346273	0,2739111
100	0,8842764	0,0721826	0,4364219	0,2780008	1,0000000	0,7730942	0,9337158	0,6637540	0,3522053	0,1367857	0,0841287	0,1002468	0,0007761	0,2890017	0,1346263	0,2738976
120	0,8842764	0,0636553	0,4364219	0,2780000	1,0000000	0,8616797	0,9590075	0,7504947	0,3521987	0,1139048	0,0816698	0,1453637	0,0010871	0,2890014	0,1346257	0,2738875
140	0,8842764	0,0592479	0,4364219	0,2779995	1,0000000	0,9169137	0,9749740	0,8193086	0,3521943	0,1009850	0,0803561	0,1926276	0,0015788	0,2890012	0,1346253	0,2738802
160	0,8842764	0,0569678	0,4364219	0,2779991	1,0000000	0,9503930	0,9846542	0,8703941	0,3521914	0,0936897	0,0796542	0,2346216	0,0022178	0,2890011	0,1346251	0,2738747
180	0,8842764	0,0557876	0,4364219	0,2779989	1,0000000	0,9704347	0,9903875	0,9067923	0,3521895	0,0895704	0,0792792	0,2678805	0,0029375	0,2890011	0,1346250	0,2738707
200	0,8842764	0,0551767	0,4364219	0,2779988	1,0000000	0,9823623	0,9937400	0,9320636	0,3521882	0,0872444	0,0790789	0,2923142	0,0036558	0,2890010	0,1346249	0,2738677
220	0,8842764	0,0548604	0,4364219	0,2779987	1,0000000	0,9894402	0,9956880	0,9493155	0,3521874	0,0859310	0,0789718	0,3094144	0,0043035	0,2890010	0,1346249	0,2738655
240	0,8842764	0,0546967	0,4364219	0,2779986	1,0000000	0,9936339	0,9968175	0,9609569	0,3521869	0,0851893	0,0789146	0,3210052	0,0048409	0,2890010	0,1346248	0,2738639
260	0,8842764	0,0546119	0,4364219	0,2779986	1,0000000	0,9961167	0,9974726	0,9687464	0,3521865	0,0847706	0,0788841	0,3286908	0,0052586	0,2890010	0,1346248	0,2738627
280	0,8842764	0,0545680	0,4364219	0,2779985	1,0000000	0,9975861	0,9978532	0,9739247	0,3521863	0,0845341	0,0788678	0,3337069	0,0055669	0,2890010	0,1346248	0,2738618
300	0,8842764	0,0545453	0,4364219	0,2779985	1,0000000	0,9984555	0,9980749	0,9773493	0,3521861	0,0844006	0,0788590	0,3369417	0,0057856	0,2890010	0,1346248	0,2738612
320	0,8842764	0,0545335	0,4364219	0,2779985	1,0000000	0,9989699	0,9982044	0,9796040	0,3521860	0,0843252	0,0788544	0,3390082	0,0059361	0,2890010	0,1346248	0,2738607
340	0,8842764	0,0545274	0,4364219	0,2779985	1,0000000	0,9992742	0,9982802	0,9810830	0,3521860	0,0842827	0,0788519	0,3403182	0,0060370	0,2890010	0,1346248	0,2738603
360	0,8842764	0,0545243	0,4364219	0,2779985	1,0000000	0,9994543	0,9983247	0,9820498	0,3521859	0,0842586	0,0788506	0,3411432	0,0061035	0,2890010	0,1346248	0,2738601
380	0,8842764	0,0545227	0,4364219	0,2779985	1,0000000	0,9995609	0,9983509	0,9826800	0,3521859	0,0842450	0,0788498	0,3416599	0,0061465	0,2890010	0,1346248	0,2738599
400	0,8842764	0,0545218	0,4364219	0,2779985	1,0000000	0,9996239	0,9983664	0,9830896	0,3521859	0,0842374	0,0788495	0,3419820	0,0061741	0,2890010	0,1346248	0,2738597
420	0,8842764	0,0545214	0,4364219	0,2779985	1,0000000	0,9996613	0,9983755	0,9833552	0,3521859	0,0842331	0,0788493	0,3421818	0,0061916	0,2890010	0,1346248	0,2738596
440	0,8842764	0,0545212	0,4364219	0,2779985	1,0000000	0,9996834	0,9983809	0,9835271	0,3521859	0,0842306	0,0788492	0,3423054	0,0062026	0,2890010	0,1346248	0,2738595
460	0,8842764	0,0545210	0,4364219	0,2779985	1,0000000	0,9996964	0,9983841	0,9836381	0,3521859	0,0842292	0,0788491	0,3423815	0,0062094	0,2890010	0,1346248	0,2738595
480	0,8842764	0,0545210	0,4364219	0,2779985	1,0000000	0,9997042	0,9983860	0,9837096	0,3521859	0,0842284	0,0788491	0,3424283	0,0062136	0,2890010	0,1346248	0,2738594
500	0,8842764	0,0545209	0,4364219	0,2779985	1,0000000	0,9997087	0,9983871	0,9837557	0,3521859	0,0842280	0,0788490	0,3424569	0,0062162	0,2890010	0,1346248	0,2738594
520	0,8842764	0,0545209	0,4364219	0,2779985	1,0000000	0,9997115	0,9983878	0,9837853	0,3521859	0,0842278	0,0788490	0,3424744	0,0062178	0,2890010	0,1346248	0,2738594
