"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
500	0,7407551	0,4696647	0,5947591	0,1250991	0,7757139	0,0575314	0,3478646	0,6453791	0,3216899	0,2084672	0,6925013	0,0156332	0,6961746	0,4257294	0,4646159	0,6321297
520	0,8317355	0,4702053	0,6088020	0,1777249	0,8339694	0,1119862	0,3869760	0,8540472	0,2676747	0,2768714	0,6376340	0,0241361	0,6569112	0,5542107	0,4868444	0,5576197
540	0,8287877	0,5818498	0,5909485	0,1375408	0,7925483	0,0638670	0,3316200	0,6224833	0,2222956	0,2489935	0,7348162	0,0075221	0,7919290	0,3775733	0,5341364	0,5911893
560	0,6379531	0,4432706	0,6097018	0,1563130	0,7708473	0,1098822	0,2748102	0,6643734	0,2815476	0,3083385	0,7206280	0,0140325	0,7636494	0,4544347	0,5500587	0,8043287
580	0,6946182	0,4857174	0,7086322	0,1285712	0,6974215	0,0716364	0,3991284	0,6714128	0,1857243	0,1976202	0,6592669	0,1485977	0,6018903	0,4230326	0,5005326	0,7857264
600	0,7434207	0,5122118	0,7076666	0,1784466	0,6940347	0,1063017	0,3991782	0,7223695	0,1797528	0,1726482	0,5922477	0,3237241	0,6923748	0,4696477	0,4687715	0,8405570
620	0,7782033	0,5015665	0,7318940	0,0985474	0,7893155	0,0794061	0,2948055	0,6235878	0,0735948	0,2302887	0,6701014	0,4251591	0,6684032	0,3761740	0,5452721	0,7180590
640	0,7390088	0,5356023	0,6777567	0,1537137	0,6661832	0,1008927	0,4093942	0,8014803	0,0826943	0,2669973	0,6869257	0,5018665	0,6394965	0,4047715	0,5512167	0,7642310
660	0,6533822	0,5782640	0,7511268	0,1854025	0,6363422	0,0724820	0,3573872	0,6777835	0,0861713	0,1671035	0,5605978	0,3983235	0,6278448	0,4022862	0,5315478	0,7981576
680	0,6529596	0,5225059	0,6132961	0,1059837	0,6456046	0,1156594	0,3550194	0,6901211	0,0539479	0,2830887	0,6478217	0,5023420	0,6323058	0,4814300	0,3643114	0,6444005
700	0,6699389	0,4248949	0,7191422	0,1529895	0,6985311	0,1258981	0,3451225	0,6815205	0,0496303	0,2024356	0,6921552	0,3717057	0,8279498	0,4578123	0,4238204	0,8306401
720	0,7439140	0,4724106	0,5899183	0,0973824	0,6701955	0,1157675	0,3017771	0,6823121	0,0318883	0,2567523	0,7129388	0,4303382	0,6571101	0,3869066	0,4805418	0,7012070
740	0,6864847	0,4021631	0,6226260	0,2029099	0,7153258	0,0879950	0,3129519	0,6410565	0,0605742	0,2335848	0,6765584	0,4621084	0,5977481	0,3459965	0,5765115	0,7336494
760	0,7597806	0,3845665	0,8297273	0,0757288	0,6584726	0,1023866	0,2723996	0,7038740	0,0294225	0,1915740	0,6655741	0,5155530	0,6936859	0,3522102	0,3803697	0,6022271
780	0,6527948	0,4494267	0,7522581	0,0857401	0,8020493	0,1137742	0,3281708	0,6126178	0,0233319	0,1743764	0,6431023	0,5071909	0,5352336	0,4940817	0,4869224	0,7368955
800	0,7850699	0,4622851	0,7324744	0,0950919	0,7355726	0,1243446	0,3471982	0,6146138	0,0228151	0,2014640	0,6197842	0,4302198	0,7277768	0,3896910	0,4164526	0,6430029
820	0,6388100	0,4636415	0,7638381	0,1163063	0,6891337	0,1354057	0,3604323	0,6472609	0,0277480	0,1802575	0,7011713	0,5589399	0,5493447	0,3793220	0,4617587	0,8332938
840	0,6522810	0,4350595	0,7549993	0,1426644	0,7259965	0,0990948	0,2627251	0,6742435	0,0145672	0,1427232	0,6419307	0,5003257	0,5770942	0,4007885	0,4108073	0,5864373
860	0,7003528	0,5394050	0,7050457	0,0761144	0,7726035	0,1325893	0,2551292	0,6880373	0,0385252	0,2045559	0,7723210	0,5405696	0,6286072	0,5453309	0,4378091	0,8206685
880	0,6608560	0,4865034	0,6140901	0,1117297	0,7643964	0,1212265	0,2893695	0,6777749	0,0237243	0,1626320	0,7394530	0,6858052	0,6158651	0,3719095	0,4312777	0,6024770
900	0,6183953	0,4748292	0,7654177	0,1020727	0,7044286	0,1343123	0,2944064	0,7716778	0,0466050	0,2803753	0,6432267	0,5779038	0,6377689	0,5570187	0,4302966	0,7377295
920	0,6273435	0,5557239	0,7760867	0,0819577	0,7345906	0,1040006	0,4016512	0,6803541	0,0288341	0,1860207	0,6608837	0,6181027	0,7243631	0,4759518	0,4951499	0,7089773
940	0,6572215	0,6889924	0,8596347	0,1002329	0,7705553	0,2125327	0,3014461	0,7569116	0,0586227	0,1870106	0,6600710	0,5973866	0,7215698	0,3953711	0,5141774	0,5751332
960	0,6440917	0,5260959	0,7202071	0,1021175	0,7961710	0,1233718	0,3472184	0,6439004	0,0421679	0,1905132	0,7196933	0,5265097	0,6297407	0,4599230	0,5654335	0,6553355
980	0,6000302	0,6944910	0,6250612	0,1494372	0,7719252	0,0870164	0,3262938	0,7914632	0,0507163	0,2289034	0,6250483	0,5606927	0,6198640	0,5590007	0,4856278	0,8217053
1000	0,7353948	0,5820769	0,7073376	0,1239920	0,6252629	0,0951610	0,3096022	0,8036587	0,0516723	0,2350254	0,6015939	0,5626695	0,7650659	0,4519829	0,5266509	0,8273742
1020	0,7682626	0,6311823	0,7704103	0,1524713	0,6323295	0,1151774	0,2887229	0,5353116	0,0223645	0,2327159	0,7579758	0,6587663	0,6947360	0,5537721	0,5593885	0,6831917
1040	0,7250551	0,4880040	0,6026193	0,1425638	0,7457968	0,1276728	0,3318658	0,6984981	0,0269592	0,2015426	0,7072276	0,5042285	0,5964036	0,4351447	0,5510577	0,7231635
1060	0,7182341	0,4706330	0,7737431	0,1523380	0,6973046	0,0833043	0,2792168	0,7777723	0,0316199	0,2097717	0,6788888	0,5218218	0,7411753	0,4661823	0,4810966	0,7085051
1080	0,7500625	0,3773264	0,7145782	0,0890902	0,8078599	0,1186615	0,3345843	0,7291613	0,0423742	0,2001556	0,7102168	0,4604913	0,7070032	0,5070135	0,6015678	0,7071795
1100	0,7622973	0,4803727	0,6601549	0,0994439	0,7401783	0,0737199	0,3539929	0,7905880	0,0317266	0,2263784	0,7428496	0,4962676	0,6162874	0,4735701	0,4597929	0,6628403

0	0,6505443	0,4826181	0,7412140	0,1316087	0,6493294	0,1571785	0,2701017	0,6306197	0,0330190	0,2619634	0,6309426	0,3578346	0,5912676	0,4736562	0,4993286	0,7795087
20	0,7830916	0,5238616	0,5684621	0,1851310	0,6681494	0,0701861	0,3404892	0,3292345	0,0782357	0,2619633	0,6903590	0,4266414	0,7286685	0,3948767	0,5049734	0,6668969
40	0,6502178	0,5286192	0,4703219	0,1470178	0,7838190	0,1186545	0,3437093	0,2244556	0,0848543	0,2022874	0,5713484	0,4300405	0,5708244	0,3542592	0,5203301	0,7027572
60	0,6141266	0,5579398	0,3052689	0,2325847	0,8104960	0,0759502	0,3347463	0,1959265	0,1001453	0,2611856	0,7016355	0,3143916	0,6022817	0,5449207	0,6463299	0,6443093
80	0,7927115	0,4709595	0,3202691	0,2653590	0,5542229	0,0499040	0,3825250	0,0682914	0,1158005	0,2623603	0,7665111	0,2108477	0,5875640	0,4862024	0,5491005	0,7763609
100	0,8450112	0,4493229	0,2194997	0,3701295	0,6188353	0,0499719	0,3054610	0,0372878	0,1397291	0,3441407	0,6615117	0,2970898	0,5726612	0,5553182	0,5004140	0,6999412
120	0,6744635	0,4880795	0,2597809	0,3129377	0,6754369	0,0154076	0,3222946	0,0230243	0,1227085	0,2917029	0,6427879	0,1799164	0,5995760	0,6491157	0,5709233	0,7078440
140	0,8672453	0,4369665	0,2896524	0,3567511	0,7115736	0,0161838	0,3297593	0,0293091	0,1914483	0,3874284	0,6213969	0,1185114	0,6389775	0,3992417	0,5752588	0,6455925
160	0,8640205	0,4596000	0,2530176	0,4775674	0,7046919	0,0090664	0,3115703	0,0399592	0,1909828	0,4351413	0,5838485	0,2056514	0,6333350	0,4911340	0,4436791	0,7241027
180	0,6752634	0,4032328	0,2936665	0,4046213	0,7106972	0,0146460	0,3419250	0,0257555	0,1977693	0,5293614	0,5987068	0,0909035	0,5692357	0,3935562	0,4785437	0,7076981
200	0,6885706	0,3822534	0,1964331	0,4431735	0,7618380	0,0195811	0,3259710	0,0266991	0,2425991	0,5023280	0,5936644	0,0911772	0,5260530	0,4493208	0,4399629	0,7149713
220	0,7954099	0,5068490	0,2477140	0,3747346	0,7900331	0,0074921	0,4126138	0,0210887	0,2101603	0,5489332	0,5794451	0,0669016	0,5591417	0,4149848	0,4990326	0,7129998
240	0,7884272	0,3719794	0,3062419	0,4804655	0,6743021	0,0139996	0,3393712	0,0208816	0,3176127	0,5131714	0,7057107	0,0583222	0,4409794	0,6243115	0,4495246	0,7668831
260	0,7735068	0,4545897	0,2611785	0,5312318	0,7547259	0,0008869	0,2534778	0,0457292	0,3266729	0,4941312	0,7122822	0,0759802	0,4457568	0,4479222	0,5541368	0,6905198
280	0,6530082	0,3428341	0,2389847	0,4961951	0,5550953	0,0013862	0,3001157	0,0107087	0,3666664	0,6500282	0,6033502	0,0763409	0,4720616	0,4641328	0,5954147	0,6607064
300	0,7080623	0,4711156	0,2380673	0,6918818	0,8006917	0,0002451	0,2662229	0,0321807	0,3013655	0,5374292	0,6003843	0,0398035	0,4377155	0,3224357	0,4121958	0,7829470
320	0,8555309	0,4548091	0,2537702	0,5551587	0,8577731	0,0018765	0,2857091	0,0234915	0,3955755	0,4988193	0,6329446	0,0307808	0,4366973	0,3974240	0,5667259	0,6305792
340	0,8016000	0,4142351	0,2123422	0,4712556	0,6233729	0,0028643	0,3160595	0,0083462	0,2617378	0,4698427	0,7301616	0,0227592	0,4042983	0,3629440	0,5234362	0,6241922
360	0,8064708	0,3751478	0,1842973	0,5121595	0,6681933	0,0009093	0,3203439	0,0088628	0,3293811	0,4360394	0,5973932	0,0374972	0,5246094	0,4681371	0,5055838	0,6880741
380	0,7878880	0,4925041	0,1719131	0,5084822	0,7976815	0,0002369	0,2747332	0,0167520	0,3102461	0,5912391	0,7485133	0,0303494	0,5450506	0,4641316	0,5251559	0,7193661
