"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
920	0,5961986	0,4602965	0,9505483	0,1290774	0,7385713	0,1902886	0,3501010	0,6253317	0,0262018	0,2017486	0,7248758	0,5352712	0,5213636	0,3329985	0,5241930	0,6176418
940	0,6942425	0,6006003	0,8164540	0,1070791	0,7257589	0,1342886	0,2793818	0,7778848	0,0399428	0,2097771	0,5955182	0,4928636	0,5669641	0,4260401	0,5027582	0,7184571
960	0,5935138	0,5018259	0,6416024	0,1148369	0,7327525	0,1372026	0,2837673	0,7103860	0,0435109	0,2200434	0,6281574	0,5599550	0,6628840	0,3666475	0,4756891	0,7499823
980	0,7007031	0,5836606	0,8125119	0,0833492	0,8476616	0,1314416	0,2332650	0,7882409	0,0402201	0,2321022	0,7182542	0,5511278	0,8469327	0,4222490	0,4658953	0,6207949
1000	0,7282788	0,5051019	0,7476863	0,0801437	0,6422400	0,0726825	0,3332746	0,6988130	0,0407630	0,1575475	0,6443071	0,4469255	0,7279026	0,4821070	0,5731349	0,8044765
1020	0,6950988	0,6181531	0,8773487	0,0987723	0,8813878	0,0615850	0,3038983	0,7001600	0,0528002	0,1873203	0,6355611	0,6097045	0,7096962	0,5010823	0,4887864	0,8065996
1040	0,7707147	0,5784282	0,6086254	0,1344994	0,7607796	0,1232194	0,4460485	0,7315895	0,0382578	0,2020784	0,7299760	0,4211420	0,8431138	0,3670518	0,5554441	0,8583553
1060	0,8362146	0,5287422	0,6871425	0,1072530	0,6766178	0,1139227	0,3764482	0,6354371	0,0442798	0,1674043	0,6721437	0,4306851	0,6072538	0,4979491	0,6003838	0,8914630
1080	0,6371338	0,5138399	0,6326784	0,0998399	0,8941613	0,0815033	0,2852208	0,6737455	0,0390249	0,1687488	0,6286046	0,4960897	0,7263809	0,6157816	0,5875894	0,7650205
1100	0,6296359	0,4013003	0,6782190	0,1467506	0,8303144	0,1168617	0,3713531	0,6651656	0,0315617	0,2359795	0,7290636	0,5416252	0,6838820	0,3150325	0,5836268	0,6276366

0	0,6695680	0,5773353	0,7063107	0,1962802	0,7796289	0,1676699	0,3636748	0,7406248	0,0320700	0,2639885	0,5600953	0,4756304	0,5546357	0,4193537	0,4793930	0,6627252
20	0,7568274	0,6014059	0,6408286	0,1389608	0,7612718	0,0645140	0,3739599	0,7392377	0,0564395	0,2186040	0,7817447	0,4254002	0,5346261	0,5526756	0,4978736	0,5852004
40	0,6869414	0,4988012	0,5195919	0,1960505	0,8613563	0,0922410	0,3936708	0,6142236	0,0692800	0,2575419	0,5149178	0,3602723	0,6248745	0,4902920	0,5286943	0,6684427
60	0,6459765	0,5289696	0,3588239	0,2005758	0,6058380	0,1431820	0,4018388	0,5300689	0,1068414	0,2568768	0,6762136	0,3713027	0,5430995	0,4294329	0,5843015	0,6724188
