"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
80	1,0017067	0,4393009	0,6320547	0,1453162	0,1118433	0,7282903	0,5003662	0,6787421	0,6962732	0,3909171	0,9430850	0,1735406	0,3168991	0,2952617	0,4456809	0,0468420
100	0,9708908	0,3901212	0,6458632	0,1007497	0,1282889	0,7523820	0,4027540	0,6612727	0,6776677	0,3897876	0,9227656	0,1325829	0,2660766	0,2745750	0,4521286	0,0461006
120	0,9530049	0,3722199	0,7080720	0,1214737	0,1190382	0,7525235	0,3552588	0,6353517	0,7166449	0,3522968	0,8805732	0,0875596	0,2335721	0,2565810	0,4532872	0,0565123
140	0,9712874	0,3860114	0,6946809	0,1254557	0,1300598	0,7246412	0,2964384	0,6447555	0,7187412	0,3623825	0,8233517	0,0594290	0,2216140	0,2603174	0,4342505	0,0573735
160	0,9401793	0,3446450	0,6500904	0,1185205	0,1323916	0,7549392	0,2311414	0,6388381	0,7733454	0,3716584	0,8618318	0,0490293	0,1864592	0,2425878	0,3984154	0,0479120
180	1,0169076	0,3608723	0,6124404	0,1088786	0,1525286	0,7995151	0,1792876	0,6915350	0,7823278	0,3745795	0,8935249	0,0326451	0,1962081	0,2262948	0,3605258	0,0326784
200	1,0242466	0,3946447	0,6077400	0,1147852	0,1512182	0,7865624	0,1278179	0,7136045	0,8136370	0,3656037	0,8630314	0,0281115	0,1513182	0,2708176	0,3633273	0,0299913
220	1,0674229	0,3721962	0,6746806	0,1205879	0,1513644	0,7912184	0,1124510	0,7427540	0,8188800	0,3488919	0,7805725	0,0284596	0,1351595	0,2843275	0,3548919	0,0295549
240	1,0628368	0,4027159	0,6587834	0,1081313	0,1138932	0,8109521	0,0885366	0,8365231	0,7894275	0,3740081	0,7594361	0,0228672	0,1308018	0,2648226	0,3614721	0,0302192
260	1,1233453	0,3692696	0,6462112	0,1198690	0,1207896	0,8607310	0,0672956	0,7586598	0,7672929	0,3613802	0,7175911	0,0177598	0,1483002	0,2839787	0,3381418	0,0176884
