"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
600	0,2225206	1,0000000	0,4386192	0,3666935	0,0000148	0,4904172	0,0140205	0,0355394	0,0668066	0,2024227	0,1322272	0,3335520	0,1729518	0,0000843	0,1035284	0,0911882
620	0,2225206	1,0000000	0,4386192	0,3666935	0,0000179	0,4904172	0,0140205	0,0355394	0,0714255	0,2804176	0,1322272	0,3335520	0,1472583	0,0000843	0,0845402	0,0911882
640	0,2225206	1,0000000	0,4386192	0,3666935	0,0000207	0,4904172	0,0140205	0,0355394	0,0756242	0,3384521	0,1322272	0,3335520	0,1227451	0,0000843	0,0675960	0,0911882
660	0,2225206	1,0000000	0,4386192	0,3666935	0,0000232	0,4904172	0,0140205	0,0355394	0,0791230	0,3780142	0,1322272	0,3335520	0,1012301	0,0000843	0,0537372	0,0911882
680	0,2225206	1,0000000	0,4386192	0,3666935	0,0000252	0,4904172	0,0140205	0,0355394	0,0818922	0,4036291	0,1322272	0,3335520	0,0832315	0,0000843	0,0429713	0,0911882
700	0,2225206	1,0000000	0,4386192	0,3666935	0,0000268	0,4904172	0,0140205	0,0355394	0,0840107	0,4196603	0,1322272	0,3335520	0,0686294	0,0000843	0,0348882	0,0911882
720	0,2225206	1,0000000	0,4386192	0,3666935	0,0000281	0,4904172	0,0140205	0,0355394	0,0855927	0,4294555	0,1322272	0,3335520	0,0570280	0,0000843	0,0289648	0,0911882
740	0,2225206	1,0000000	0,4386192	0,3666935	0,0000290	0,4904172	0,0140205	0,0355394	0,0867529	0,4353347	0,1322272	0,3335520	0,0479471	0,0000843	0,0247020	0,0911882
760	0,2225206	1,0000000	0,4386192	0,3666935	0,0000298	0,4904172	0,0140205	0,0355394	0,0875919	0,4388152	0,1322272	0,3335520	0,0409166	0,0000843	0,0216770	0,0911882
780	0,2225206	1,0000000	0,4386192	0,3666935	0,0000303	0,4904172	0,0140205	0,0355394	0,0881919	0,4408532	0,1322272	0,3335520	0,0355179	0,0000843	0,0195545	0,0911882
800	0,2225206	1,0000000	0,4386192	0,3666935	0,0000308	0,4904172	0,0140205	0,0355394	0,0886171	0,4420361	0,1322272	0,3335520	0,0313984	0,0000843	0,0180787	0,0911882
820	0,2225206	1,0000000	0,4386192	0,3666935	0,0000311	0,4904172	0,0140205	0,0355394	0,0889161	0,4427177	0,1322272	0,3335520	0,0282703	0,0000843	0,0170604	0,0911882
840	0,2225206	1,0000000	0,4386192	0,3666935	0,0000313	0,4904172	0,0140205	0,0355394	0,0891251	0,4431080	0,1322272	0,3335520	0,0259039	0,0000843	0,0163623	0,0911882
860	0,2225206	1,0000000	0,4386192	0,3666935	0,0000315	0,4904172	0,0140205	0,0355394	0,0892703	0,4433303	0,1322272	0,3335520	0,0241192	0,0000843	0,0158864	0,0911882
880	0,2225206	1,0000000	0,4386192	0,3666935	0,0000316	0,4904172	0,0140205	0,0355394	0,0893708	0,4434564	0,1322272	0,3335520	0,0227763	0,0000843	0,0155635	0,0911882
900	0,2225206	1,0000000	0,4386192	0,3666935	0,0000317	0,4904172	0,0140205	0,0355394	0,0894399	0,4435277	0,1322272	0,3335520	0,0217679	0,0000843	0,0153453	0,0911882
920	0,2225206	1,0000000	0,4386192	0,3666935	0,0000318	0,4904172	0,0140205	0,0355394	0,0894874	0,4435678	0,1322272	0,3335520	0,0210117	0,0000843	0,0151984	0,0911882
940	0,2225206	1,0000000	0,4386192	0,3666935	0,0000319	0,4904172	0,0140205	0,0355394	0,0895199	0,4435903	0,1322272	0,3335520	0,0204453	0,0000843	0,0150999	0,0911882
960	0,2225206	1,0000000	0,4386192	0,3666935	0,0000319	0,4904172	0,0140205	0,0355394	0,0895421	0,4436029	0,1322272	0,3335520	0,0200215	0,0000843	0,0150339	0,0911882
980	0,2225206	1,0000000	0,4386192	0,3666935	0,0000319	0,4904172	0,0140205	0,0355394	0,0895571	0,4436100	0,1322272	0,3335520	0,0197047	0,0000843	0,0149900	0,0911882
1000	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895674	0,4436139	0,1322272	0,3335520	0,0194680	0,0000843	0,0149607	0,0911882
1020	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895743	0,4436161	0,1322272	0,3335520	0,0192912	0,0000843	0,0149412	0,0911882
1040	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895790	0,4436173	0,1322272	0,3335520	0,0191593	0,0000843	0,0149283	0,0911882
1060	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895821	0,4436179	0,1322272	0,3335520	0,0190608	0,0000843	0,0149198	0,0911882
1080	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895843	0,4436183	0,1322272	0,3335520	0,0189874	0,0000843	0,0149142	0,0911882
1100	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895857	0,4436185	0,1322272	0,3335520	0,0189326	0,0000843	0,0149104	0,0911882

0	0,2225206	1,0000000	0,4386192	0,3666939	0,0000472	0,4904199	0,0140205	0,0355394	0,0896105	0,4436188	0,1322287	0,3335990	0,0187759	0,0000843	0,0149414	0,0912592
20	0,1861842	0,9561766	0,4393266	0,3510810	0,0105010	0,4899979	0,0140205	0,0355394	0,0884865	0,4439679	0,1325410	0,3342054	0,0187750	0,0000847	0,0408360	0,0913398
40	0,1311643	0,8837795	0,4454170	0,3202358	0,0320478	0,4859470	0,0140211	0,0355394	0,0878954	0,4470554	0,1356731	0,3408471	0,0187743	0,0000897	0,0941404	0,0955821
60	0,0867619	0,8205654	0,4593251	0,2886646	0,0559036	0,4752343	0,0140276	0,0355394	0,0916195	0,4545515	0,1445575	0,3615086	0,0187742	0,0001061	0,1557453	0,1204297
80	0,0559166	0,7738455	0,4781402	0,2624386	0,0781452	0,4579881	0,0140532	0,0355397	0,1016955	0,4657156	0,1600926	0,4000144	0,0187770	0,0001447	0,2184886	0,1789022
100	0,0356952	0,7417265	0,4974168	0,2430812	0,0973317	0,4365880	0,0141155	0,0355404	0,1180507	0,4786873	0,1811700	0,4533947	0,0187883	0,0002326	0,2788933	0,2651941
120	0,0227800	0,7204552	0,5140167	0,2299978	0,1132149	0,4140674	0,0142268	0,0355420	0,1391509	0,4916653	0,2056258	0,5147094	0,0188162	0,0004189	0,3346539	0,3644095
140	0,0146349	0,7066606	0,5267072	0,2218463	0,1260625	0,3929873	0,0143885	0,0355447	0,1629009	0,5034198	0,2311768	0,5769892	0,0188684	0,0007600	0,3842884	0,4632663
160	0,0095309	0,6978244	0,5356122	0,2172215	0,1363188	0,3749608	0,0145913	0,0355486	0,1873150	0,5133431	0,2559718	0,6352437	0,0189498	0,0012964	0,4271087	0,5534251
180	0,0063432	0,6922062	0,5414836	0,2149381	0,1444473	0,3606547	0,0148196	0,0355533	0,2108526	0,5212980	0,2787740	0,6867272	0,0190608	0,0020355	0,4630927	0,6310042
200	0,0043559	0,6886504	0,5451909	0,2141034	0,1508657	0,3500274	0,0150571	0,0355586	0,2324997	0,5274312	0,2989201	0,7304422	0,0191981	0,0029510	0,4926843	0,6951366
220	0,0031182	0,6864063	0,5474713	0,2140957	0,1559260	0,3426179	0,0152894	0,0355641	0,2517113	0,5320208	0,3161883	0,7665090	0,0193555	0,0039929	0,5165942	0,7466624
240	0,0023478	0,6849925	0,5488595	0,2145083	0,1599142	0,3377885	0,0155066	0,0355695	0,2683001	0,5353772	0,3306506	0,7956491	0,0195258	0,0051015	0,5356410	0,7872106
260	0,0018685	0,6841028	0,5497071	0,2150914	0,1630587	0,3348883	0,0157023	0,0355745	0,2823211	0,5377889	0,3425496	0,8188343	0,0197016	0,0062195	0,5506435	0,8186387
280	0,0015703	0,6835433	0,5502307	0,2157019	0,1655399	0,3333434	0,0158740	0,0355790	0,2939739	0,5394990	0,3522070	0,8370753	0,0198766	0,0072994	0,5623562	0,8427289
300	0,0013848	0,6831916	0,5505587	0,2162657	0,1674992	0,3326934	0,0160213	0,0355830	0,3035306	0,5407001	0,3599642	0,8513095	0,0200454	0,0083068	0,5714387	0,8610470
320	0,0012695	0,6829705	0,5507666	0,2167508	0,1690479	0,3325938	0,0161455	0,0355864	0,3112865	0,5415381	0,3661467	0,8623526	0,0202042	0,0092203	0,5784461	0,8748989
340	0,0011978	0,6828317	0,5508993	0,2171495	0,1702731	0,3328026	0,0162489	0,0355893	0,3175289	0,5421207	0,3710460	0,8708855	0,0203506	0,0100297	0,5838334	0,8853359
360	0,0011532	0,6827444	0,5509839	0,2174667	0,1712429	0,3331587	0,0163341	0,0355917	0,3225208	0,5425253	0,3749124	0,8774617	0,0204830	0,0107334	0,5879658	0,8931841
380	0,0011254	0,6826896	0,5510377	0,2177130	0,1720112	0,3335618	0,0164037	0,0355936	0,3264928	0,5428066	0,3779553	0,8825224	0,0206011	0,0113356	0,5911316	0,8990817
400	0,0011082	0,6826552	0,5510717	0,2179005	0,1726201	0,3339539	0,0164602	0,0355952	0,3296413	0,5430028	0,3803458	0,8864142	0,0207050	0,0118444	0,5935563	0,9035151
420	0,0010975	0,6826335	0,5510931	0,2180412	0,1731030	0,3343054	0,0165058	0,0355966	0,3321300	0,5431404	0,3822220	0,8894074	0,0207955	0,0122696	0,5954142	0,9068522
440	0,0010908	0,6826200	0,5511065	0,2181453	0,1734860	0,3346045	0,0165426	0,0355976	0,3340931	0,5432376	0,3836941	0,8917108	0,0208734	0,0126219	0,5968391	0,9093690
460	0,0010867	0,6826114	0,5511148	0,2182216	0,1737899	0,3348497	0,0165720	0,0355985	0,3356396	0,5433067	0,3848493	0,8934851	0,0209401	0,0129116	0,5979337	0,9112719
