"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD
700	0,6398657	0,4053278	0,3763162	0,6511761	0,6911279	0,1756358	0,2749424	0,2533570	0,6324469	1,0578108	0,7569411	0,3222323	0,7162563	0,2028368	0,8438406	0,2630485
720	0,7187035	0,3920084	0,3720647	0,6180476	0,6942823	0,1791170	0,2893027	0,2755766	0,6166185	1,0059792	0,7519233	0,3321187	0,7788703	0,2250222	0,8145537	0,2840166
740	0,7245034	0,3689500	0,3421898	0,6681160	0,6770961	0,2032700	0,3018548	0,2402147	0,6203019	0,9477330	0,7588160	0,3527813	0,7452165	0,2202937	0,8376429	0,2860910
760	0,6663278	0,3805011	0,3338602	0,6801244	0,6930120	0,1874406	0,2526775	0,2523116	0,6365474	0,9765282	0,7444665	0,3409554	0,6789770	0,1959439	0,8952614	0,2676677
780	0,6851673	0,3481650	0,3318156	0,6731893	0,6307117	0,1934880	0,2397215	0,2526315	0,5689557	0,9920119	0,7950816	0,3148148	0,7166453	0,1719192	0,8723883	0,2613128
800	0,7522541	0,3775094	0,3052547	0,6366260	0,6790135	0,1838490	0,2257977	0,1902172	0,5751220	0,9268462	0,7839468	0,3243607	0,7749229	0,1720170	0,9282580	0,2366666
820	0,7026160	0,3836958	0,3169126	0,6398634	0,7331962	0,1557783	0,1995956	0,1949633	0,5710083	0,9107776	0,8035398	0,2910665	0,7371072	0,1699313	0,9477971	0,2010798
840	0,6629639	0,3350325	0,3689324	0,6742615	0,7329550	0,1651499	0,1823608	0,2012499	0,5701335	0,9837769	0,7848689	0,3273642	0,6941976	0,1775323	0,9550002	0,1931028
860	0,7084160	0,3101620	0,4121531	0,6421482	0,6989175	0,2192587	0,2066678	0,2167244	0,6224409	0,9826149	0,7683418	0,3274825	0,7439582	0,1537754	0,9091631	0,1985249
880	0,7194524	0,3483207	0,3487479	0,6168863	0,6817868	0,1996536	0,2081431	0,1952379	0,6239621	0,9963556	0,7640310	0,2874550	0,7719568	0,1942713	0,8918345	0,2440340
900	0,6923843	0,3581956	0,3315139	0,5745683	0,6808312	0,2257524	0,2341319	0,2110375	0,6073851	1,0122039	0,7422640	0,3337082	0,7667717	0,1877498	0,8442077	0,2536345
920	0,7216420	0,3372166	0,3542860	0,6349672	0,6563645	0,2040498	0,2169832	0,1807925	0,5864153	0,9755471	0,6919943	0,3718295	0,7776393	0,2013072	0,8289277	0,2741487
940	0,7346473	0,3142172	0,3235955	0,6077039	0,6470396	0,1766727	0,2080403	0,1285199	0,5877080	0,9165261	0,7463269	0,4047638	0,8409872	0,2034325	0,8109879	0,2286599
960	0,7085144	0,3029639	0,2997744	0,6650820	0,6844968	0,1929100	0,2208647	0,1811155	0,5714810	0,9358747	0,7419896	0,3842448	0,8985412	0,2046034	0,7880419	0,2067061
