"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
400	0,8842764	0,5586871	0,0798955	0,2779985	1,0000000	0,2212292	0,1692635	0,3559993	0,1098388	0,3250472	0,0033928	0,0271302	0,0003815	0,0666502	0,0339963	0,2738604
420	0,8842764	0,5586871	0,0798882	0,2779985	1,0000000	0,2212292	0,1692555	0,3559993	0,1097395	0,3244142	0,0033827	0,0271302	0,0003811	0,0665265	0,0339867	0,2738601
440	0,8842764	0,5586871	0,0798839	0,2779985	1,0000000	0,2212292	0,1692511	0,3559993	0,1096746	0,3239963	0,0033769	0,0271302	0,0003808	0,0664497	0,0339811	0,2738599
460	0,8842764	0,5586871	0,0798814	0,2779985	1,0000000	0,2212292	0,1692488	0,3559993	0,1096323	0,3237229	0,0033736	0,0271302	0,0003806	0,0664023	0,0339779	0,2738598
480	0,8842764	0,5586871	0,0798799	0,2779985	1,0000000	0,2212292	0,1692475	0,3559993	0,1096047	0,3235455	0,0033716	0,0271302	0,0003805	0,0663732	0,0339760	0,2738597
500	0,8842764	0,5586871	0,0798791	0,2779985	1,0000000	0,2212292	0,1692468	0,3559993	0,1095867	0,3234313	0,0033705	0,0271302	0,0003804	0,0663554	0,0339749	0,2738596
520	0,8842764	0,5586871	0,0798786	0,2779985	1,0000000	0,2212292	0,1692464	0,3559993	0,1095750	0,3233581	0,0033698	0,0271302	0,0003804	0,0663446	0,0339742	0,2738595
540	0,8842764	0,5586871	0,0798783	0,2779985	1,0000000	0,2212292	0,1692462	0,3559993	0,1095674	0,3233116	0,0033694	0,0271302	0,0003804	0,0663380	0,0339739	0,2738595
560	0,8842764	0,5586871	0,0798781	0,2779985	1,0000000	0,2212292	0,1692461	0,3559993	0,1095625	0,3232821	0,0033692	0,0271302	0,0003803	0,0663340	0,0339737	0,2738594
580	0,8842764	0,5586871	0,1342105	0,2779985	1,0000000	0,2212292	0,2498656	0,3559993	0,1095787	0,3838931	0,0048213	0,0271302	0,0006723	0,0674744	0,0340093	0,2738594
600	0,8842764	0,5586871	0,2217822	0,2779985	1,0000000	0,2212292	0,3860022	0,3559993	0,1101455	0,5126928	0,0097865	0,0271302	0,0012173	0,0774455	0,0346291	0,2738594
620	0,8842764	0,5586871	0,2956677	0,2779985	1,0000000	0,2212292	0,5059459	0,3559993	0,1141662	0,6450152	0,0218332	0,0271302	0,0017558	0,1003827	0,0374806	0,2738594
640	0,8842764	0,5586871	0,3480472	0,2779985	1,0000000	0,2212292	0,5939601	0,3559993	0,1264328	0,7540637	0,0425250	0,0271302	0,0022006	0,1319015	0,0442242	0,2738594
660	0,8842764	0,5586871	0,3823638	0,2779985	1,0000000	0,2212292	0,6531060	0,3559993	0,1486204	0,8352201	0,0690505	0,0271302	0,0025381	0,1654005	0,0549114	0,2738594
680	0,8842764	0,5586871	0,4038982	0,2779985	1,0000000	0,2212292	0,6908415	0,3559993	0,1778314	0,8921917	0,0968960	0,0271302	0,0027818	0,1960774	0,0680429	0,2738593
700	0,8842764	0,5586871	0,4170662	0,2779985	1,0000000	0,2212292	0,7141053	0,3559993	0,2094512	0,9307016	0,1224542	0,0271302	0,0029522	0,2216150	0,0816657	0,2738593
720	0,8842764	0,5586871	0,4249869	0,2779985	1,0000000	0,2212292	0,7281022	0,3559993	0,2396324	0,9560523	0,1438297	0,0271302	0,0030689	0,2415257	0,0942329	0,2738593
740	0,8842764	0,5586871	0,4297000	0,2779985	1,0000000	0,2212292	0,7363717	0,3559993	0,2660956	0,9724171	0,1605506	0,0271302	0,0031474	0,2563290	0,1048865	0,2738593
760	0,8842764	0,5586871	0,4324841	0,2779985	1,0000000	0,2212292	0,7411889	0,3559993	0,2879476	0,9828235	0,1729950	0,0271302	0,0031997	0,2669471	0,1133669	0,2738593
780	0,8842764	0,5586871	0,4341206	0,2779985	1,0000000	0,2212292	0,7439636	0,3559993	0,3052138	0,9893624	0,1819094	0,0271302	0,0032342	0,2743528	0,1198000	0,2738593
800	0,8842764	0,5586871	0,4350793	0,2779985	1,0000000	0,2212292	0,7455472	0,3559993	0,3184078	0,9934316	0,1881057	0,0271302	0,0032568	0,2794036	0,1244993	0,2738593
820	0,8842764	0,5586871	0,4356395	0,2779985	1,0000000	0,2212292	0,7464440	0,3559993	0,3282307	0,9959437	0,1923099	0,0271302	0,0032715	0,2827858	0,1278299	0,2738593
840	0,8842764	0,5586871	0,4359663	0,2779985	1,0000000	0,2212292	0,7469487	0,3559993	0,3353937	0,9974840	0,1951065	0,0271302	0,0032810	0,2850163	0,1301331	0,2738593
860	0,8842764	0,5586871	0,4361568	0,2779985	1,0000000	0,2212292	0,7472311	0,3559993	0,3405302	0,9984230	0,1969364	0,0271302	0,0032872	0,2864686	0,1316939	0,2738593
880	0,8842764	0,5586871	0,4362677	0,2779985	1,0000000	0,2212292	0,7473884	0,3559993	0,3441630	0,9989927	0,1981173	0,0271302	0,0032911	0,2874038	0,1327336	0,2738593
900	0,8842764	0,5586871	0,4363322	0,2779985	1,0000000	0,2212292	0,7474756	0,3559993	0,3467030	0,9993367	0,1988705	0,0271302	0,0032937	0,2880004	0,1334164	0,2738593
920	0,8842764	0,5586871	0,4363697	0,2779985	1,0000000	0,2212292	0,7475238	0,3559993	0,3484619	0,9995437	0,1993462	0,0271302	0,0032953	0,2883779	0,1338593	0,2738593
940	0,8842764	0,5586871	0,4363916	0,2779985	1,0000000	0,2212292	0,7475504	0,3559993	0,3496700	0,9996679	0,1996439	0,0271302	0,0032964	0,2886150	0,1341435	0,2738593
960	0,8842764	0,5586871	0,4364043	0,2779985	1,0000000	0,2212292	0,7475649	0,3559993	0,3504940	0,9997421	0,1998288	0,0271302	0,0032970	0,2887631	0,1343242	0,2738593
980	0,8842764	0,5586871	0,4364116	0,2779985	1,0000000	0,2212292	0,7475729	0,3559993	0,3510527	0,9997864	0,1999429	0,0271302	0,0032975	0,2888549	0,1344382	0,2738593
1000	0,8842764	0,5586871	0,4364159	0,2779985	1,0000000	0,2212292	0,7475773	0,3559993	0,3514296	0,9998127	0,2000129	0,0271302	0,0032977	0,2889117	0,1345096	0,2738593
1020	0,8842764	0,5586871	0,4364184	0,2779985	1,0000000	0,2212292	0,7475797	0,3559993	0,3516827	0,9998283	0,2000557	0,0271302	0,0032979	0,2889466	0,1345540	0,2738593
1040	0,8842764	0,5586871	0,4364199	0,2779985	1,0000000	0,2212292	0,7475810	0,3559993	0,3518520	0,9998376	0,2000816	0,0271302	0,0032980	0,2889679	0,1345815	0,2738593
1060	0,8842764	0,5586871	0,4364207	0,2779985	1,0000000	0,2212292	0,7475817	0,3559993	0,3519648	0,9998430	0,2000974	0,0271302	0,0032981	0,2889810	0,1345984	0,2738593
1080	0,8842764	0,5586871	0,4364212	0,2779985	1,0000000	0,2212292	0,7475820	0,3559993	0,3520399	0,9998463	0,2001068	0,0271302	0,0032981	0,2889889	0,1346087	0,2738593
1100	0,8842764	0,5586871	0,4364215	0,2779985	1,0000000	0,2212292	0,7475822	0,3559993	0,3520896	0,9998482	0,2001125	0,0271302	0,0032982	0,2889937	0,1346151	0,2738593

0	0,8842761	0,5586873	0,4364270	0,2781468	1,0000000	0,2212620	0,7475792	0,3559946	0,3525983	0,9998511	0,2001824	0,0271346	0,0033142	0,2890467	0,1346971	0,2743157
20	0,8842762	0,4981088	0,4364250	0,2780971	1,0000000	0,2231206	0,7490413	0,3567486	0,3524620	0,8975801	0,1831900	0,0272229	0,0029936	0,2890296	0,1346698	0,2741977
40	0,8842763	0,3908005	0,4364237	0,2780640	1,0000000	0,2440026	0,7618232	0,3648572	0,3523703	0,7117833	0,1545706	0,0282557	0,0024077	0,2890189	0,1346527	0,2741101
60	0,8842764	0,2912070	0,4364230	0,2780419	1,0000000	0,3082580	0,7913448	0,3897032	0,3523087	0,5341532	0,1294022	0,0319729	0,0018469	0,2890121	0,1346421	0,2740450
80	0,8842764	0,2139826	0,4364225	0,2780273	1,0000000	0,4167163	0,8315624	0,4358686	0,3522675	0,3925563	0,1109623	0,0408870	0,0014189	0,2890079	0,1346355	0,2739968
100	0,8842764	0,1589198	0,4364223	0,2780175	1,0000000	0,5434547	0,8730756	0,5003821	0,3522400	0,2891502	0,0985864	0,0578762	0,0011579	0,2890053	0,1346314	0,2739610
120	0,8842764	0,1215051	0,4364221	0,2780111	1,0000000	0,6623195	0,9093179	0,5749502	0,3522217	0,2174427	0,0906984	0,0845252	0,0010739	0,2890036	0,1346288	0,2739345
140	0,8842764	0,0968630	0,4364220	0,2780068	1,0000000	0,7602515	0,9377013	0,6504893	0,3522096	0,1693890	0,0858391	0,1193550	0,0011701	0,2890026	0,1346273	0,2739149
160	0,8842764	0,0809828	0,4364220	0,2780040	1,0000000	0,8347710	0,9583490	0,7202339	0,3522015	0,1379597	0,0829169	0,1582185	0,0014412	0,2890020	0,1346263	0,2739004
180	0,8842764	0,0709113	0,4364219	0,2780021	1,0000000	0,8886159	0,9726107	0,7805069	0,3521962	0,1177737	0,0811908	0,1964826	0,0018649	0,2890016	0,1346257	0,2738897
200	0,8842764	0,0646009	0,4364219	0,2780009	1,0000000	0,9261600	0,9821001	0,8301457	0,3521926	0,1049902	0,0801854	0,2307769	0,0023989	0,2890014	0,1346253	0,2738818
220	0,8842764	0,0606843	0,4364219	0,2780001	1,0000000	0,9516726	0,9882429	0,8695839	0,3521903	0,0969852	0,0796060	0,2594488	0,0029880	0,2890012	0,1346251	0,2738759
240	0,8842764	0,0582717	0,4364219	0,2779995	1,0000000	0,9686772	0,9921385	0,9000680	0,3521888	0,0920184	0,0792752	0,2822102	0,0035776	0,2890011	0,1346250	0,2738716
260	0,8842764	0,0567945	0,4364219	0,2779992	1,0000000	0,9798420	0,9945710	0,9231284	0,3521878	0,0889601	0,0790877	0,2995835	0,0041245	0,2890011	0,1346249	0,2738684
280	0,8842764	0,0558946	0,4364219	0,2779989	1,0000000	0,9870856	0,9960721	0,9402739	0,3521871	0,0870891	0,0789821	0,3124465	0,0046022	0,2890010	0,1346249	0,2738660
300	0,8842764	0,0553486	0,4364219	0,2779988	1,0000000	0,9917396	0,9969901	0,9528425	0,3521867	0,0859509	0,0789230	0,3217433	0,0049998	0,2890010	0,1346248	0,2738643
320	0,8842764	0,0550184	0,4364219	0,2779987	1,0000000	0,9947059	0,9975476	0,9619478	0,3521864	0,0852617	0,0788899	0,3283326	0,0053181	0,2890010	0,1346248	0,2738630
340	0,8842764	0,0548194	0,4364219	0,2779986	1,0000000	0,9965836	0,9978844	0,9684787	0,3521862	0,0848461	0,0788716	0,3329283	0,0055648	0,2890010	0,1346248	0,2738620
360	0,8842764	0,0546997	0,4364219	0,2779986	1,0000000	0,9977655	0,9980870	0,9731231	0,3521861	0,0845965	0,0788615	0,3360907	0,0057512	0,2890010	0,1346248	0,2738613
380	0,8842764	0,0546278	0,4364219	0,2779986	1,0000000	0,9985058	0,9982086	0,9764014	0,3521860	0,0844470	0,0788559	0,3382418	0,0058888	0,2890010	0,1346248	0,2738608
400	0,8842764	0,0545848	0,4364219	0,2779985	1,0000000	0,9989674	0,9982813	0,9787005	0,3521860	0,0843578	0,0788528	0,3396907	0,0059887	0,2890010	0,1346248	0,2738604
420	0,8842764	0,0545590	0,4364219	0,2779985	1,0000000	0,9992541	0,9983247	0,9803035	0,3521859	0,0843046	0,0788511	0,3406583	0,0060601	0,2890010	0,1346248	0,2738601
440	0,8842764	0,0545436	0,4364219	0,2779985	1,0000000	0,9994317	0,9983506	0,9814155	0,3521859	0,0842731	0,0788501	0,3412995	0,0061104	0,2890010	0,1346248	0,2738599
460	0,8842764	0,0545344	0,4364219	0,2779985	1,0000000	0,9995413	0,9983661	0,9821833	0,3521859	0,0842544	0,0788496	0,3417215	0,0061455	0,2890010	0,1346248	0,2738598
480	0,8842764	0,0545290	0,4364219	0,2779985	1,0000000	0,9996088	0,9983752	0,9827113	0,3521859	0,0842433	0,0788494	0,3419977	0,0061697	0,2890010	0,1346248	0,2738597
500	0,8842764	0,0545257	0,4364219	0,2779985	1,0000000	0,9996502	0,9983807	0,9830730	0,3521859	0,0842368	0,0788492	0,3421774	0,0061863	0,2890010	0,1346248	0,2738596
520	0,8842764	0,0545238	0,4364219	0,2779985	1,0000000	0,9996756	0,9983840	0,9833200	0,3521859	0,0842329	0,0788491	0,3422938	0,0061976	0,2890010	0,1346248	0,2738595
