"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
680	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4503367	0,0137825	0,1463546	0,2778201	0,1192672	0,3643300	0,1196015	0,3954594	0,1694405	0,1626135	0,0401939
700	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4471706	0,0103664	0,1313711	0,2778201	0,1085869	0,3643300	0,0925584	0,4020954	0,1694405	0,1626135	0,0401939
720	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4455595	0,0087147	0,1223998	0,2778201	0,1022274	0,3643300	0,0727204	0,4059964	0,1694405	0,1626135	0,0401939
740	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4447397	0,0079162	0,1170282	0,2778201	0,0984407	0,3643300	0,0581679	0,4082896	0,1694405	0,1626135	0,0401939
760	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4443224	0,0075301	0,1138120	0,2778201	0,0961859	0,3643300	0,0474927	0,4096377	0,1694405	0,1626135	0,0401939
780	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4441101	0,0073434	0,1118863	0,2778201	0,0948433	0,3643300	0,0396617	0,4104302	0,1694405	0,1626135	0,0401939
800	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4440021	0,0072532	0,1107333	0,2778201	0,0940439	0,3643300	0,0339172	0,4108960	0,1694405	0,1626135	0,0401939
820	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4439471	0,0072095	0,1100429	0,2778201	0,0935679	0,3643300	0,0297031	0,4111699	0,1694405	0,1626135	0,0401939
840	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4439191	0,0071885	0,1096295	0,2778201	0,0932844	0,3643300	0,0266119	0,4113309	0,1694405	0,1626135	0,0401939
860	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4439049	0,0071783	0,1093820	0,2778201	0,0931156	0,3643300	0,0243443	0,4114255	0,1694405	0,1626135	0,0401939
880	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4438977	0,0071733	0,1092339	0,2778201	0,0930151	0,3643300	0,0226808	0,4114811	0,1694405	0,1626135	0,0401939
900	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4438940	0,0071709	0,1091451	0,2778201	0,0929553	0,3643300	0,0214605	0,4115139	0,1694405	0,1626135	0,0401939
920	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4438921	0,0071698	0,1090920	0,2778201	0,0929197	0,3643300	0,0205654	0,4115331	0,1694405	0,1626135	0,0401939
940	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4438911	0,0071692	0,1090602	0,2778201	0,0928985	0,3643300	0,0199087	0,4115444	0,1694405	0,1626135	0,0401939
960	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4438907	0,0071690	0,1090411	0,2778201	0,0928858	0,3643300	0,0194270	0,4115510	0,1694405	0,1626135	0,0401939
980	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4438904	0,0071688	0,1090297	0,2778201	0,0928783	0,3643300	0,0190737	0,4115549	0,1694405	0,1626135	0,0401939
1000	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4438903	0,0071688	0,1090229	0,2778201	0,0928738	0,3643300	0,0188145	0,4115572	0,1694405	0,1626135	0,0401939
1020	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4438902	0,0071687	0,1090188	0,2778201	0,0928712	0,3643300	0,0186243	0,4115586	0,1694405	0,1626135	0,0401939
1040	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4438902	0,0071687	0,1090164	0,2778201	0,0928696	0,3643300	0,0184848	0,4115594	0,1694405	0,1626135	0,0401939
1060	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4438902	0,0071687	0,1090149	0,2778201	0,0928686	0,3643300	0,0183825	0,4115598	0,1694405	0,1626135	0,0401939
1080	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4438902	0,0071687	0,1090140	0,2778201	0,0928681	0,3643300	0,0183075	0,4115601	0,1694405	0,1626135	0,0401939
1100	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4438902	0,0071687	0,1090135	0,2778201	0,0928677	0,3643300	0,0182524	0,4115603	0,1694405	0,1626135	0,0401939

0	1,0000000	0,5385482	0,2358806	0,9146014	0,3440369	0,4438891	0,0071687	0,1090132	0,2778417	0,0928674	0,3643314	0,0181000	0,4115610	0,1694385	0,1626532	0,0402006
20	1,0000000	0,5385497	0,2358811	0,9168645	0,2858626	0,4438893	0,4918379	0,3368540	0,2778340	0,0928669	0,2859910	0,0181002	0,4115604	0,1694389	0,1626393	0,0401983
40	1,0000000	0,5385519	0,2358806	0,9244494	0,2811958	0,4438895	0,7261687	0,4732735	0,2778291	0,0928668	0,2350652	0,0181003	0,4115603	0,1694395	0,1626305	0,0401968
60	1,0000000	0,5385539	0,2358799	0,9328436	0,2903995	0,4438898	0,8394643	0,5549547	0,2778260	0,0928669	0,2019604	0,0181004	0,4115603	0,1694400	0,1626250	0,0401958
80	1,0000000	0,5385552	0,2358792	0,9390255	0,2982648	0,4438900	0,8942412	0,6038612	0,2778240	0,0928671	0,1804404	0,0181005	0,4115604	0,1694403	0,1626214	0,0401952
100	1,0000000	0,5385560	0,2358787	0,9425987	0,3022202	0,4438901	0,9207251	0,6331440	0,2778227	0,0928672	0,1664510	0,0181006	0,4115605	0,1694405	0,1626191	0,0401948
120	1,0000000	0,5385563	0,2358784	0,9442679	0,3035092	0,4438902	0,9335297	0,6506770	0,2778218	0,0928673	0,1573571	0,0181007	0,4115605	0,1694405	0,1626174	0,0401945
140	1,0000000	0,5385564	0,2358783	0,9448589	0,3036137	0,4438902	0,9397205	0,6611748	0,2778213	0,0928673	0,1514454	0,0181007	0,4115605	0,1694406	0,1626163	0,0401943
160	1,0000000	0,5385563	0,2358783	0,9449603	0,3034011	0,4438902	0,9427137	0,6674604	0,2778209	0,0928673	0,1476024	0,0181007	0,4115605	0,1694405	0,1626155	0,0401942
180	1,0000000	0,5385563	0,2358783	0,9448946	0,3032116	0,4438902	0,9441609	0,6712239	0,2778206	0,0928673	0,1451043	0,0181007	0,4115605	0,1694405	0,1626149	0,0401941
200	1,0000000	0,5385562	0,2358783	0,9448014	0,3031125	0,4438902	0,9448605	0,6734772	0,2778205	0,0928673	0,1434803	0,0181008	0,4115605	0,1694405	0,1626144	0,0401940
220	1,0000000	0,5385561	0,2358783	0,9447254	0,3030787	0,4438902	0,9451988	0,6748264	0,2778204	0,0928672	0,1424246	0,0181008	0,4115605	0,1694405	0,1626141	0,0401940
240	1,0000000	0,5385561	0,2358783	0,9446724	0,3030753	0,4438902	0,9453624	0,6756343	0,2778203	0,0928672	0,1417383	0,0181008	0,4115605	0,1694405	0,1626139	0,0401940
260	1,0000000	0,5385561	0,2358783	0,9446374	0,3030806	0,4438902	0,9454415	0,6761180	0,2778202	0,0928672	0,1412922	0,0181008	0,4115605	0,1694405	0,1626138	0,0401939
280	1,0000000	0,5385561	0,2358784	0,9446143	0,3030857	0,4438902	0,9454797	0,6764076	0,2778202	0,0928672	0,1410022	0,0181008	0,4115605	0,1694405	0,1626137	0,0401939
300	1,0000000	0,5385561	0,2358784	0,9445991	0,3030886	0,4438902	0,9454982	0,6765810	0,2778202	0,0928672	0,1408137	0,0181008	0,4115605	0,1694405	0,1626136	0,0401939
320	1,0000000	0,5385561	0,2358784	0,9445889	0,3030898	0,4438902	0,9455071	0,6766848	0,2778202	0,0928672	0,1406911	0,0181008	0,4115605	0,1694405	0,1626136	0,0401939
340	1,0000000	0,5385561	0,2358784	0,9445822	0,3030901	0,4438902	0,9455114	0,6767470	0,2778202	0,0928672	0,1406115	0,0181008	0,4115605	0,1694405	0,1626135	0,0401939
360	1,0000000	0,5385561	0,2358784	0,9445778	0,3030901	0,4438902	0,9455135	0,6767842	0,2778202	0,0928672	0,1405597	0,0181008	0,4115605	0,1694405	0,1626135	0,0401939
380	1,0000000	0,5385561	0,2358784	0,9445750	0,3030900	0,4438902	0,9455145	0,6768065	0,2778202	0,0928672	0,1405260	0,0181008	0,4115605	0,1694405	0,1626135	0,0401939
400	1,0000000	0,5385561	0,2358784	0,9445733	0,3030900	0,4438902	0,9455150	0,6768198	0,2778202	0,0928672	0,1405041	0,0181008	0,4115605	0,1694405	0,1626135	0,0401939
420	1,0000000	0,5385561	0,2358784	0,9445723	0,3030900	0,4438902	0,9455153	0,6768278	0,2778202	0,0928672	0,1404899	0,0181008	0,4115605	0,1694405	0,1626135	0,0401939
440	1,0000000	0,5385561	0,2358784	0,9445716	0,3030900	0,4438902	0,9455154	0,6768326	0,2778201	0,0928672	0,1404807	0,0181008	0,4115605	0,1694405	0,1626135	0,0401939
460	1,0000000	0,5385561	0,2358784	0,9445712	0,3030900	0,4438902	0,9455154	0,6768355	0,2778201	0,0928672	0,1404746	0,0181008	0,4115605	0,1694405	0,1626135	0,0401939
480	1,0000000	0,5385561	0,2358784	0,9445710	0,3030900	0,4438902	0,9455155	0,6768372	0,2778201	0,0928672	0,1404707	0,0181008	0,4115605	0,1694405	0,1626135	0,0401939
500	1,0000000	0,5385561	0,2358784	0,9445709	0,3030900	0,4438902	0,9455155	0,6768382	0,2778201	0,0928672	0,1404682	0,0181008	0,4115605	0,1694405	0,1626135	0,0401939
520	1,0000000	0,5385561	0,2358784	0,9445708	0,3030900	0,4438902	0,9455155	0,6768388	0,2778201	0,0928672	0,1404665	0,0181008	0,4115605	0,1694405	0,1626135	0,0401939
