"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
1100	0,6094652	0,5770366	0,2242386	0,9145029	0,9401893	0,9999655	0,1084862	0,6139371	0,7876167	0,7831621	0,9773793	0,9849218	0,1900177	0,8312367	0,6245277	0,9946449	0,8368217	0,8556554	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9748065	0,5763974	0,7631977	0,7341778	0,9785760	0,7454729	0,5532698

0	0,6094651	0,5770395	0,2242375	0,9144872	0,9402119	1,0000000	0,1084876	0,6139383	0,7875664	0,7841710	0,9773922	0,9849256	0,1900954	0,8312863	0,6246144	0,9946472	0,8368143	0,8556466	0,9542064	0,6966615	0,7781767	0,6742645	0,4400236	0,5159161	0,9987755	0,9748996	0,5764103	0,7658248	0,7348664	0,9789656	0,7455384	0,5532922
20	0,5641262	0,5761599	0,2128153	0,9143715	0,9399083	1,0000000	0,0991666	0,6146577	0,7875523	0,7847030	0,9772512	0,9854247	0,1896223	0,8309381	0,6242670	0,9945428	0,8363758	0,8560025	0,9540040	0,6958151	0,7684776	0,6874961	0,4398004	0,5144964	0,9988705	0,9191529	0,5771190	0,7734636	0,7352535	0,9801838	0,7452126	0,5552851
40	0,4753544	0,5670698	0,1896485	0,9131663	0,9365886	1,0000000	0,0837918	0,6217510	0,7870218	0,7851811	0,9757537	0,9864044	0,1849766	0,8273871	0,6208369	0,9932186	0,8314680	0,8596050	0,9518938	0,6879637	0,7480003	0,7157568	0,4369041	0,5007755	0,9990578	0,8044758	0,5842741	0,7903059	0,7356240	0,9825632	0,7418494	0,5747978
60	0,3831890	0,5407593	0,1647742	0,9096343	0,9257317	1,0000000	0,0714304	0,6411103	0,7836156	0,7858793	0,9707842	0,9873920	0,1727782	0,8171796	0,6113338	0,9869063	0,8158102	0,8694428	0,9453383	0,6669810	0,7227250	0,7478752	0,4306135	0,4645136	0,9992578	0,6783769	0,6047175	0,8106250	0,7362462	0,9851576	0,7321151	0,6249014
80	0,3034630	0,4945805	0,1426449	0,9029845	0,9032060	1,0000000	0,0647232	0,6733259	0,7731602	0,7872834	0,9592564	0,9881745	0,1538693	0,7991418	0,5949986	0,9629888	0,7855571	0,8839918	0,9320382	0,6314465	0,6938715	0,7781162	0,4231231	0,4074515	0,9994332	0,5622182	0,6404642	0,8314255	0,7375292	0,9875910	0,7147901	0,6973173
100	0,2404276	0,4330848	0,1247293	0,8928915	0,8676438	1,0000000	0,0639441	0,7146408	0,7514827	0,7898757	0,9359340	0,9886739	0,1316693	0,7746121	0,5729618	0,8894718	0,7418988	0,8984018	0,9102257	0,5836882	0,6618208	0,8040228	0,4162477	0,3400952	0,9995653	0,4636202	0,6880925	0,8513021	0,7397956	0,9897524	0,6909896	0,7733438
120	0,1932505	0,3648775	0,1110075	0,8794647	0,8222961	1,0000000	0,0684774	0,7596120	0,7165222	0,7939040	0,8927570	0,9888638	0,1096031	0,7465036	0,5472674	0,7391105	0,6905301	0,9080376	0,8792761	0,5282146	0,6275240	0,8249715	0,4102393	0,2740750	0,9996375	0,3834365	0,7410191	0,8696612	0,7431253	0,9916256	0,6633549	0,8394319
140	0,1592527	0,2988706	0,1008122	0,8632338	0,7735539	1,0000000	0,0772711	0,8033103	0,6695695	0,7992992	0,8216645	0,9887312	0,0898851	0,7180026	0,5200446	0,5462021	0,6385017	0,9099665	0,8404094	0,4702978	0,5925040	0,8412413	0,4042778	0,2171061	0,9996192	0,3196180	0,7926308	0,8862754	0,7473580	0,9932198	0,6349306	0,8906702
160	0,1354325	0,2427300	0,0933016	0,8450732	0,7274450	1,0000000	0,0890012	0,8424001	0,6148503	0,8057428	0,7220325	0,9882706	0,0734781	0,6915927	0,4930370	0,3698122	0,5911950	0,9028990	0,7967133	0,4147274	0,5583365	0,8534636	0,3971059	0,1721585	0,9994548	0,2692745	0,8383364	0,9010763	0,7521920	0,9945515	0,6082465	0,9276369
180	0,1191076	0,2037665	0,0877155	0,8260369	0,6875354	1,0000000	0,1022457	0,8752616	0,5577986	0,8127985	0,6049968	0,9874925	0,0604876	0,6686949	0,4674684	0,2376638	0,5512079	0,8869670	0,7522111	0,3649470	0,5261335	0,8623333	0,3875297	0,1388924	0,9990676	0,2296557	0,8760126	0,9140775	0,7572929	0,9956433	0,5848927	0,9530762
200	0,1081192	0,1877961	0,0834750	0,8071491	0,6549373	1,0000000	0,1156992	0,9016037	0,5032607	0,8200299	0,4875791	0,9864314	0,0505644	0,6497858	0,4441028	0,1492855	0,5188194	0,8636116	0,7105786	0,3227610	0,4962796	0,8684842	0,3748262	0,1153849	0,9983877	0,1984924	0,9054502	0,9253472	0,7623671	0,9965224	0,5655353	0,9700262
220	0,1008343	0,1916569	0,0801801	0,7892370	0,6292330	1,0000000	0,1283504	0,9219516	0,4545136	0,8270723	0,3834879	0,9851461	0,0431840	0,6347104	0,4233560	0,0940029	0,4930075	0,8352777	0,6742868	0,2885441	0,4685013	0,8724566	0,3589667	0,0993257	0,9973908	0,1740131	0,9275426	0,9349950	0,7671940	0,9972187	0,5501601	0,9810645
