"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
960	0,5473912	0,2312523	0,4378234	0,6864867	0,9587587	1,1242526	0,8933216	0,9221526	0,3991919	0,9373868	1,0916972	0,8660785	0,6740673	1,0701897	0,7962611	0,5964384	0,2902981	0,0790008	0,9662646	0,2417718	0,4398175	0,4660217	0,0075649	0,1468920	0,6086542	0,5259258	0,7796636	0,4749828	0,3784628	0,9140692	0,8676611	0,9655614
980	0,5392771	0,1786251	0,3939087	0,6843386	0,9440604	0,9795835	0,8589115	0,8700866	0,3848541	0,9824931	1,1149185	0,8630397	0,6610216	1,0857926	0,8659515	0,5894545	0,3229582	0,0895452	0,9981403	0,2948349	0,4376052	0,4771573	0,0122117	0,1581493	0,6381598	0,4670460	0,7795409	0,5135091	0,3715544	0,9149375	0,8224515	1,0207998
1000	0,5241391	0,1723811	0,4432033	0,7015946	0,9952187	1,0059678	0,8856764	0,8780060	0,3533390	0,9448653	1,0783465	0,9026541	0,6551643	1,0876746	0,8788769	0,5930998	0,3468106	0,0825573	0,9840948	0,3687200	0,4561170	0,4756302	0,0121149	0,1736652	0,6628065	0,4403034	0,8259934	0,5152263	0,3866784	0,9358162	0,7207185	1,0239319
1020	0,4751846	0,1803389	0,4809043	0,6470595	0,9419088	1,0096398	0,8851101	0,8698746	0,3406263	0,9698200	1,1242331	0,9408750	0,6524684	1,0368726	0,8240375	0,6416308	0,3607168	0,0797263	0,9502650	0,3953129	0,4258304	0,5361916	0,0067919	0,1830453	0,6167460	0,5157247	0,8382393	0,5344221	0,3633163	0,9442565	0,6804655	1,1006021
1040	0,4855859	0,1871834	0,4908424	0,5983273	0,8687349	1,0526387	0,8241928	0,7470894	0,3409797	0,9695293	1,0466371	0,9910160	0,6460738	1,0411817	0,8816528	0,6121790	0,3599630	0,0608618	0,9810468	0,3647435	0,4120743	0,5876567	0,0099688	0,1880986	0,6203670	0,5030807	0,6885516	0,4610464	0,3494579	0,9699410	0,6539734	1,0504575
1060	0,4613538	0,1975425	0,4970931	0,6292125	0,8839505	1,0029270	0,7837002	0,8058363	0,3587982	0,9425669	1,0479527	1,0103706	0,6543516	1,0139998	0,8429490	0,6211123	0,3815769	0,0457784	0,8763833	0,3483885	0,3735825	0,4842440	0,0153852	0,1746346	0,6259938	0,5155334	0,6957917	0,4555342	0,4185222	0,9705803	0,6717014	1,0240637
1080	0,4784713	0,1981447	0,4753441	0,6178670	0,8431788	0,9633089	0,7761458	0,8068180	0,3977021	0,9263570	0,9916625	0,9880046	0,6549478	1,0244644	0,8619850	0,5618223	0,4001760	0,0430781	0,9207844	0,3486166	0,4920445	0,4820916	0,0176819	0,1662951	0,6061922	0,5092890	0,7666700	0,4159290	0,3855306	0,9269294	0,7188702	1,0563873
1100	0,4689565	0,1739014	0,4737415	0,6183834	0,9144977	1,0464299	0,8084792	0,8620458	0,3792991	0,9068463	0,9370155	0,8550018	0,6991111	0,9872057	0,8931449	0,5830561	0,3935542	0,0402472	0,9963896	0,2996429	0,4876346	0,5002879	0,0156391	0,1832175	0,5956957	0,5351052	0,7605981	0,3547723	0,3571834	0,8948600	0,7089996	1,1095547

0	0,4827886	0,1828971	0,5234478	0,6792144	0,8379060	0,9209434	0,8538767	0,7272488	0,4734500	0,8155484	1,0999121	0,8783262	0,8320380	1,0600097	0,8158874	0,5549477	0,3300865	0,0415523	0,9135232	0,2678838	0,4517625	0,4285465	0,0129716	0,1244144	0,5399138	0,5325818	0,7716190	0,4986579	0,3220009	0,9254633	0,7534215	1,0414291
20	0,4756641	0,2100897	0,5032233	0,6567826	0,7418749	0,9838157	0,7954440	0,7666905	0,3813660	0,8901126	0,9017213	0,9141913	0,6089498	1,0149401	0,7677945	0,7049645	0,4319140	0,0431758	0,9670844	0,3271219	0,3825720	0,4765275	0,0987755	0,1832761	0,6056167	0,4824107	0,7285266	0,4833705	0,2978222	0,9851766	0,7129922	1,0752606
