"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE
860	0,4235481	0,3677189	0,2547593	0,3952140	0,4135596	0,8191211	0,1800520	0,6315408	0,9387146	0,9569123	0,5756228	0,9998643	0,1932842	0,6142267	0,6801194	0,8591348	0,8540817	0,6943144	0,5823132	0,1694971	0,3464537	0,1004440	0,9102770	0,1347143	0,9622607	0,7331493	0,7104309	0,8158894	0,0877625	0,0303819	0,2722304	0,4735392
880	0,4235481	0,3677189	0,2547593	0,3952139	0,4135597	0,8191209	0,1800521	0,6315408	0,9387146	0,9569123	0,5756228	0,9998642	0,1932842	0,6142267	0,6801194	0,8591371	0,8540820	0,6943144	0,5823132	0,1693118	0,3464537	0,1003065	0,9102769	0,1347146	0,9622607	0,7331498	0,7104310	0,8158894	0,0877625	0,0303819	0,2722354	0,4735392
900	0,4235481	0,3677189	0,2547593	0,3952138	0,4135598	0,8191207	0,1800522	0,6315408	0,9387146	0,9569123	0,5756229	0,9998642	0,1932842	0,6142267	0,6801193	0,8591383	0,8540822	0,6943144	0,5823132	0,1691890	0,3464537	0,1002222	0,9102768	0,1347147	0,9622607	0,7331499	0,7104311	0,8158894	0,0877625	0,0303819	0,2722380	0,4735392
920	0,4235481	0,3677189	0,2547593	0,3952137	0,4135599	0,8191206	0,1800523	0,6315408	0,9387146	0,9569123	0,5756229	0,9998642	0,1932842	0,6142267	0,6801193	0,8591389	0,8540825	0,6943144	0,5823132	0,1691077	0,3464536	0,1001705	0,9102767	0,1347149	0,9622607	0,7331500	0,7104312	0,8158894	0,0877625	0,0303819	0,2722394	0,4735392
940	0,4235481	0,3677189	0,2547593	0,3952136	0,4135600	0,8191204	0,1800523	0,6315408	0,9387146	0,9569123	0,5756229	0,9998642	0,1932842	0,6142267	0,6801192	0,8591393	0,8540826	0,6943143	0,5823132	0,1690538	0,3464536	0,1001389	0,9102767	0,1347151	0,9622607	0,7331500	0,7104313	0,8158894	0,0877625	0,0303819	0,2722401	0,4735392
960	0,4235481	0,3677189	0,2547593	0,3952136	0,4135600	0,8191203	0,1800524	0,6315408	0,9387146	0,9569123	0,5756230	0,9998641	0,1932842	0,6142267	0,6801192	0,8591395	0,8540828	0,6943143	0,5823132	0,1690182	0,3464536	0,1001195	0,9102766	0,1347152	0,9622607	0,7331500	0,7104314	0,8158894	0,0877625	0,0303819	0,2722404	0,4735392
980	0,4235481	0,3677189	0,2547593	0,3952135	0,4135601	0,8191202	0,1800524	0,6315408	0,9387146	0,9569123	0,5756230	0,9998641	0,1932842	0,6142267	0,6801192	0,8591396	0,8540829	0,6943143	0,5823132	0,1689945	0,3464536	0,1001076	0,9102766	0,1347153	0,9622607	0,7331500	0,7104315	0,8158894	0,0877625	0,0303819	0,2722406	0,4735392
1000	0,4235481	0,3677189	0,2547593	0,3952135	0,4135602	0,8191201	0,1800525	0,6315408	0,9387146	0,9569123	0,5756230	0,9998641	0,1932842	0,6142267	0,6801191	0,8591396	0,8540831	0,6943143	0,5823132	0,1689789	0,3464536	0,1001003	0,9102765	0,1347154	0,9622607	0,7331500	0,7104316	0,8158894	0,0877625	0,0303819	0,2722407	0,4735392
1020	0,4235481	0,3677189	0,2547593	0,3952134	0,4135602	0,8191200	0,1800525	0,6315408	0,9387146	0,9569123	0,5756230	0,9998641	0,1932842	0,6142267	0,6801191	0,8591396	0,8540832	0,6943143	0,5823132	0,1689685	0,3464536	0,1000959	0,9102765	0,1347155	0,9622607	0,7331500	0,7104316	0,8158894	0,0877625	0,0303819	0,2722408	0,4735392
1040	0,4235481	0,3677189	0,2547593	0,3952134	0,4135602	0,8191200	0,1800526	0,6315408	0,9387146	0,9569123	0,5756230	0,9998641	0,1932842	0,6142267	0,6801191	0,8591397	0,8540833	0,6943143	0,5823132	0,1689616	0,3464536	0,1000932	0,9102765	0,1347156	0,9622607	0,7331500	0,7104317	0,8158894	0,0877625	0,0303819	0,2722408	0,4735392
1060	0,4235481	0,3677189	0,2547593	0,3952134	0,4135603	0,8191199	0,1800526	0,6315408	0,9387146	0,9569123	0,5756231	0,9998641	0,1932842	0,6142267	0,6801191	0,8591397	0,8540834	0,6943143	0,5823132	0,1689571	0,3464536	0,1000915	0,9102764	0,1347157	0,9622607	0,7331500	0,7104317	0,8158894	0,0877625	0,0303819	0,2722408	0,4735392
1080	0,4235481	0,3677189	0,2547593	0,3952134	0,4135603	0,8191199	0,1800526	0,6315408	0,9387146	0,9569123	0,5756231	0,9998641	0,1932842	0,6142267	0,6801191	0,8591397	0,8540834	0,6943143	0,5823132	0,1689541	0,3464536	0,1000905	0,9102764	0,1347157	0,9622607	0,7331500	0,7104317	0,8158894	0,0877625	0,0303819	0,2722408	0,4735392
1100	0,4235481	0,3677189	0,2547593	0,3952133	0,4135603	0,8191198	0,1800526	0,6315408	0,9387146	0,9569123	0,5756231	0,9998641	0,1932842	0,6142267	0,6801191	0,8591397	0,8540835	0,6943143	0,5823132	0,1689521	0,3464536	0,1000899	0,9102764	0,1347158	0,9622607	0,7331500	0,7104318	0,8158894	0,0877625	0,0303819	0,2722408	0,4735392

0	0,4235454	0,3677182	0,2547592	0,3954188	0,4133336	0,8194120	0,1799186	0,6315418	0,9387010	0,9569055	0,5754630	0,9998606	0,1933202	0,6142134	0,6802773	0,8591384	0,8536010	0,6945128	0,5822755	0,1689264	0,3466841	0,1000235	0,9105462	0,1343966	0,9622593	0,7331536	0,7102302	0,8157874	0,0877619	0,0303905	0,2722302	0,4734732
20	0,4206934	0,3262076	0,2547978	0,3952995	0,4129622	0,8193917	0,1799258	0,4783009	0,9388670	0,6961336	0,5751125	0,9983147	0,1963037	0,5464956	0,7998554	0,8597048	0,8536591	0,7814911	0,6468953	0,1712676	0,3465980	0,2867450	0,9104960	0,2582460	0,8409743	0,7360818	0,7102426	0,8182002	0,0877626	0,0205946	0,2722393	0,3013337
40	0,4087454	0,3014349	0,2549615	0,3949221	0,4110673	0,8194345	0,1798998	0,3780978	0,9396689	0,5221556	0,5731741	0,9972905	0,2131639	0,5260804	0,8645883	0,8622883	0,8536431	0,8389492	0,6878042	0,1833674	0,3464625	0,4011881	0,9104553	0,3408429	0,7690451	0,7483322	0,7102092	0,8297076	0,0877707	0,0139579	0,2723327	0,2023877
60	0,3906458	0,2884692	0,2552026	0,3943628	0,4076395	0,8197084	0,1797485	0,3149979	0,9411192	0,4062483	0,5692967	0,9965588	0,2493733	0,5398221	0,8996045	0,8665651	0,8533787	0,8768868	0,7152802	0,2067135	0,3460731	0,4712922	0,9104210	0,3958127	0,7270399	0,7666305	0,7100072	0,8500169	0,0878089	0,0094629	0,2726786	0,1496837
