"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
900	0,3832195	0,3722145	0,1345962	0,6236728	0,5965409	0,6992394	0,0737901	0,3911542	0,5038334	0,5586228	0,6329848	0,8367437	0,0909385	0,5719285	0,4349745	0,6726789	0,4146752	0,6698364	0,5426323	0,5187910	0,4701401	0,4613296	0,2916039	0,3967421	0,7222721	0,6445340	0,4033363	0,5761226	0,4865418	0,7232776	0,5247916	0,3613914
920	0,4066099	0,4759209	0,1756037	0,6134401	0,7791380	0,5987848	0,0537010	0,4196901	0,4371024	0,4671727	0,6373585	0,7703029	0,1357421	0,6469805	0,3732760	0,6846100	0,5290194	0,6852836	0,7271174	0,4467890	0,5190047	0,4815334	0,2939379	0,4307957	0,7151906	0,6447359	0,4634745	0,5513428	0,5949243	0,6436660	0,4328882	0,3557917
940	0,3491633	0,3673138	0,1570413	0,5760530	0,6292662	0,5369461	0,0494429	0,3748063	0,5140965	0,5277357	0,7401353	0,6221109	0,2035129	0,5433010	0,4486947	0,8144639	0,5384270	0,5631785	0,7320043	0,5467360	0,5353387	0,4688754	0,3413732	0,3032465	0,7928727	0,5569557	0,3451619	0,5856951	0,5356230	0,7928292	0,4963277	0,4202587
960	0,3950684	0,3832690	0,1516859	0,5870486	0,5305209	0,6847362	0,0670154	0,3663287	0,5365564	0,4624515	0,6869780	0,8335267	0,0984350	0,4892296	0,3525268	0,6748739	0,4148793	0,5823086	0,6231408	0,4098724	0,5335655	0,4230437	0,2964716	0,3021022	1,0699590	0,6797243	0,3727048	0,4457592	0,5400498	0,7010257	0,4404612	0,3962878
980	0,3964645	0,4007707	0,1696900	0,5090247	0,5390405	0,5978903	0,0658438	0,4236879	0,5097129	0,5794442	0,7797213	0,6144313	0,1019852	0,5701582	0,3166787	0,6986181	0,5984151	0,5882167	0,6195230	0,3921570	0,5826015	0,4336738	0,2808697	0,3263315	0,6454063	0,6818325	0,2961616	0,5411541	0,4879303	0,7404317	0,4885672	0,4146111
1000	0,3892035	0,3900267	0,1509330	0,6884917	0,7354425	0,6136068	0,0783566	0,4251970	0,6775702	0,6057322	0,6513904	0,6941428	0,1007384	0,5243530	0,4320619	0,7456219	0,5698340	0,5575134	0,5809035	0,4463008	0,5158066	0,3574252	0,3462477	0,3072960	0,6429702	0,5265129	0,4595176	0,5399129	0,4956515	0,6416481	0,4807425	0,3981740
1020	0,4448074	0,3613903	0,1733756	0,6679228	0,7171402	0,6909402	0,0618653	0,4294795	0,5746368	0,3714604	0,7721295	0,7950900	0,1084413	0,6047550	0,4322461	0,7916085	0,6498594	0,6615892	0,6568383	0,5256181	0,5572768	0,4331840	0,3529930	0,4032527	0,7677312	0,5333561	0,3449431	0,4920354	0,5474890	0,6986599	0,4828645	0,3095737
1040	0,4221747	0,4332536	0,1872236	0,5669169	0,7115024	0,5408639	0,0470497	0,4381294	0,5491139	0,4678446	0,7370339	0,7316076	0,0888132	0,5006155	0,4029443	0,7238182	0,5226265	0,6218540	0,6447099	0,5699756	0,5363103	0,4851345	0,3357446	0,4306626	0,6460914	0,6269428	0,4075745	0,5740355	0,5168285	0,7626657	0,4752377	0,4205700
1060	0,4393262	0,4212958	0,1460649	0,6296339	0,5793671	0,7910481	0,0806081	0,4236064	0,4934615	0,6526525	0,6742172	0,7584164	0,1060503	0,5961686	0,3726363	0,7658792	0,5569139	0,6254263	0,5637714	0,5752013	0,4976746	0,5004939	0,3548336	0,3488540	0,6503421	0,6817580	0,3715403	0,6020209	0,4941883	0,6066113	0,5941472	0,3712062
1080	0,3663803	0,3862369	0,1406065	0,5563661	0,5652136	0,5631920	0,0674526	0,4441929	0,5341036	0,5158116	0,5760496	0,6964417	0,1420982	0,5255851	0,4530473	0,6766077	0,5162660	0,5896309	0,5445459	0,4949013	0,4365060	0,5107801	0,3817500	0,3355630	0,7290319	0,7228361	0,3383471	0,5901529	0,4236625	0,8398521	0,4228898	0,3123519
1100	0,4713438	0,4596863	0,2011932	0,6641207	0,5799118	0,6040521	0,0685298	0,4658451	0,5075175	0,5505534	0,6450477	0,6717802	0,0993582	0,5618810	0,4249352	0,6438953	0,4316988	0,5814978	0,8021955	0,3937029	0,4972440	0,5425282	0,3531685	0,3547341	0,6416125	0,8512549	0,4290519	0,6673349	0,5784234	0,7083748	0,5457243	0,3047201

0	0,5467579	0,3719290	0,2645629	0,5996565	0,5420763	0,6727429	0,1052472	0,4631269	0,5903168	0,5825281	0,7684033	0,6038833	0,0968334	0,5865940	0,4187738	0,8892158	0,5525171	0,5274839	0,7480961	0,4958981	0,5626858	0,3835889	0,2758308	0,2941480	0,7127234	0,6857941	0,3614315	0,5353579	0,6522415	0,5794573	0,5531282	0,4404540
20	0,4941869	0,3773018	0,1065335	0,4982485	0,6909982	0,6732845	0,0623536	0,4147255	0,5251553	0,6056074	0,7026710	0,6765078	0,1376391	0,5056118	0,3819933	0,7451401	0,6513543	0,4500291	0,7140017	0,5094100	0,5172675	0,4841815	0,3043925	0,4114878	0,6401439	0,6624550	0,4016300	0,5624527	0,4998656	0,6594128	0,5455403	0,3064788
40	0,3586364	0,4020028	0,0739729	0,6588192	0,7063948	0,7728445	0,0734528	0,4016389	0,4871873	0,5585218	0,7034685	0,6702468	0,1275782	0,5414191	0,4083718	0,7810454	0,5896775	0,4488430	0,6057307	0,3798554	0,5586722	0,5117261	0,3381119	0,2684096	0,6745818	0,5169383	0,3484768	0,6162110	0,4266900	0,7826103	0,5499695	0,3415022
60	0,3191945	0,3427028	0,0847419	0,6814942	0,5979676	0,8114826	0,0470293	0,3965048	0,4012066	0,5612278	0,7839224	0,7231861	0,1339742	0,5423875	0,3410646	0,8180736	0,5681900	0,6346802	0,6271400	0,4721392	0,5494075	0,5367813	0,3105709	0,4235773	0,6389138	0,4332012	0,4512147	0,5634855	0,4902437	0,6754922	0,4622195	0,4290932
80	0,2212087	0,3732510	0,0835139	0,6524365	0,5881464	0,7525072	0,0315056	0,4341729	0,7602895	0,3539787	0,6925523	0,7012462	0,1271702	0,5177593	0,4938428	0,6595339	0,6035484	0,5841222	0,6397650	0,4208143	0,5259157	0,6530516	0,3374159	0,2784056	0,7851506	0,3484889	0,4646284	0,5645351	0,5551039	0,6872786	0,4490125	0,4933422
100	0,1741124	0,2632501	0,0914420	0,6709989	0,7477781	0,6920724	0,0502081	0,4211961	0,4781706	0,5228962	0,6786719	0,6087977	0,1209621	0,6407925	0,3000835	0,6866369	0,5352548	0,5619399	0,5945502	0,4564937	0,6183786	0,6431542	0,3023501	0,2347890	0,7117743	0,2881065	0,4501296	0,5495841	0,5419481	0,6377723	0,4505098	0,5458889
120	0,1408684	0,2720141	0,1205201	0,6375834	0,5261432	0,8429988	0,0563576	0,5283562	0,4673413	0,4949761	0,6758167	0,7424718	0,1198446	0,6198041	0,3175447	0,4980651	0,5826067	0,6219633	0,6391628	0,3506493	0,4259873	0,5475161	0,3318707	0,1306655	0,6552538	0,2565490	0,5805065	0,6157217	0,6272794	0,6676165	0,4348915	0,5089863
140	0,1145951	0,1795633	0,0771985	0,5962901	0,5020150	0,7375522	0,0426887	0,5775559	0,4467026	0,5106567	0,5374488	0,6731886	0,0579297	0,6031752	0,4099339	0,4640354	0,4474609	0,6099892	0,5794913	0,2557466	0,3965849	0,5451432	0,2958768	0,2678384	0,8466647	0,2538958	0,5641303	0,7034649	0,5256482	0,6297268	0,4523453	0,6752113
160	0,1124441	0,1681308	0,0578924	0,6252602	0,4418687	0,7247418	0,0624972	0,5412840	0,5575460	0,4161650	0,4454900	0,7784164	0,0682134	0,6070013	0,2890064	0,2697815	0,4312024	0,6227869	0,5465308	0,2920316	0,3901585	0,5215420	0,3252176	0,1170593	0,8856602	0,1307965	0,6094704	0,5927986	0,5355828	0,5934007	0,4082672	0,5403980
180	0,0937314	0,1959018	0,0748507	0,5893404	0,5742521	0,7593920	0,0614343	0,5753566	0,4024498	0,4212893	0,5020611	0,6727625	0,0485963	0,5938568	0,3252446	0,2326746	0,4514520	0,6121394	0,4599866	0,2104654	0,3368820	0,5503573	0,2462975	0,1077191	0,6420247	0,1546398	0,6901888	0,6793361	0,5306769	0,5053728	0,4101385	0,6717780
200	0,1075030	0,1342967	0,0489486	0,4043195	0,5273388	0,7687399	0,0873227	0,4964991	0,4691008	0,5248863	0,4394096	0,7846187	0,0452108	0,4677240	0,2863389	0,1649444	0,3557546	0,5851011	0,5995596	0,2634881	0,3617317	0,5743268	0,2999586	0,1054141	0,7405876	0,1317746	0,5894576	0,6660032	0,4503035	0,6008828	0,4212349	0,6813208
220	0,1154336	0,1169205	0,0437608	0,4948375	0,4638976	0,7695629	0,0812554	0,5178311	0,4622031	0,5863693	0,3650181	0,7553916	0,0483376	0,3929796	0,2807915	0,0834974	0,3100833	0,5519936	0,5685953	0,2820495	0,3501539	0,6953170	0,2439003	0,1045324	0,7388026	0,1104369	0,5532435	0,6899254	0,4820181	0,6052549	0,3499080	0,6597178
