"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
920	0,6376035	0,5311123	0,1874699	0,8679461	0,8528828	0,9412978	0,1321650	0,5635572	0,7468899	0,7607785	0,9878737	1,0260294	0,1467157	0,8214255	0,5629003	1,0183857	0,7708761	0,8546615	0,9682140	0,6840807	0,8115727	0,6605075	0,4350754	0,4675942	1,0328990	0,9798668	0,6271503	0,7129774	0,7579382	0,9212957	0,7471392	0,5935728
940	0,6910361	0,5065449	0,2136926	0,8741721	0,8788213	0,9682203	0,1417600	0,6783212	0,7669766	0,7522779	0,9691046	0,9942907	0,1411049	0,8263502	0,5879910	1,0077970	0,7123859	0,9318512	0,9265427	0,6321391	0,8142619	0,6670321	0,4286497	0,4513279	1,0153860	0,9345961	0,6210557	0,7222822	0,7865048	0,8821867	0,7624033	0,6138316
960	0,7189361	0,4713428	0,2328806	0,9614408	0,9229239	1,0050806	0,1345538	0,6438523	0,7775052	0,7279713	1,0163566	0,9547942	0,1462572	0,8206058	0,5445611	1,0394996	0,7168565	0,8326750	0,9002453	0,6328385	0,8189832	0,6392905	0,4030977	0,4502375	0,9594213	0,9261240	0,5760376	0,7422182	0,8427016	0,9453116	0,7186343	0,6021863
980	0,6395433	0,5628490	0,2498845	0,8992429	0,9451182	0,9600177	0,1266953	0,6494147	0,7645454	0,7227140	1,0266566	1,0263164	0,1868942	0,8678898	0,5565602	1,0103396	0,8375480	0,8823947	0,9032962	0,6438453	0,8351062	0,6404623	0,4327944	0,4770954	0,9433006	1,0071449	0,5137779	0,7454879	0,7527900	0,9239110	0,6398755	0,5643598
1000	0,6585124	0,5935334	0,2342766	0,8889232	0,9335359	0,9529398	0,1107476	0,5622274	0,8285707	0,7403431	0,9889997	1,0261779	0,1868576	0,8131722	0,5991041	1,0563621	0,8636381	0,8448102	0,9465525	0,7195158	0,7975865	0,6767825	0,5221582	0,5251748	1,0000808	1,0191251	0,4849789	0,7750801	0,7204620	1,0043043	0,7375583	0,5617236
1020	0,6303462	0,5645839	0,2347884	0,9235026	0,9365081	0,9732615	0,0939333	0,5731406	0,8460254	0,7527529	1,0451165	0,9746079	0,2001334	0,8296655	0,6423879	1,0411556	0,8370947	0,8443752	0,9268400	0,7044886	0,6967059	0,6907585	0,5105195	0,4827147	1,0348143	1,0205968	0,5083556	0,7645389	0,6969042	1,0375957	0,7083443	0,4798100
1040	0,6048039	0,5976130	0,2293869	0,8732378	0,9121694	0,9898648	0,0781918	0,6189252	0,8341105	0,6962787	1,0002485	0,9920014	0,2008626	0,8305918	0,5909507	1,1218589	0,7972351	0,9434247	0,9518110	0,6785526	0,7276969	0,6945676	0,4973853	0,5155072	0,9633594	0,9908914	0,5329067	0,7505069	0,7435754	1,0007700	0,7636325	0,4677689
1060	0,5908856	0,6264581	0,2446334	0,9245172	0,9199275	1,0023027	0,1040721	0,6312754	0,7768335	0,7028175	0,9569398	0,9500873	0,1928085	0,8207295	0,5351402	0,9681734	0,8194232	0,9216500	0,9215994	0,6678035	0,7730326	0,7187889	0,4883713	0,5351828	0,9334693	1,0073679	0,5578106	0,7716963	0,7554832	1,0177577	0,7602740	0,5154313
1080	0,5965951	0,6340908	0,2203770	0,9210169	0,9858974	0,9628504	0,1317636	0,6392606	0,7179601	0,7278214	1,0221910	0,9682449	0,1872950	0,7421080	0,5848664	1,0314207	0,7841622	0,8998323	0,9707025	0,6573304	0,7564668	0,6893412	0,5211839	0,5149427	0,9994501	1,0286890	0,5477085	0,8474890	0,7702214	0,9887617	0,7790549	0,5153752
1100	0,5947993	0,5784851	0,2084571	0,9580437	0,9463103	0,9724951	0,1005929	0,6039473	0,7491019	0,7342194	0,9242232	0,9518294	0,1505471	0,7864188	0,5850257	0,9604392	0,8334316	0,9153890	0,9327833	0,6634259	0,8679077	0,6944658	0,4796615	0,4849390	0,9500219	0,9807996	0,5850614	0,8065892	0,7700766	1,0279554	0,7616686	0,5749273

0	0,6552591	0,5867462	0,2448027	0,9736003	0,9871096	0,9917887	0,1099118	0,6623766	0,8002509	0,8121581	0,9941317	0,9052185	0,1873783	0,9483834	0,6411591	1,0129771	0,8318351	0,7995268	0,9127501	0,7461985	0,7740078	0,6829705	0,3753086	0,5339376	1,0784067	0,8764511	0,5815044	0,8047730	0,8082389	0,9277086	0,7798461	0,5787266
20	0,3952551	0,5456000	0,1130199	0,8982326	1,0266720	1,0165703	0,0575610	0,6194749	0,7814935	0,7348442	1,0595186	1,0151330	0,1865489	0,7977593	0,5924746	1,0041645	0,8548276	0,8019581	0,9257497	0,6751090	0,7638885	0,7472457	0,4463174	0,5336199	0,9620180	0,6612208	0,5076206	0,7794845	0,7914977	1,0071309	0,7690529	0,5003243
40	0,2214892	0,4733695	0,1131969	0,8495924	0,9798063	1,0471066	0,0490929	0,6923515	0,7595220	0,7080850	0,9896412	0,9807579	0,1906954	0,8613010	0,5853268	0,9982106	0,8215514	0,8922996	0,9442270	0,6333704	0,6534435	0,7572454	0,4463453	0,5335285	0,9546727	0,4671066	0,5412393	0,8396347	0,7229978	1,0343292	0,7382064	0,5955990
60	0,1528299	0,4144575	0,0748616	0,8398785	0,9149362	1,0240610	0,0650346	0,7392086	0,7589628	0,6792805	0,9845632	1,0479305	0,1658139	0,8189506	0,5835978	1,0455026	0,8018982	0,8508617	0,9239804	0,5625353	0,6684088	0,7853462	0,3962986	0,4701728	1,0115442	0,3556960	0,6101825	0,9292553	0,6596493	1,0055858	0,6887484	0,6970759
