"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
900	0,6052116	0,9941021	0,8088993	0,9671087	0,9545106	0,2815510	0,7220717	0,6982800	0,9351674	0,9997091	0,0935867	0,9391151	0,2388242	0,3640313	0,9999999	0,9978306	0,3682068	0,7660726	0,9136299	0,2975150	0,8331869	0,4401772	0,5892259	0,9970624	0,7872337	0,9955902	0,5077841	0,9999658	0,5610892	0,8488814	0,9985629	0,6044508
920	0,6052116	0,9941021	0,8088802	0,9671086	0,9545106	0,2815510	0,7219114	0,6982800	0,9351674	0,9997091	0,0935867	0,9391151	0,2388242	0,3639261	0,9999999	0,9978306	0,3681346	0,7660651	0,9136299	0,2975150	0,8332351	0,4401772	0,5892426	0,9970293	0,7872121	0,9955902	0,5077841	0,9999658	0,5610888	0,8488814	0,9985628	0,6044508
940	0,6052116	0,9941021	0,8088665	0,9671086	0,9545106	0,2815510	0,7217970	0,6982800	0,9351674	0,9997091	0,0935867	0,9391151	0,2388242	0,3638565	0,9999999	0,9978306	0,3680838	0,7660607	0,9136299	0,2975150	0,8332647	0,4401772	0,5892536	0,9970038	0,7871971	0,9955902	0,5077841	0,9999657	0,5610887	0,8488814	0,9985627	0,6044508
960	0,6052116	0,9941021	0,8088567	0,9671086	0,9545106	0,2815510	0,7217154	0,6982800	0,9351674	0,9997091	0,0935867	0,9391151	0,2388242	0,3638104	0,9999999	0,9978306	0,3680482	0,7660580	0,9136299	0,2975150	0,8332829	0,4401772	0,5892609	0,9969840	0,7871867	0,9955902	0,5077841	0,9999657	0,5610886	0,8488814	0,9985627	0,6044508
980	0,6052116	0,9941021	0,8088498	0,9671086	0,9545106	0,2815510	0,7216572	0,6982800	0,9351674	0,9997091	0,0935867	0,9391151	0,2388242	0,3637799	0,9999999	0,9978306	0,3680233	0,7660564	0,9136299	0,2975150	0,8332941	0,4401772	0,5892657	0,9969689	0,7871795	0,9955902	0,5077841	0,9999657	0,5610886	0,8488814	0,9985627	0,6044508
1000	0,6052116	0,9941021	0,8088448	0,9671086	0,9545106	0,2815510	0,7216157	0,6982800	0,9351674	0,9997091	0,0935867	0,9391151	0,2388242	0,3637597	0,9999999	0,9978306	0,3680059	0,7660555	0,9136299	0,2975150	0,8333010	0,4401772	0,5892689	0,9969574	0,7871745	0,9955902	0,5077841	0,9999657	0,5610886	0,8488814	0,9985626	0,6044508
1020	0,6052116	0,9941021	0,8088412	0,9671086	0,9545106	0,2815510	0,7215861	0,6982800	0,9351674	0,9997091	0,0935867	0,9391151	0,2388242	0,3637463	0,9999999	0,9978306	0,3679938	0,7660549	0,9136299	0,2975150	0,8333053	0,4401772	0,5892710	0,9969486	0,7871711	0,9955902	0,5077841	0,9999657	0,5610886	0,8488814	0,9985626	0,6044508
1040	0,6052116	0,9941021	0,8088387	0,9671086	0,9545106	0,2815510	0,7215650	0,6982800	0,9351674	0,9997091	0,0935867	0,9391151	0,2388242	0,3637375	0,9999999	0,9978306	0,3679854	0,7660546	0,9136299	0,2975150	0,8333079	0,4401772	0,5892724	0,9969419	0,7871688	0,9955902	0,5077841	0,9999657	0,5610886	0,8488814	0,9985626	0,6044508
1060	0,6052116	0,9941021	0,8088368	0,9671086	0,9545106	0,2815510	0,7215499	0,6982800	0,9351674	0,9997091	0,0935867	0,9391151	0,2388242	0,3637316	0,9999999	0,9978306	0,3679796	0,7660544	0,9136299	0,2975150	0,8333095	0,4401772	0,5892733	0,9969369	0,7871672	0,9955902	0,5077841	0,9999657	0,5610886	0,8488814	0,9985626	0,6044508
1080	0,6052116	0,9941021	0,8088355	0,9671086	0,9545106	0,2815510	0,7215392	0,6982800	0,9351674	0,9997091	0,0935867	0,9391151	0,2388242	0,3637277	0,9999999	0,9978306	0,3679756	0,7660543	0,9136299	0,2975150	0,8333104	0,4401772	0,5892739	0,9969330	0,7871661	0,9955902	0,5077841	0,9999657	0,5610886	0,8488814	0,9985626	0,6044508
