"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
900	0,4876604	0,1942338	0,4594845	0,6480233	0,8368813	0,9999678	0,8291050	0,8187162	0,4061436	0,8917058	0,9760354	0,8962126	0,6258714	0,9970744	0,7863781	0,5782199	0,3700761	0,0496547	0,9949778	0,2913528	0,4263231	0,4513846	0,0095969	0,1555729	0,5774706	0,5018934	0,7475392	0,4611569	0,3355853	0,9340969	0,7281575	0,9953978
920	0,4876604	0,1942338	0,4594845	0,6480234	0,8381793	0,9999818	0,8291050	0,8187508	0,4052190	0,8921667	0,9764787	0,8966544	0,6272483	0,9970911	0,7865151	0,5784421	0,3700761	0,0487605	0,9956071	0,2913528	0,4263047	0,4513846	0,0095969	0,1555735	0,5772907	0,5023909	0,7477770	0,4626338	0,3379039	0,9343175	0,7273904	0,9955056
940	0,4876604	0,1942338	0,4594845	0,6480235	0,8391938	0,9999897	0,8291050	0,8187713	0,4045746	0,8924712	0,9768393	0,8969959	0,6285520	0,9971047	0,7866260	0,5786155	0,3700761	0,0481490	0,9960141	0,2913528	0,4262942	0,4513846	0,0095969	0,1555738	0,5771642	0,5027280	0,7479552	0,4636660	0,3396027	0,9344831	0,7268664	0,9955671
960	0,4876604	0,1942338	0,4594845	0,6480235	0,8399853	0,9999942	0,8291050	0,8187834	0,4041285	0,8926716	0,9771311	0,8972600	0,6297407	0,9971156	0,7867143	0,5787503	0,3700761	0,0477320	0,9962768	0,2913528	0,4262881	0,4513846	0,0095969	0,1555739	0,5770755	0,5029556	0,7480886	0,4643818	0,3408356	0,9346061	0,7265104	0,9956020
980	0,4876604	0,1942338	0,4594845	0,6480236	0,8406019	0,9999967	0,8291050	0,8187906	0,4038215	0,8928029	0,9773662	0,8974643	0,6307952	0,9971243	0,7867839	0,5788551	0,3700761	0,0474484	0,9964462	0,2913528	0,4262846	0,4513846	0,0095969	0,1555740	0,5770135	0,5031090	0,7481881	0,4648747	0,3417230	0,9346967	0,7262697	0,9956218
1000	0,4876604	0,1942338	0,4594845	0,6480237	0,8410818	0,9999982	0,8291050	0,8187949	0,4036114	0,8928888	0,9775547	0,8976223	0,6317117	0,9971312	0,7868385	0,5789364	0,3700761	0,0472558	0,9965553	0,2913528	0,4262826	0,4513846	0,0095969	0,1555741	0,5769702	0,5032121	0,7482624	0,4652121	0,3423570	0,9347627	0,7261078	0,9956331
1020	0,4876604	0,1942338	0,4594845	0,6480237	0,8414549	0,9999990	0,8291050	0,8187975	0,4034682	0,8929448	0,9777055	0,8977446	0,6324954	0,9971367	0,7868810	0,5789994	0,3700761	0,0471254	0,9966254	0,2913528	0,4262814	0,4513846	0,0095969	0,1555741	0,5769400	0,5032812	0,7483177	0,4654418	0,3428068	0,9348107	0,7259991	0,9956394
1040	0,4876604	0,1942338	0,4594845	0,6480237	0,8417449	0,9999994	0,8291050	0,8187990	0,4033712	0,8929813	0,9778256	0,8978392	0,6331569	0,9971410	0,7869139	0,5790482	0,3700761	0,0470372	0,9966705	0,2913528	0,4262808	0,4513846	0,0095969	0,1555742	0,5769190	0,5033275	0,7483589	0,4655973	0,3431241	0,9348452	0,7259265	0,9956430
1060	0,4876604	0,1942338	0,4594845	0,6480238	0,8419702	0,9999997	0,8291050	0,8187998	0,4033056	0,8930049	0,9779211	0,8979125	0,6337093	0,9971445	0,7869395	0,5790859	0,3700761	0,0469777	0,9966995	0,2913528	0,4262804	0,4513846	0,0095969	0,1555742	0,5769044	0,5033585	0,7483895	0,4657022	0,3433466	0,9348700	0,7258781	0,9956451
1080	0,4876604	0,1942338	0,4594845	0,6480238	0,8421452	0,9999998	0,8291050	0,8188004	0,4032614	0,8930202	0,9779968	0,8979693	0,6341665	0,9971471	0,7869592	0,5791152	0,3700761	0,0469375	0,9967181	0,2913528	0,4262802	0,4513846	0,0095969	0,1555742	0,5768943	0,5033791	0,7484122	0,4657726	0,3435019	0,9348877	0,7258459	0,9956462
1100	0,4876604	0,1942338	0,4594845	0,6480238	0,8422810	0,9999999	0,8291050	0,8188007	0,4032318	0,8930301	0,9780567	0,8980133	0,6345420	0,9971492	0,7869745	0,5791378	0,3700761	0,0469105	0,9967300	0,2913528	0,4262800	0,4513846	0,0095969	0,1555742	0,5768874	0,5033929	0,7484291	0,4658197	0,3436098	0,9349003	0,7258245	0,9956469

0	0,4876561	0,1941666	0,4596072	0,6465838	0,8422232	1,0000000	0,8290495	0,8187820	0,4033070	0,8929994	0,9778617	0,8979931	0,6338826	0,9971467	0,7869661	0,5791237	0,3701289	0,0468588	0,9967518	0,2914211	0,4263378	0,4514490	0,0095971	0,1556087	0,5772832	0,5034301	0,7482456	0,4656674	0,3431871	0,9347662	0,7258404	0,9956473
20	0,4742913	0,1940677	0,4595207	0,6467007	0,8506959	1,0000000	0,8099521	0,7562841	0,3727542	0,8919065	0,9779461	0,8979973	0,6527966	0,9971461	0,7868931	0,6173866	0,3699779	0,0651456	0,9415147	0,2913374	0,4259931	0,4510336	0,1032214	0,1556068	0,5772850	0,5033803	0,7482918	0,5057601	0,3427980	0,9346583	0,7276535	0,9956220
40	0,4464531	0,1929853	0,4588990	0,6457349	0,8663960	1,0000000	0,7742633	0,6525404	0,3130767	0,8807073	0,9778257	0,8976539	0,6927862	0,9971152	0,7859728	0,6903994	0,3685464	0,1023836	0,8365763	0,2906905	0,4230019	0,4475269	0,2704154	0,1556184	0,5782891	0,5028754	0,7481849	0,5750548	0,3368630	0,9330169	0,7429383	0,9953656
60	0,4160886	0,1901162	0,4574172	0,6424320	0,8812345	1,0000000	0,7396437	0,5641450	0,2520425	0,8490365	0,9772324	0,8965359	0,7387649	0,9970168	0,7832025	0,7642614	0,3644338	0,1428144	0,7309169	0,2890829	0,4157531	0,4394532	0,4278468	0,1556405	0,5812604	0,5013731	0,7475980	0,6348457	0,3197765	0,9279534	0,7759098	0,9946107
80	0,3891294	0,1855653	0,4555644	0,6361182	0,8920518	1,0000000	0,7122671	0,5026701	0,2007950	0,7970562	0,9759328	0,8944181	0,7830429	0,9968298	0,7781216	0,8267080	0,3571969	0,1794810	0,6419426	0,2867484	0,4052441	0,4285149	0,5519494	0,1557177	0,5863455	0,4986276	0,7461352	0,6750771	0,2908991	0,9185260	0,8178814	0,9932260
100	0,3678610	0,1800185	0,4543710	0,6268221	0,8982032	1,0000000	0,6930019	0,4644923	0,1619402	0,7345461	0,9738020	0,8913697	0,8221461	0,9965544	0,7709247	0,8751627	0,3473657	0,2099636	0,5731000	0,2842100	0,3935758	0,4172960	0,6419515	0,1558419	0,5929564	0,4947319	0,7437017	0,6977641	0,2542654	0,9051673	0,8592100	0,9912848
120	0,3525146	0,1742386	0,4548100	0,6151143	0,9002663	1,0000000	0,6806041	0,4427004	0,1342699	0,6720403	0,9708584	0,8876944	0,8549276	0,9962099	0,7622757	0,9109246	0,3360275	0,2340343	0,5223589	0,2818900	0,3825341	0,4075426	0,7041905	0,1559384	0,6001988	0,4900089	0,7406196	0,7082393	0,2152897	0,8893026	0,8945613	0,9890384
