Time	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9	Gene10	Gene11	Gene12	Gene13	Gene14	Gene15	Gene16	Gene17	Gene18	Gene19	Gene20	Gene21	Gene22	Gene23	Gene24	Gene25	Gene26	Gene27	Gene28	Gene29	Gene30	Gene31	Gene32
1060	0.3105352	0.4156247	0.1621913	0.2845225	0.2843874	0.6401107	0.1458267	0.4920579	0.682814	0.7157744	0.5064999	0.7041948	0.2218941	0.4555194	0.4408302	0.5493829	0.6375207	0.4400597	0.3620763	0.1056703	0.1891157	0.0794539	0.6072725	0.1137872	0.7502484	0.4739413	0.5398394	0.7470523	0.0739279	0.0289702	0.1627476	0.4785525
1080	0.2677918	0.3800022	0.1557902	0.3025478	0.244105	0.5038194	0.1415565	0.3680297	0.6926531	0.6794925	0.4768594	0.7806422	0.2069443	0.4944622	0.6060021	0.6111916	0.5389668	0.6009501	0.4283396	0.1377349	0.2575379	0.0582927	0.5429744	0.112319	0.6881696	0.4135961	0.4437978	0.6672286	0.1530289	0.0259258	0.2084521	0.4138203
1100	0.3628723	0.2131194	0.2157806	0.2918786	0.2753111	0.5336524	0.1891478	0.5667908	0.7170423	0.6467056	0.3297305	0.80851	0.1519283	0.4545342	0.5330285	0.6458382	0.6737404	0.4681736	0.3990632	0.1150478	0.2352308	0.0871104	0.5532818	0.0778641	0.6383919	0.5727302	0.5976979	0.7216168	0.0725557	0.019009	0.1974302	0.3272715
1120	0.3136513	0.3573766	0.2355893	0.3092631	0.2304942	0.6601401	0.1167578	0.5152791	0.7136084	0.7317121	0.4516751	0.7173885	0.1665267	0.4883141	0.5257446	0.6163654	0.6069064	0.6147279	0.4859094	0.0898877	0.2539411	0.0861995	0.5733987	0.1098738	0.7292633	0.6634757	0.4438293	0.6394867	0.073746	0.0181653	0.1838607	0.3771506
1140	0.3727484	0.2507692	0.1744879	0.2882086	0.2460274	0.7061105	0.1739216	0.3206953	0.7249351	0.4420147	0.4282739	0.7012261	0.1379127	0.4805002	0.5764166	0.6373566	0.5716391	0.6785723	0.4138277	0.1036905	0.2732959	0.1812479	0.6234324	0.1834467	0.6493126	0.5297683	0.4946991	0.5642426	0.0912241	0.062769	0.1707544	0.2495459
1160	0.2191139	0.3114474	0.1707534	0.2962932	0.2538648	0.5788193	0.1391864	0.297647	0.6942828	0.363302	0.4541777	0.7096652	0.2148218	0.3062996	0.5684398	0.6074408	0.5112862	0.7415362	0.5329328	0.1388587	0.2295921	0.3101735	0.6111955	0.2315112	0.4578103	0.6081992	0.4802555	0.5945563	0.0641036	0.0129434	0.2068152	0.164682
1180	0.3037448	0.2227705	0.1295218	0.3621936	0.3620711	0.6036666	0.1120159	0.2542205	0.7654346	0.329613	0.4502537	0.7052792	0.1995648	0.4272458	0.6060378	0.6319167	0.5907295	0.6898534	0.5128057	0.092117	0.2189676	0.3354763	0.5465418	0.3002469	0.5728676	0.6266518	0.5015108	0.6279876	0.0751763	0.0150286	0.2119951	0.0990698
1200	0.3232426	0.2664004	0.2127224	0.2947847	0.2515166	0.6426841	0.1252117	0.1911406	0.7282534	0.2158461	0.3639716	0.7713752	0.2968342	0.3273857	0.6335419	0.5757266	0.4019194	0.6150875	0.6165147	0.0753298	0.2574847	0.3134865	0.6092708	0.3379266	0.5330281	0.6510658	0.4898137	0.5849195	0.0567955	0.0070278	0.2152561	0.0866304
1220	0.3033622	0.2539912	0.1627543	0.3031391	0.2471216	0.5745387	0.0703605	0.1945872	0.6539514	0.2331404	0.4265731	0.8097644	0.2722505	0.376013	0.7704629	0.6884326	0.5861972	0.7268899	0.5512752	0.1082391	0.2694331	0.4342733	0.6051117	0.3391886	0.4773563	0.6935507	0.5701736	0.6595199	0.0408542	0.0128635	0.2951419	0.0547363
1240	0.2505654	0.1858645	0.2084078	0.2929134	0.2208997	0.5538312	0.1981061	0.1898908	0.6825571	0.1800476	0.4289455	0.6988837	0.2966902	0.4293616	0.6574122	0.7556273	0.6110709	0.8361322	0.4390474	0.1558448	0.2922465	0.3736821	0.5914855	0.3110145	0.5274037	0.6481033	0.4525934	0.5535077	0.0654636	0.0038704	0.1944492	0.0923173
1260	0.2654339	0.1647174	0.2456111	0.3052701	0.2698037	0.5053157	0.089113	0.1948957	0.7086275	0.1741249	0.4546719	0.7597422	0.3277746	0.5179725	0.8184255	0.6862652	0.4970187	0.6560312	0.5810368	0.1654566	0.2014154	0.5143405	0.7227142	0.4018956	0.5667739	0.6599057	0.6279986	0.8368609	0.0627464	0.0060722	0.1724023	0.0805398
1280	0.2052706	0.166874	0.18828	0.2576333	0.1878536	0.5976511	0.110178	0.1821613	0.6530917	0.1856077	0.4348061	0.619653	0.3307883	0.4527567	0.5601911	0.579793	0.5605395	0.7408722	0.5238393	0.1938922	0.2123859	0.3550069	0.7115878	0.3870637	0.4039913	0.6377334	0.505789	0.7368796	0.1065331	0.0003972	0.2134986	0.0610591
1300	0.2475482	0.1660442	0.2375334	0.2993751	0.2536444	0.5980687	0.1175551	0.1585911	0.6999562	0.1792562	0.3454221	0.605743	0.3101648	0.4702876	0.6591761	0.6215019	0.5739383	0.7718204	0.4368941	0.1968431	0.2289118	0.4007682	0.7157915	0.5133157	0.3276609	0.6596721	0.4061017	0.7639337	0.0908086	0.0019004	0.174912	0.0652893
1320	0.2602059	0.2213979	0.1752793	0.2444785	0.2158565	0.6217227	0.115661	0.127012	0.7559857	0.1120653	0.3566933	0.7320481	0.3532215	0.4706047	0.6935464	0.5937903	0.4768441	0.6357771	0.4227975	0.2620003	0.1983685	0.408867	0.5864424	0.4357535	0.3990429	0.6908026	0.5072456	0.7182975	0.1744843	0.0021277	0.1680556	0.0513649
1340	0.2353031	0.2233253	0.2161794	0.20956	0.2592362	0.5886317	0.080334	0.1466198	0.5848538	0.1824613	0.3072534	0.7539754	0.3593426	0.4355469	0.719943	0.6300338	0.543198	0.6912363	0.5481412	0.2623868	0.2003348	0.4358751	0.5715739	0.4253122	0.5079786	0.5213272	0.4862321	0.8567396	0.3008209	0.000558	0.2031088	0.0579812
