"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
1020	0,6052116	0,9941021	0,8088750	0,9671134	0,9545106	0,2815510	0,7216566	0,6982800	0,9351674	0,9997091	0,0935867	0,9391151	0,2388242	0,3637748	0,9999999	0,9978306	0,3680991	0,7660577	0,9136299	0,2975150	0,8331405	0,4401772	0,5892680	0,9969738	0,7871890	0,9955902	0,5077841	0,9999657	0,5611095	0,8488814	0,9985627	0,6044508
1040	0,6052116	0,9941021	0,8088635	0,9671118	0,9545106	0,2815510	0,7216152	0,6982800	0,9351674	0,9997091	0,0935867	0,9391151	0,2388242	0,3637563	0,9999999	0,9978306	0,3680612	0,7660563	0,9136299	0,2975150	0,8331981	0,4401772	0,5892704	0,9969613	0,7871814	0,9955902	0,5077841	0,9999657	0,5611018	0,8488814	0,9985626	0,6044508
1060	0,6052116	0,9941021	0,8088551	0,9671107	0,9545106	0,2815510	0,7215858	0,6982800	0,9351674	0,9997091	0,0935867	0,9391151	0,2388242	0,3637441	0,9999999	0,9978306	0,3680339	0,7660554	0,9136299	0,2975150	0,8332365	0,4401772	0,5892720	0,9969517	0,7871760	0,9955902	0,5077841	0,9999657	0,5610969	0,8488814	0,9985626	0,6044508
1080	0,6052116	0,9941021	0,8088489	0,9671100	0,9545106	0,2815510	0,7215647	0,6982800	0,9351674	0,9997091	0,0935867	0,9391151	0,2388242	0,3637360	0,9999999	0,9978306	0,3680144	0,7660549	0,9136299	0,2975150	0,8332620	0,4401772	0,5892731	0,9969443	0,7871723	0,9955902	0,5077841	0,9999657	0,5610938	0,8488814	0,9985626	0,6044508
1100	0,6052116	0,9941021	0,8088444	0,9671095	0,9545106	0,2815510	0,7215497	0,6982800	0,9351674	0,9997091	0,0935867	0,9391151	0,2388242	0,3637306	0,9999999	0,9978306	0,3680005	0,7660546	0,9136299	0,2975150	0,8332789	0,4401772	0,5892738	0,9969388	0,7871697	0,9955902	0,5077841	0,9999657	0,5610919	0,8488814	0,9985626	0,6044508

0	0,6052089	0,9940673	0,8083792	0,9670572	0,9544892	0,2815518	0,7212463	0,6982515	0,9350861	0,9997090	0,0936357	0,9387867	0,2388182	0,3638950	0,9999999	0,9978086	0,3670433	0,7660107	0,9135543	0,2974758	0,8333013	0,4404612	0,5891941	0,9963617	0,7868968	0,9955671	0,5076782	0,9999324	0,5611628	0,8489436	0,9985604	0,6039895
20	0,6052099	0,9942458	0,8085140	0,9700704	0,9544968	0,2815516	0,7213193	0,6982607	0,9351109	0,9997090	0,0936219	0,9388760	0,2175356	0,3853932	0,9999999	0,9978152	0,3673158	0,7716103	0,9205290	0,2974872	0,8333045	0,4843741	0,5892183	0,9966357	0,8038420	0,9955740	0,5077134	0,9999428	0,6138775	0,8263460	0,9985611	0,6041200
40	0,6052126	0,9945970	0,8087256	0,9755578	0,9545135	0,2815513	0,7213833	0,6982755	0,9351413	0,9997091	0,0936126	0,9389430	0,1763460	0,4238023	0,9999999	0,9978202	0,3677285	0,7815787	0,9342876	0,2974982	0,8333066	0,5691166	0,5892455	0,9969957	0,8370105	0,9955793	0,5077761	0,9999501	0,7059630	0,7857385	0,9985617	0,6042361
60	0,6052184	0,9949780	0,8091101	0,9808740	0,9545462	0,2815508	0,7214522	0,6983044	0,9351897	0,9997094	0,0936064	0,9389959	0,1340888	0,4601795	0,9999999	0,9978245	0,3684926	0,7909279	0,9487508	0,2975124	0,8333078	0,6556878	0,5892854	0,9973483	0,8715772	0,9955838	0,5078967	0,9999552	0,7908550	0,7473464	0,9985625	0,6043699
80	0,6052269	0,9953252	0,8096694	0,9852059	0,9545928	0,2815501	0,7215310	0,6983490	0,9352575	0,9997097	0,0936010	0,9390405	0,0979059	0,4892189	0,9999999	0,9978284	0,3696519	0,7982569	0,9614638	0,2975310	0,8333083	0,7294851	0,5893392	0,9976559	0,9016693	0,9955880	0,5080739	0,9999588	0,8566079	0,7170645	0,9985635	0,6045353
100	0,6052368	0,9956165	0,8103464	0,9884664	0,9546465	0,2815493	0,7216175	0,6984057	0,9353390	0,9997101	0,0935942	0,9390799	0,0695130	0,5106856	0,9999999	0,9978322	0,3711200	0,8035347	0,9717199	0,2975532	0,8333083	0,7871310	0,5894029	0,9979085	0,9256890	0,9955923	0,5082868	0,9999615	0,9036348	0,6951676	0,9985645	0,6047303
120	0,6052468	0,9958491	0,8110693	0,9908153	0,9547008	0,2815483	0,7217069	0,6984684	0,9354263	0,9997105	0,0935851	0,9391155	0,0483527	0,5259088	0,9999999	0,9978357	0,3727581	0,8071545	0,9795888	0,2975776	0,8333081	0,8298939	0,5894710	0,9981086	0,9439050	0,9955964	0,5085107	0,9999634	0,9358198	0,6801204	0,9985657	0,6049440
140	0,6052560	0,9960291	0,8117774	0,9924631	0,9547511	0,2815473	0,7217943	0,6985313	0,9355122	0,9997108	0,0935735	0,9391481	0,0331114	0,5364415	0,9999999	0,9978390	0,3744296	0,8095614	0,9854315	0,2976023	0,8333078	0,8605508	0,5895383	0,9982633	0,9572609	0,9956004	0,5087257	0,9999649	0,9572644	0,6701186	0,9985668	0,6051631
160	0,6052639	0,9961654	0,8124294	0,9935993	0,9547951	0,2815464	0,7218756	0,6985898	0,9355918	0,9997112	0,0935602	0,9391776	0,0223961	0,5436167	0,9999999	0,9978419	0,3760276	0,8111290	0,9896715	0,2976260	0,8333076	0,8820013	0,5896010	0,9983811	0,9668220	0,9956041	0,5089190	0,9999659	0,9713080	0,6636230	0,9985679	0,6053759
180	0,6052703	0,9962670	0,8130029	0,9943739	0,9548318	0,2815456	0,7219486	0,6986414	0,9356621	0,9997114	0,0935460	0,9392040	0,0149979	0,5484554	0,9999999	0,9978444	0,3774823	0,8121354	0,9926972	0,2976476	0,8333074	0,8967398	0,5896568	0,9984698	0,9735459	0,9956074	0,5090846	0,9999668	0,9803991	0,6594751	0,9985688	0,6055733
200	0,6052754	0,9963418	0,8134901	0,9948978	0,9548613	0,2815448	0,7220121	0,6986850	0,9357220	0,9997116	0,0935320	0,9392274	0,0099612	0,5516960	0,9999999	0,9978465	0,3787567	0,8127752	0,9948288	0,2976666	0,8333074	0,9067246	0,5897049	0,9985360	0,9782099	0,9956103	0,5092212	0,9999674	0,9862378	0,6568594	0,9985696	0,6057501
220	0,6052792	0,9963963	0,8138930	0,9952504	0,9548846	0,2815442	0,7220660	0,6987203	0,9357716	0,9997118	0,0935188	0,9392477	0,0065704	0,5538559	0,9999999	0,9978483	0,3798398	0,8131792	0,9963157	0,2976828	0,8333075	0,9134129	0,5897451	0,9985851	0,9814099	0,9956128	0,5093307	0,9999678	0,9899670	0,6552253	0,9985703	0,6059037
