"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
1040	0,6426341	0,9727015	0,9082712	0,9667328	1,0076993	0,2976860	0,6712533	0,7252381	0,9442585	1,0537931	0,0875079	0,9654171	0,1567437	0,3061338	1,0359471	1,0031043	0,4092505	0,7351319	0,8500077	0,3258470	0,8850106	0,3768657	0,5614845	1,0462541	0,7538471	0,9837984	0,5960693	0,9985837	0,5299510	0,7966702	1,0419227	0,7074063
1060	0,5495099	1,0060394	0,8727271	1,0208000	1,0052100	0,2873910	0,7138990	0,6561957	0,9769408	1,0699749	0,0998823	0,9936145	0,1855183	0,3377403	1,0758169	1,0098616	0,3938583	0,7540903	0,8915029	0,3299740	0,8499952	0,4113764	0,5692302	1,0480448	0,7477504	1,0274036	0,5812000	1,0523459	0,5065505	0,8517637	0,9264619	0,6838214
1080	0,5886825	1,0046329	0,8873706	1,0217329	0,9652893	0,2770945	0,7455847	0,6525387	0,8841575	1,1148905	0,0824431	1,0090369	0,2163220	0,3285061	0,9639928	0,9967143	0,3731633	0,7806947	0,9629121	0,3292956	0,8415724	0,3983056	0,5637341	1,0245066	0,7956293	0,9938506	0,5240972	1,0218564	0,5107353	0,8406855	0,9921105	0,6442661
1100	0,6110976	1,0021933	0,8805498	1,0655380	1,0719262	0,3002526	0,7153768	0,6120934	0,9260078	1,0610232	0,0621649	1,0282963	0,2407435	0,3524366	0,9789808	1,0665756	0,3959788	0,7803103	0,9237576	0,3028953	0,8332592	0,3976116	0,5865327	0,9992788	0,7538479	0,9535769	0,4923247	1,0301590	0,4876936	0,8715686	0,9384173	0,6014259

0	0,6225013	0,8813174	0,7620854	0,9698113	0,9547209	0,3105278	0,7302145	0,7610144	0,8887285	0,9717435	0,1042346	0,9481316	0,2523070	0,4167865	1,0882809	0,9411879	0,3231685	0,7734139	0,8857091	0,2766238	0,8021162	0,4359767	0,6122578	1,0195789	0,7962639	1,0970508	0,4263714	0,9663562	0,6035773	0,8540620	0,9973325	0,5688350
20	0,5441666	1,0670795	0,8517585	0,9424356	0,9105209	0,2565598	0,7346824	0,7973753	0,9302785	1,0066700	0,1064101	0,9232103	0,1304612	0,4644446	1,0364346	1,0604645	0,3983060	0,8193523	1,0058735	0,2926891	0,8231228	0,6382998	0,6891375	1,0093399	0,8066495	1,0671942	0,5312703	1,0372962	0,8147614	0,7751756	1,0521445	0,6864175
40	0,5716944	1,0193479	0,8625541	0,9967959	0,9591915	0,2848433	0,6774427	0,8109371	0,9653501	0,9998653	0,0976157	0,9403579	0,0695948	0,5267399	0,9943883	0,9557174	0,3388981	0,8396716	1,0311280	0,2848134	0,8050322	0,7183710	0,6817241	1,0684540	0,8810136	0,9939275	0,5603477	1,0232440	0,9316455	0,7560289	1,0456892	0,7198558
60	0,6950936	1,0020421	0,8955131	1,0952752	1,0230970	0,2711575	0,7011670	0,8072995	1,0041658	0,9852205	0,1130647	0,9371735	0,0461871	0,4703674	1,0053576	1,0122655	0,3374628	0,8161296	0,9968072	0,3049410	0,8698558	0,8137350	0,6799657	1,0875626	0,8881647	0,9335311	0,5369290	1,0404814	0,9788234	0,7166018	1,0987884	0,7103949
80	0,5803081	1,0540044	0,8853597	1,0863980	0,9988516	0,3139086	0,7162093	0,7622900	0,9523006	0,9661141	0,0926731	0,9540622	0,0288042	0,4469066	1,0269858	1,0121099	0,3374025	0,7584755	1,0098928	0,2800186	0,7757139	0,8462865	0,6355680	1,0825611	0,8599802	0,9340939	0,5363366	1,0518746	0,9659012	0,6247451	1,0649772	0,6759424
100	0,5991912	1,0178601	0,8815049	1,1184085	1,0565806	0,3216600	0,7537158	0,6734540	0,9280970	0,9403726	0,0777449	0,9082925	0,0191336	0,5182944	0,9990742	0,9863404	0,3423900	0,8283934	0,9690675	0,2619020	0,7845034	0,9406880	0,6522070	1,0313893	0,8791202	0,9408920	0,5132860	1,0506156	0,9848600	0,6266662	1,0656149	0,6205657
120	0,5901417	0,9503373	0,8339880	1,0513685	0,9493744	0,2857440	0,7219335	0,6993088	0,8713847	1,0557567	0,0747353	0,9040753	0,0131885	0,5349584	1,0158237	0,9516938	0,3356328	0,8178899	0,9602480	0,3076326	0,8056630	0,9643178	0,6457485	1,0105562	0,8589870	1,0063664	0,5070698	1,0594634	1,0530155	0,6562670	0,9979215	0,5570859
140	0,6365321	0,9328430	0,7795208	1,0311701	0,9178976	0,2897500	0,7394222	0,6649759	0,9048394	1,0801467	0,0757655	0,8756684	0,0112573	0,5417769	1,0149955	0,9928890	0,3630699	0,8392512	1,0274971	0,2859861	0,7779021	0,9911839	0,6496753	1,0422611	0,9152474	1,0798990	0,4832214	1,1232939	1,0415184	0,6258610	1,0138019	0,5472082
160	0,6766609	0,9526928	0,8343868	1,0413956	0,9750738	0,2741446	0,6759574	0,6564518	0,8691898	1,0589892	0,0961408	0,8912432	0,0088360	0,5435543	0,9298397	1,0206144	0,3281479	0,8388755	1,0515542	0,3257869	0,8515567	1,0058373	0,5698661	0,9981594	1,0335184	1,0884866	0,4559836	1,0724900	0,9706061	0,5653789	1,0051348	0,5571604
180	0,6338603	1,0012205	0,8429277	1,0437845	1,0144207	0,2855180	0,6432836	0,6734171	0,8362712	0,9882423	0,0929035	0,9375183	0,0055549	0,5431576	0,9506242	1,0290441	0,3432724	0,8438894	1,0379424	0,3562174	0,8772295	0,9676087	0,5486709	0,9967790	1,0470951	1,0456641	0,4390649	1,0408775	0,9526361	0,5875558	1,0042014	0,5380167
200	0,5452948	1,0311005	0,8549721	0,9895449	0,9965008	0,2572907	0,7595846	0,6996361	0,8870422	0,8993721	0,1055777	0,9361176	0,0031202	0,5413464	1,0170695	1,0326846	0,3261600	0,8093704	0,9660510	0,3254252	0,7885925	0,9809956	0,5738806	1,0079783	1,0258198	1,0334263	0,4792147	1,0295335	1,0327730	0,6633957	0,9938957	0,5221988
220	0,5835441	1,0570957	0,8985660	1,0141907	1,0209637	0,2552835	0,7434698	0,7063015	0,9105283	0,9298395	0,0913110	0,9978852	0,0009737	0,5551586	1,0206616	0,9863706	0,3531860	0,7670825	1,0053711	0,2730831	0,8687596	0,8902741	0,6175126	1,0156615	1,0725159	0,9658459	0,4483890	1,0588295	0,9423258	0,6450089	1,0068512	0,5714058
