"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
980	0,0870738	0,0575901	0,6798322	0,9864402	0,9645391	0,1373460	1,0351084	0,0560522	0,2993661	1,1006872	0,6065282	0,8914553	0,8631882	0,5603965	0,7502110	0,0328852	0,1118544	0,4146354	0,0928620	0,0089168	0,8216424	0,4910445	0,5376186	0,0066368	0,1593463	0,9366637	0,3877019	0,9737050	0,0239825	0,5453640	0,1045760	0,0027200
1000	0,0872315	0,0446525	0,6617462	1,0375670	0,9767434	0,1530107	1,0260204	0,0554002	0,3303476	1,0504729	0,6698761	0,8662052	0,8577893	0,5358919	0,7194891	0,0361543	0,1263084	0,4328302	0,1021402	0,0074214	0,8521126	0,5088055	0,5541346	0,0081470	0,1174241	0,9817705	0,3789416	0,9986862	0,0248506	0,5544236	0,1111083	0,0035651
1020	0,0879214	0,0622387	0,6068550	0,9922165	0,9566876	0,1487250	0,9597387	0,0552388	0,3146814	1,0035727	0,6687613	0,9145065	0,8381474	0,6017365	0,7682204	0,0306155	0,1334529	0,4645128	0,0900380	0,0075970	0,9165316	0,4897578	0,5529928	0,0059470	0,1221674	0,8773830	0,3662085	0,9809696	0,0340085	0,6141350	0,1021942	0,0072565
1040	0,0890099	0,0782507	0,6216789	0,9473773	0,9076461	0,1436140	0,9705632	0,0296227	0,3130900	1,0706038	0,6808214	0,9016015	0,8452877	0,6282066	0,7954637	0,0330517	0,1068392	0,4663417	0,0876372	0,0094101	0,8552241	0,5175356	0,5837785	0,0060741	0,1482911	0,9368881	0,4290873	0,9934472	0,0275765	0,5362159	0,1055198	0,0080786
1060	0,0923653	0,0544109	0,6973818	0,9906812	1,0299943	0,1426223	0,9590454	0,0455426	0,3333245	1,0515601	0,6185873	0,9058667	0,8311634	0,6350666	0,8158861	0,0327301	0,0709895	0,4940043	0,0937491	0,0050666	0,8049843	0,5422963	0,5680968	0,0156845	0,1548924	0,9283638	0,3760606	0,9510621	0,0273787	0,6014237	0,1137084	0,0114886
1080	0,1111072	0,0548788	0,7269477	0,9206109	1,0074552	0,1520550	0,9058557	0,0429373	0,3330730	0,9961646	0,6024284	0,9690384	0,8015606	0,6106582	0,8440983	0,0362753	0,0615427	0,4646434	0,0867999	0,0155113	0,7857487	0,5161935	0,5472107	0,0109197	0,1545288	0,9499456	0,3409557	1,0224682	0,0336361	0,5590066	0,1249064	0,0108100
1100	0,0985161	0,0638049	0,7132574	0,9299257	0,9891067	0,1548497	0,9741235	0,0257038	0,3086734	0,9443957	0,6053422	0,9020661	0,8303354	0,5863698	0,7899926	0,0383210	0,0572506	0,4501512	0,0823689	0,0067533	0,8097091	0,4836319	0,5486237	0,0024587	0,1461344	0,9923894	0,3228844	0,9518823	0,0201607	0,5232740	0,0973559	0,0140962

0	0,1060345	0,0371210	0,6049255	1,0249315	0,9421010	0,1288774	1,0805416	0,0576126	0,3159611	1,0343182	0,6641068	0,9961464	0,9083219	0,5933393	0,8312751	0,0248856	0,0838575	0,4213343	0,0727652	0,0150877	0,7879445	0,5282112	0,5153080	0,0097713	0,1400964	0,9626354	0,4082635	1,0493562	0,0528577	0,5578416	0,1089920	0,0051425
20	0,0621321	0,0337719	0,6564411	1,0595927	0,7231929	0,1415600	0,9559813	0,0337292	0,3086997	0,1437569	0,5734412	0,9658492	0,8828562	0,6706083	0,7639577	0,0832562	0,1047568	0,5959828	0,0941963	0,0094754	0,8395192	0,4918382	0,5438399	0,0240012	0,1577072	0,9688608	0,3535680	0,9967531	0,2243041	0,7915209	0,7751090	0,0754640
