"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
940	0,5721838	0,5208191	0,2007627	0,9169310	0,8197589	0,8810409	0,1189464	0,6036718	0,7449957	0,7295526	1,0317160	1,0343127	0,1684422	0,8363544	0,5865124	1,0594853	0,7206446	0,8065144	0,9535844	0,7238260	0,7370721	0,6510304	0,4155613	0,4700580	1,1611271	0,8995731	0,6006619	0,8700480	0,8062323	0,9686421	0,7242194	0,5825309
960	0,6135647	0,5038118	0,1929701	0,9204035	0,8260423	0,9663631	0,1001225	0,6088596	0,7875364	0,7813816	1,0444774	0,9691348	0,1606072	0,8007966	0,5984897	1,0266332	0,6612080	0,8250153	0,9224822	0,6804663	0,7662334	0,6389517	0,4264539	0,4570659	1,2143437	0,8886694	0,6010076	0,7943647	0,7923155	0,9674622	0,7189338	0,5672867
980	0,6765821	0,5400243	0,2016257	0,9210905	0,8997559	0,9402381	0,0980121	0,5943321	0,7596246	0,7394026	1,0582768	0,9734345	0,1538610	0,8175448	0,5533876	0,9667447	0,7780094	0,8243813	0,9235292	0,6477555	0,7782254	0,6633396	0,4193734	0,4788995	1,1445508	0,8752887	0,5964960	0,8268257	0,7662592	0,9591898	0,7007352	0,5657219
1000	0,6586224	0,5461411	0,2043110	0,8788442	0,9610525	0,8912806	0,1103607	0,5832585	0,8123661	0,7138853	0,9570786	1,0400112	0,1578350	0,7377074	0,6091152	0,9980053	0,8559234	0,8536878	0,9436829	0,7236610	0,8274640	0,6431180	0,4934532	0,4916802	0,9674187	0,8604533	0,5784646	0,8513589	0,7659460	0,9250327	0,7129027	0,5452453
1020	0,6648255	0,5727632	0,2258483	0,9375784	1,0465056	0,8842713	0,0851047	0,6026543	0,8586690	0,6809106	1,0447507	0,9921569	0,1439895	0,7679811	0,5918293	1,1038839	0,8416414	0,8498434	0,9419674	0,6821645	0,7943547	0,6613068	0,5136941	0,5089512	1,0169550	0,9809602	0,5545236	0,8444865	0,6604788	1,0509735	0,7194936	0,5629957
1040	0,6645294	0,6019271	0,2473198	0,9062472	0,9014904	0,9317350	0,0839366	0,6299901	0,8621100	0,7109780	1,0711565	1,0156823	0,1526279	0,7525506	0,5988239	0,9665087	0,8535589	0,8865745	0,9582830	0,7062866	0,7537565	0,6830607	0,5347565	0,5566275	1,0230477	1,0195441	0,5451659	0,8294616	0,7381370	1,0501961	0,7089858	0,5166779
1060	0,6306116	0,6034723	0,2438192	0,8709895	0,8664056	0,9689557	0,0898416	0,6115211	0,8421480	0,7000635	1,0477038	0,9773483	0,1554364	0,8034935	0,5531125	1,0385571	0,8380725	0,8958084	0,9474318	0,7147640	0,7621077	0,7008670	0,5873223	0,5096803	1,0260257	1,0480757	0,5321898	0,8084349	0,7449623	1,0346024	0,6657821	0,5506954
1080	0,5802672	0,5986826	0,2506769	0,8754193	0,9642415	0,9721718	0,0777002	0,6280650	0,7869434	0,7671063	1,0061084	0,9652851	0,1657937	0,7516098	0,5957892	1,0216968	0,7982433	0,8998502	0,9004537	0,7196757	0,7446112	0,6743007	0,5250753	0,5373976	0,9711981	1,0626928	0,5496663	0,8061518	0,6992882	1,0095900	0,7687472	0,4726535
1100	0,6011110	0,6197718	0,2742672	0,8565736	0,9751030	0,9566100	0,0887830	0,6911440	0,7550869	0,7698083	1,0068617	0,9070904	0,1684735	0,7527077	0,6425198	1,0462153	0,7155688	0,8929167	0,9687905	0,6374701	0,8281643	0,6949865	0,5060928	0,5027231	1,0005033	1,0200213	0,5610544	0,8320122	0,7552987	0,9596668	0,8003142	0,4726015

0	0,6368810	0,5857959	0,2864548	0,9582547	0,9283292	1,0136600	0,1397520	0,6886545	0,8434727	0,8701254	1,0566444	0,9988690	0,1561049	0,9505143	0,6396882	1,0290862	0,8050432	0,7961682	0,9931950	0,7899316	0,7916927	0,7111056	0,4257356	0,4868997	1,0399574	0,9704885	0,5438085	0,8526292	0,7948877	0,9480453	0,7711413	0,6742047
20	0,5843284	0,5636655	0,1827862	0,8337414	1,0045302	1,0419246	0,0991358	0,6043412	0,8186421	0,7985661	0,9792500	0,9413618	0,2131317	0,7946942	0,6028211	1,0494165	0,9069744	0,8062342	0,9902940	0,7004362	0,7968369	0,7292025	0,4743992	0,5036765	0,9817891	0,8922574	0,5877431	0,8640077	0,7262396	0,9703887	0,7598004	0,4681868
40	0,4877748	0,5379780	0,1513265	0,8600024	1,0402311	1,0877569	0,0873059	0,6150031	0,7816132	0,7313404	1,0234491	0,9427745	0,1819159	0,7936972	0,5416811	1,0580998	0,8553548	0,7887957	0,9668849	0,6135188	0,7830004	0,7409495	0,5186963	0,4950884	0,9491771	0,7835580	0,5508184	0,7888377	0,7256297	1,0191522	0,7368622	0,5379254
60	0,3888302	0,5043453	0,1329612	0,8679257	0,9793543	1,1862021	0,0633198	0,6794807	0,7554790	0,7055182	1,0820486	0,9530316	0,2026840	0,7677930	0,5318132	1,0915996	0,8101101	0,9006176	0,9814342	0,6178726	0,8136781	0,8012866	0,4770008	0,5189820	0,9750015	0,6498228	0,6255449	0,7840233	0,7177398	1,0064997	0,8003779	0,6285374
80	0,2943189	0,4992871	0,1098706	0,8681076	0,9797065	1,1094932	0,0674535	0,7043439	0,7739145	0,6199779	1,0759984	0,9340120	0,1700694	0,8076746	0,5609910	1,0419947	0,8773303	0,8523977	0,8960455	0,5985580	0,7797358	0,8494658	0,4858035	0,4618171	1,0173776	0,5473628	0,6238422	0,8413360	0,7346794	0,9994932	0,7459338	0,6627625
100	0,2412530	0,4422192	0,1372821	0,8665196	0,9613311	1,1392672	0,0590107	0,6728410	0,8150825	0,6808292	0,9399692	0,9883374	0,1567691	0,8680205	0,5249537	0,9518409	0,7783477	0,8185626	0,8194661	0,5564814	0,7702030	0,8015814	0,4975613	0,3806650	1,0367611	0,4470841	0,6640933	0,9147612	0,7179643	0,9685866	0,7017239	0,7765624
120	0,2002669	0,3673582	0,1093759	0,8949438	0,8490947	1,1503613	0,0688050	0,7783187	0,7425357	0,7242191	0,9979503	1,0716528	0,1602590	0,8361570	0,5326935	0,7857828	0,7528613	0,8978675	0,8840769	0,5181534	0,7121603	0,8181091	0,4335489	0,2740298	1,0467180	0,3788725	0,7499760	0,9388404	0,7518573	1,0034850	0,6223661	0,9050266
140	0,1432996	0,3206241	0,0958556	0,8699094	0,7734839	1,1613205	0,0920863	0,7914212	0,6732597	0,7513568	0,8738440	1,0671580	0,1300699	0,7639673	0,5472803	0,6026052	0,6648984	0,8815683	0,8380319	0,4805886	0,6473364	0,8502382	0,4275228	0,2671753	1,0898026	0,3058604	0,8119176	0,9213075	0,7279399	1,0007789	0,6289066	0,9328324
160	0,1458312	0,2603585	0,0915762	0,8996284	0,7429786	1,0844305	0,0812288	0,8317786	0,6741838	0,7173184	0,7388337	1,0476417	0,1200877	0,7349373	0,5156982	0,3697549	0,6179995	0,9024031	0,7926062	0,4142343	0,5780070	0,8879019	0,4130952	0,2268923	1,1017973	0,2645651	0,9269253	0,9653204	0,7243332	0,9212765	0,5576022	0,9643904
180	0,1545085	0,2227337	0,0934339	0,7965728	0,7240284	1,0957914	0,0885277	0,8177370	0,6098253	0,6970414	0,6912527	1,0909598	0,0826068	0,7852030	0,5016445	0,2339291	0,5432585	0,8281557	0,7848827	0,3837138	0,5312507	0,9449219	0,3786631	0,1875976	1,0444939	0,2251550	0,9359975	1,0316234	0,7220338	0,8798470	0,5632889	1,0090489
200	0,1364117	0,1845820	0,0938946	0,7435338	0,7329164	1,0540283	0,1197934	0,9237408	0,6131289	0,7696455	0,5997168	1,1163113	0,0634664	0,7062632	0,4611135	0,1756793	0,5320470	0,7688850	0,7953396	0,3532997	0,5004528	0,9730149	0,3717495	0,1570194	0,9428215	0,1958564	0,8397303	1,0567226	0,6890257	0,9294108	0,5547331	1,0413337
220	0,1247999	0,1977992	0,0712004	0,7441887	0,6699890	1,0147503	0,1309776	0,9018653	0,5678195	0,8156539	0,4935274	1,0699658	0,0677724	0,7389143	0,4235824	0,1103275	0,4233505	0,7713819	0,7290189	0,3446877	0,4954948	1,0563519	0,3770607	0,1881070	0,9538568	0,1820699	0,8832889	0,9784431	0,6968523	0,9509423	0,5467332	1,0488548
