"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA

0	0,8004518	0,4020618	0,2268802	0,5095178	0,1863098	0,1766486	0,1794384	0,5037739	0,6506091	0,7317475	0,9207980	0,1976558	0,7630840	0,1951824	0,0723023	0,1970653	0,4548925	0,6031309	0,8791663	0,1542725	0,8054258	0,1168284	0,4988873	0,6847857	0,1884421	0,7465315	0,9239459	0,9167762	0,4443676	0,8943548	0,2916980	0,6018907
20	0,7212697	0,3584738	0,3000093	0,3203033	0,2215034	0,2243391	0,1512054	0,5385622	0,6397806	0,7281636	0,7763531	0,2048463	0,7178483	0,1188277	0,0670783	0,2882969	0,4438617	0,4286100	0,8953534	0,1056858	0,7950202	0,1781213	0,5617005	0,6537578	0,1994835	0,5425428	0,8786353	0,8995714	0,2770653	0,8157631	0,4637897	0,7600441
40	0,8397541	0,3986959	0,3010167	0,2478845	0,2068256	0,1784097	0,1745967	0,5833694	0,5642224	0,7901700	0,7990228	0,2127864	0,6410070	0,1381772	0,0680227	0,3688611	0,4145229	0,3684495	0,9278169	0,1106888	0,7857510	0,2094648	0,4814906	0,6695525	0,2219336	0,4916170	0,8245238	0,8550547	0,1943983	0,7737843	0,6185303	0,7616086
60	0,8722460	0,4193661	0,2488430	0,2216234	0,2049093	0,1889549	0,1936727	0,5471884	0,5564375	0,8781366	0,7740381	0,2169237	0,6134414	0,1625758	0,0601398	0,4364522	0,3779356	0,4503696	0,8423450	0,1052532	0,8067589	0,2028298	0,4960743	0,6202649	0,2201488	0,4013692	0,8548565	0,8660158	0,1511371	0,7459928	0,6834245	0,7111960
80	0,9048231	0,4177600	0,1950465	0,2091918	0,2367425	0,1623680	0,1644764	0,5628229	0,5610429	0,8455002	0,8200203	0,2359015	0,5931970	0,1337098	0,0741675	0,4530148	0,4076033	0,4045183	0,8993238	0,1122150	0,7815197	0,1878015	0,5075894	0,6766258	0,2215820	0,3512121	0,8848147	0,7424465	0,1195142	0,7493684	0,6804638	0,7710491
100	0,8724891	0,3987180	0,1588597	0,2091496	0,2411137	0,1610039	0,2046187	0,6242219	0,5653322	0,8803908	0,7969187	0,2316019	0,6191758	0,1552644	0,0874124	0,5179143	0,5212257	0,4797929	0,9126868	0,1173604	0,7916101	0,1930780	0,4459478	0,6941490	0,2614815	0,3951952	0,9162656	0,6923278	0,1031079	0,7570644	0,7638870	0,7532680
120	0,9218323	0,4295479	0,1726843	0,2051845	0,2234789	0,1259872	0,1865056	0,5888229	0,5934044	0,8617694	0,8542161	0,2712322	0,6427083	0,1373184	0,0814567	0,4881680	0,5718931	0,5420565	0,9984841	0,0983332	0,7785811	0,1538764	0,4125036	0,7451406	0,2449826	0,4867992	0,9106053	0,7225378	0,0806243	0,7699530	0,8416387	0,8097586
140	0,8900426	0,3935822	0,1417186	0,1873068	0,1773884	0,1159981	0,1942029	0,5866448	0,6257619	0,8358676	0,8432616	0,2619638	0,6460758	0,1387868	0,0917133	0,4848197	0,5989746	0,5139693	1,0011557	0,0995818	0,8038098	0,1132754	0,3959402	0,7351046	0,2302866	0,4728210	0,9842047	0,6645074	0,0694616	0,7672282	0,8643721	0,7763800
160	0,9396842	0,3896598	0,1198784	0,2121013	0,1856097	0,1178761	0,1856373	0,6047649	0,5994668	0,7986050	0,8652071	0,2843288	0,5803839	0,1625302	0,0990929	0,5272621	0,6178630	0,4786759	0,9726970	0,1291911	0,7726420	0,1091484	0,3690868	0,7493257	0,2273339	0,4526301	0,9899783	0,6070468	0,0565532	0,7490242	0,9213954	0,8021931
