"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
1080	0,4058438	0,9905497	0,5031343	0,1972427	1,0331867	0,6315520	0,6309315	0,3754384	0,4351961	0,6995637	1,0295361	0,7307602	0,9394034	0,7416378	0,8952284	0,7335298	0,0669285	0,9626993	0,8522198	0,8109027	0,1339652	0,1779137	0,0985405	0,8811860	0,6254922	0,2603456	0,9545064	0,7837268	0,8734885	0,3696231	0,5343714	0,5696798
1100	0,3758832	1,0323558	0,4995401	0,2098546	1,0437921	0,5689164	0,6109258	0,3733047	0,3790175	0,7184618	1,0286567	0,7199685	0,9506602	0,7473115	0,7976008	0,7444380	0,0549531	1,0786521	0,8153309	0,8654829	0,0915664	0,2014720	0,0891421	0,8291547	0,6521039	0,2184740	0,9316778	0,7949192	0,9685899	0,4179807	0,5713911	0,6353976

0	0,3494500	1,0476511	0,5615192	0,1603186	1,0974820	0,6404352	0,6417694	0,3949638	0,3960966	0,6930002	1,0132015	0,7080136	1,0091178	0,7986046	0,8159757	0,6569088	0,0576923	0,9484596	0,8208065	0,8466571	0,1194787	0,1861011	0,0878454	0,8764035	0,6443370	0,2530200	0,8607278	0,7150454	0,9374273	0,4127180	0,5424303	0,6408142
20	0,3800648	1,1248193	0,4702512	0,1837121	0,8383969	0,7011617	0,6349134	0,3241607	0,4362473	0,7141200	0,9327050	0,6388732	0,9115187	0,7450233	0,6615072	0,6506473	0,0593566	0,9798102	0,8918353	0,7590265	0,1002565	0,1224661	0,0621209	0,8436418	0,6029527	0,2323366	0,7034659	0,7687649	0,9456203	0,6111433	0,6699539	0,6506529
40	0,3292659	1,0482111	0,4499940	0,1838366	0,8660588	0,6835257	0,6137131	0,3725763	0,4030504	0,7103957	0,9390030	0,6725192	0,8949003	0,7676134	0,6954449	0,6195818	0,0552690	0,9060885	0,8429683	0,7980420	0,0996276	0,0963159	0,0449406	0,7566831	0,5865870	0,2113928	0,7457282	0,8374975	0,9741090	0,7434167	0,7596994	0,6131898
60	0,3023050	0,9411110	0,5042169	0,1850126	0,9037991	0,6860760	0,6044553	0,3932940	0,3835911	0,6951931	0,9456399	0,6783892	0,9335231	0,7963801	0,7859814	0,6336747	0,0461641	0,8753219	0,8158860	0,9165882	0,0980062	0,1046796	0,0308172	0,7825554	0,5722091	0,2512312	0,6541703	0,7663249	0,9622820	0,7991918	0,7392365	0,6253870
80	0,2948269	1,0039641	0,5400178	0,1859472	0,8246585	0,6398538	0,6024282	0,3733901	0,3905531	0,7212024	1,0212204	0,6146586	0,9425096	0,7543517	0,7332112	0,7447500	0,0458753	0,9134437	0,7820342	0,9728077	0,0901932	0,0978892	0,0225253	0,7363588	0,5883129	0,2550113	0,6851523	0,7322052	1,0553395	0,8708850	0,7657715	0,5595767
100	0,3208978	1,0391081	0,5459882	0,1571774	0,8089238	0,6461245	0,6548405	0,3875128	0,3863362	0,7391154	1,0029246	0,6041906	0,9687263	0,7635768	0,7805563	0,7230940	0,0427392	0,9272111	0,7780552	0,9057163	0,0888150	0,1167637	0,0116650	0,7744643	0,5725331	0,2537483	0,7160381	0,7418239	1,0249058	0,9507958	0,8468968	0,6049086
120	0,3106250	1,1021809	0,4559385	0,1527549	0,8190553	0,6338318	0,7126802	0,3905181	0,4443033	0,8068837	0,9832211	0,6251442	0,9621924	0,7619009	0,7979535	0,7181211	0,0722761	0,9339877	0,7746801	0,9185557	0,0854470	0,1246539	0,0116352	0,7850317	0,5457744	0,2498359	0,7961032	0,7484547	1,0120158	0,9297160	0,9424628	0,6922438
