"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
1060	0,3593806	0,1701283	0,3176561	0,5059988	0,7296871	0,6781026	0,5023111	0,6226239	0,2797294	0,6994466	0,8127255	0,7430573	0,5683296	0,6508059	0,5634864	0,4020938	0,2828592	0,0200287	0,6299360	0,2413623	0,2782693	0,3404829	0,0047461	0,1106044	0,4533989	0,3875510	0,5315621	0,3412316	0,2602946	0,7582847	0,4991620	0,6191945
1080	0,3184557	0,1212777	0,3378133	0,3956747	0,6606506	0,6585344	0,4452163	0,5524424	0,2776851	0,8471518	0,7262779	0,6478148	0,3508135	0,6806287	0,5758148	0,3810765	0,3489461	0,0483145	0,6964853	0,2471069	0,4476272	0,3980406	0,0119246	0,1338933	0,4274616	0,3262181	0,5986654	0,3175818	0,3269534	0,6028720	0,5560476	0,7864108
1100	0,2929874	0,1091223	0,3331053	0,3849441	0,6513644	0,7578596	0,6229138	0,5351375	0,2255909	0,6582363	0,5602055	0,6614420	0,4877507	0,5747601	0,6621242	0,4760142	0,2433512	0,0231507	0,7436384	0,1905798	0,3683566	0,3484197	0,0165129	0,1665262	0,4062991	0,4045032	0,6655758	0,2470041	0,2122137	0,6340818	0,5187017	0,9135683

0	0,3799599	0,1222725	0,3364350	0,5078018	0,5802143	0,7052742	0,6131048	0,6611502	0,2956605	0,5895304	0,8046346	0,5754563	0,5486051	0,8101134	0,5713503	0,5236947	0,2090058	0,0223793	0,6288402	0,1441404	0,3352684	0,2755205	0,0032945	0,0835891	0,3635922	0,4162316	0,4972822	0,3890477	0,2578716	0,5726804	0,5529071	0,6648004
20	0,3864469	0,1826737	0,3219959	0,5550221	0,5510091	0,7506868	0,5608654	0,6190206	0,2243482	0,7030957	0,7160269	0,7073970	0,4188405	0,7861027	0,5287860	0,4621378	0,3532979	0,0299832	0,6554569	0,2668028	0,3481964	0,3617781	0,0756990	0,1386944	0,4045119	0,3614836	0,4709437	0,3454081	0,1797249	0,7785721	0,5283174	0,8548601
40	0,4559267	0,1410576	0,2370393	0,5101321	0,5267558	0,7450562	0,5172344	0,4771424	0,2444813	0,5708829	0,5812008	0,6844212	0,4139724	0,6566870	0,6169198	0,4932617	0,2329600	0,0546856	0,6145682	0,2729936	0,3523922	0,2401337	0,1902869	0,1679554	0,4897572	0,3408619	0,4504421	0,4691795	0,2205736	0,6015191	0,5144500	0,7390153
60	0,3698095	0,1568428	0,3428491	0,5121212	0,4984922	0,6003831	0,5832868	0,3549899	0,1840064	0,6262091	0,7497709	0,5843664	0,4537115	0,7214001	0,5920466	0,5761095	0,3245834	0,1216807	0,5028605	0,2305290	0,2719627	0,2535418	0,2750999	0,1458741	0,3387755	0,2701121	0,5303252	0,4285544	0,3009556	0,5165838	0,6235355	0,8286218
80	0,2839363	0,1253413	0,3159602	0,5085103	0,4227876	0,6784696	0,4699088	0,3088538	0,1212419	0,4583386	0,6674155	0,6241283	0,3798477	0,6994849	0,5868233	0,6706310	0,3560484	0,1302648	0,4218244	0,2336710	0,2230844	0,2959871	0,3975135	0,1262654	0,4807180	0,2968814	0,5193463	0,6026246	0,1359521	0,5767984	0,5372665	0,6789359
100	0,2446593	0,0852959	0,2642031	0,5099360	0,5279823	0,8381539	0,5189207	0,2673852	0,1259831	0,5264184	0,6221030	0,5619380	0,4895723	0,6974314	0,5129902	0,6668964	0,2596929	0,1330670	0,3707774	0,1527556	0,2664848	0,3029158	0,4414709	0,1234737	0,3969100	0,3130243	0,5089748	0,5436490	0,1710603	0,6309988	0,6035715	0,8022648
