"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
900	0,0621137	0,0503151	0,5925844	0,8169550	0,8088419	0,0623250	0,8594092	0,0374558	0,2973670	0,6723326	0,5170803	0,6779892	0,5327003	0,3982259	0,5436493	0,0159221	0,0808410	0,3591441	0,1458248	0,0068587	0,7490403	0,4069172	0,4081893	0,0023374	0,1055503	0,6884007	0,3697481	0,7359224	0,0186439	0,3903240	0,1208470	0,0024999
920	0,0638637	0,0468079	0,5568503	0,7392126	0,7087040	0,0708570	0,7685199	0,0421419	0,2118106	0,7927739	0,4708360	0,6490299	0,7252953	0,4219127	0,5417482	0,0288856	0,1177720	0,2937958	0,0782008	0,0036681	0,5536225	0,3958692	0,3725559	0,0033602	0,0539370	0,6948501	0,2458631	0,8287588	0,0256862	0,4053161	0,0602551	0,0009735
940	0,0694709	0,0475378	0,5475170	0,6143639	0,6543550	0,0883691	0,6562245	0,0573023	0,2146341	0,7304651	0,4343976	0,8436848	0,7746304	0,5202724	0,5299858	0,0175396	0,1223292	0,4236246	0,0582563	0,0177163	0,6159791	0,4060341	0,3808106	0,0086150	0,0807672	0,6577391	0,2636954	0,6462335	0,0113550	0,4524798	0,1094668	0,0002442
960	0,0710828	0,0243665	0,5268675	0,7955925	0,6417964	0,0545914	0,7268985	0,0370863	0,2626908	0,6998767	0,5408217	0,6567619	0,6500774	0,3783607	0,5695421	0,0231540	0,1272452	0,2723021	0,0502230	0,0077676	0,6980970	0,3402067	0,3128809	0,0017905	0,0905281	0,8429960	0,3422462	0,6773038	0,0318801	0,3722944	0,0728090	0,0014525
980	0,0819269	0,0491424	0,4937537	0,7404931	0,8022763	0,1361751	0,7465232	0,0488065	0,2746196	0,8243693	0,3429667	0,7523843	0,6565303	0,4405141	0,5104996	0,0173475	0,0802942	0,2496311	0,0943883	0,0084942	0,5954061	0,3520331	0,3936782	0,0037594	0,1554654	0,5948452	0,2550144	0,6875809	0,0293132	0,3887860	0,0576742	0,0025629
1000	0,0545673	0,0359015	0,4957519	0,8298839	0,6969844	0,0911673	0,7597658	0,0283730	0,2101680	0,7841449	0,4110451	0,6052931	0,6808092	0,3586832	0,6356438	0,0206830	0,1424116	0,3396297	0,0778427	0,0053654	0,6143337	0,2966099	0,3783483	0,0073610	0,0789403	0,6910572	0,2742351	0,7301652	0,0144440	0,3710011	0,0565532	0,0019545
1020	0,0789375	0,0346837	0,5000305	0,8344519	0,8328422	0,1245873	0,6731322	0,0372094	0,2299327	0,6843135	0,4899710	0,5597441	0,5285474	0,5187173	0,5218545	0,0414459	0,1030332	0,2888714	0,0422363	0,0090808	0,6490636	0,3742208	0,2980045	0,0044034	0,0943350	0,5954864	0,2524542	0,6860539	0,0189421	0,5214047	0,0817611	0,0167365
1040	0,0717726	0,0698941	0,3744166	0,8034898	0,5804477	0,0501606	0,5414960	0,0172134	0,2314128	0,7995997	0,5201065	0,6277123	0,7534602	0,4358397	0,5526261	0,0251052	0,0678824	0,2855837	0,0694363	0,0059651	0,5923002	0,3223655	0,3920338	0,0037595	0,0962923	0,7208202	0,3046532	0,7007144	0,0516370	0,3623344	0,0635649	0,0209568
1060	0,0689936	0,0364102	0,4690295	0,6699155	0,9152050	0,1282469	0,7242232	0,0272790	0,2109624	0,7563295	0,4140140	0,6623355	0,6620172	0,4483735	0,5396782	0,0425981	0,0500321	0,3539460	0,0805463	0,0089480	0,4990829	0,4217315	0,3781752	0,0160635	0,1615170	0,6043266	0,3380746	0,6545844	0,0148483	0,5063265	0,0624854	0,0113294
1080	0,0748561	0,0929815	0,6317644	0,5720711	0,8676108	0,1510345	0,8029162	0,0368776	0,3076977	0,6308175	0,4767270	0,6752890	0,6359403	0,4225557	0,5579597	0,0254630	0,0556754	0,3413508	0,0403018	0,0139238	0,6041307	0,4246755	0,4971318	0,0114312	0,0988887	0,6549337	0,2809899	0,7538756	0,0381977	0,3852172	0,1086040	0,0038553
