"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
20	0,2772886	0,4386219	0,0246097	0,2732495	0,1559950	0,3917998	0,5520882	0,3905874	0,2959135	0,3592612	0,1752948	0,4299546	0,0912240	0,4049830	0,3618271	0,3227156	0,3353894	0,1888543	0,8077230	0,0293480	0,8440180	0,0085838	0,2740515	0,2906628	0,6582326	0,0669387	0,8410729	0,6002304	0,7435020	0,2445891	0,8110878	0,3284958
40	0,4011872	0,3949778	0,0375056	0,4083430	0,1790221	0,4779829	0,4469924	0,3860326	0,2066497	0,3349823	0,1406554	0,5614539	0,1164583	0,3096470	0,2521536	0,2075932	0,3029166	0,1960957	0,6070709	0,0600239	0,6902712	0,0156929	0,3871594	0,2747471	0,5862679	0,0286839	0,6768033	0,5826972	0,5757815	0,4740334	0,7776734	0,2926981
60	0,3895727	0,4524614	0,0457424	0,5623913	0,2096214	0,4558535	0,5003836	0,3929302	0,2309496	0,3298110	0,0851076	0,5097153	0,0956799	0,3540711	0,3396845	0,2192924	0,3991096	0,2557381	0,7660807	0,0257586	0,8069672	0,0362175	0,5522605	0,2643246	0,5988645	0,0749239	0,6457828	0,6667006	0,6271419	0,5783561	0,7686841	0,3186459
80	0,3997977	0,3956279	0,0357834	0,6036519	0,1994260	0,6115761	0,4617814	0,3626225	0,2434237	0,4061596	0,1132037	0,5413492	0,0741742	0,4672842	0,2864127	0,1952350	0,4862835	0,2161921	0,7304355	0,0330095	0,7412290	0,0417171	0,4569413	0,2441570	0,6857351	0,0515180	0,8691166	0,5081271	0,7095311	0,5497951	0,7674695	0,2738088
100	0,5441782	0,4168847	0,0858591	0,4978379	0,2333436	0,6759151	0,4111986	0,4810103	0,2811396	0,3962333	0,1085968	0,5558942	0,0632271	0,4068128	0,2290862	0,1654544	0,4360550	0,1929509	0,6948821	0,0207070	0,7277612	0,0639332	0,5440402	0,2250904	0,6143702	0,0728758	0,5723539	0,5620782	0,7777130	0,5649731	0,8255157	0,3100448
120	0,4666061	0,4929843	0,0385460	0,7267414	0,2046919	0,4929717	0,4316401	0,4255343	0,1969142	0,3598219	0,0915608	0,5315552	0,0987639	0,4789858	0,2321535	0,1895368	0,3719901	0,2515680	0,7203478	0,0310266	0,6807001	0,0171363	0,4534116	0,3155279	0,5443930	0,0839737	0,8442780	0,6705803	0,6944003	0,6420315	0,7045151	0,2550743
140	0,4355576	0,5571215	0,0625632	0,6447895	0,2542304	0,5414974	0,3844621	0,4461852	0,2816260	0,3033609	0,1029478	0,4498472	0,0982158	0,4025260	0,2747760	0,1486647	0,4584158	0,2026050	0,7971324	0,0225991	0,7435081	0,0251994	0,5653151	0,2152683	0,7171232	0,0416550	0,7003837	0,5862423	0,6623825	0,6244272	0,8960038	0,2785947
160	0,3477801	0,6517747	0,0558283	0,7326635	0,2122150	0,4528446	0,4249402	0,3973032	0,2475599	0,3447823	0,1151577	0,4835275	0,0678131	0,5269855	0,3181194	0,1385296	0,5645147	0,2384588	0,8129159	0,0437673	0,7529400	0,0309022	0,5597921	0,2556075	0,4787473	0,0911574	0,7637302	0,6289377	0,8275969	0,6248466	0,6550360	0,2275164
180	0,4626714	0,5828399	0,0201023	0,6645266	0,2401724	0,4261211	0,4026445	0,4423514	0,2616359	0,3548552	0,1695100	0,4126858	0,0856537	0,3340759	0,2612939	0,1777033	0,4334254	0,2388022	0,7439845	0,0413124	0,7657902	0,0098674	0,5326681	0,2912882	0,5518259	0,0541474	0,8335333	0,5114125	0,6675518	0,6211242	0,6127496	0,3290253
200	0,4942097	0,5822097	0,0433656	0,5607505	0,1965394	0,5711351	0,3483340	0,4577759	0,2471734	0,3360768	0,1755654	0,3842074	0,0934873	0,3703336	0,2431436	0,1997350	0,4835502	0,2152820	0,8131349	0,0591626	0,7348103	0,0415209	0,4865093	0,2345423	0,6524424	0,0365033	0,6975596	0,5614282	0,6966429	0,5708134	0,7023964	0,2464328
