"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE
960	0,3884879	0,3503841	0,2645682	0,3981448	0,4206977	0,7552307	0,1462366	0,6265224	0,9290114	0,9712250	0,6072348	1,0337550	0,1763219	0,6592588	0,7016612	0,8574315	0,9611725	0,7748763	0,6319593	0,2747779	0,3473267	0,1335081	0,8509508	0,1670053	1,0085414	0,8123154	0,7789042	0,7717565	0,1002928	0,0317854	0,2460030	0,5274072
980	0,3418853	0,3992828	0,2506970	0,3678011	0,3659236	0,8091410	0,1562865	0,6676222	0,9657597	1,0224463	0,5858042	1,0586861	0,2139122	0,7105036	0,7210340	0,8371052	0,9235152	0,6825596	0,5927496	0,2658851	0,3595741	0,1225383	0,8546345	0,1264282	0,9394054	0,7842291	0,7297822	0,8803261	0,0787388	0,0440827	0,2576368	0,5453412
1000	0,3718602	0,3934705	0,2717412	0,3971004	0,3892828	0,8479867	0,1625897	0,6767716	0,9639942	1,0157468	0,5354181	1,0515739	0,2291849	0,6615900	0,6713232	0,8264580	0,8608090	0,7437221	0,6072951	0,2551549	0,3290022	0,0987788	0,8520492	0,1368179	0,8978603	0,8343198	0,7021839	0,9284022	0,0772395	0,0398808	0,2688163	0,5601845
1020	0,4424938	0,4140718	0,2798275	0,4038150	0,3538539	0,8534283	0,1750782	0,6640824	0,9757768	0,9522324	0,5130116	1,0115959	0,2311101	0,6810711	0,6426008	0,8049199	0,8632291	0,7153217	0,6126479	0,2391209	0,3062155	0,0801709	0,8878602	0,0990159	0,9280331	0,7047516	0,7365400	0,9071060	0,0970433	0,0463273	0,2724879	0,5483308
1040	0,4336998	0,4431082	0,2601822	0,3496913	0,3559903	0,8794270	0,1612827	0,6682436	0,9896701	0,9729828	0,5187029	0,9847710	0,2394878	0,6631863	0,6666949	0,7776779	0,8549746	0,6709132	0,5764180	0,2333369	0,3107614	0,0845989	0,8861747	0,1024578	0,9814403	0,6263994	0,7321157	0,8864765	0,0955197	0,0378158	0,2833395	0,5538737
1060	0,4168759	0,4280053	0,2772042	0,3761522	0,4145945	0,8630963	0,1884640	0,6451938	0,9728262	0,9904918	0,5690702	0,9983248	0,2243468	0,6810414	0,6988490	0,8065152	0,8782857	0,6529512	0,5580223	0,1931153	0,3098530	0,1016506	0,8694054	0,1233449	1,0207768	0,6999041	0,7179900	0,9434375	0,1151880	0,0306197	0,2798014	0,6011628
1080	0,3895303	0,4038478	0,2535790	0,3730001	0,4081359	0,8143948	0,1761912	0,6064694	0,8906993	0,9614751	0,5716537	0,9420698	0,2340330	0,6984250	0,7402647	0,8704754	0,8692757	0,7393641	0,5605875	0,1705315	0,3261538	0,1080455	0,8426497	0,1372136	0,9962592	0,6873997	0,6283844	0,9988844	0,1186577	0,0411630	0,3010103	0,5624808
1100	0,4527750	0,3801530	0,2612181	0,3799592	0,3814554	0,8218627	0,1732136	0,6379730	0,8858129	0,9707262	0,5472360	1,0330579	0,1850778	0,6578010	0,7380103	0,8170579	0,8865403	0,7852242	0,5518997	0,1639735	0,3241478	0,1156936	0,8447900	0,1289341	1,0035144	0,7290806	0,6767724	0,9809359	0,0894487	0,0298682	0,2828412	0,5478786

0	0,4466527	0,4052296	0,2323919	0,4056593	0,4013276	0,8601026	0,1918983	0,6704579	1,0175548	0,9688620	0,5870793	1,0097960	0,2257982	0,6729532	0,6559922	0,8614673	0,8453968	0,7305171	0,5323502	0,1362273	0,3616109	0,1495995	0,9097156	0,1658573	0,9822336	0,7713624	0,6583547	0,8512215	0,1003007	0,0317498	0,2761754	0,4830674
