"Time"	araC	crp	rhaR	rhaS	melR	malI	feaR	zraR	mtlR	rbsR	rbsD	rbsA	araA	rhaA	araB	zraS	araG	rbsB	melA	rbsK	melB	araF	rbsC	rhaB	rhaD	araJ	araD	araE	malX	araH	malY	xylA
960	0,3212228	0,5356279	0,0284247	0,0458718	0,3515856	0,8063184	0,4271033	0,0492347	0,7311097	0,2038056	0,5768278	0,4129136	0,1473203	0,3941092	0,4198786	0,3567335	0,4635147	0,5985844	0,2936733	0,5874145	0,6300053	0,3618879	0,6708537	0,2966950	0,0312295	0,3386840	0,6815548	0,4287924	0,1563364	0,2284505	0,6056343	0,2181801
980	0,4306984	0,5240870	0,0398608	0,0225992	0,4293340	0,6328062	0,2921487	0,0718258	0,7719066	0,1877846	0,6128265	0,4227460	0,1900744	0,2797801	0,4660832	0,3651895	0,4137661	0,5457581	0,2939261	0,8258850	0,6894491	0,3848277	0,5965737	0,3642524	0,0165013	0,3212244	0,6924593	0,4011093	0,1426793	0,3396216	0,5443767	0,1530963
1000	0,3958773	0,5733664	0,0550793	0,0248277	0,5557052	0,6117215	0,3498042	0,0423907	0,7430141	0,2004725	0,6106356	0,4399203	0,1106550	0,1960960	0,3958673	0,3577949	0,3659338	0,6096440	0,3186724	0,7325271	0,6984081	0,3101649	0,6596996	0,3685862	0,0395336	0,3299639	0,6834403	0,4702602	0,1641344	0,3085170	0,5292022	0,1511858
1020	0,4044142	0,4577627	0,0576177	0,0407158	0,5245123	0,8384915	0,3345995	0,0315476	0,7441073	0,2035359	0,6388204	0,4139338	0,1498083	0,2094808	0,4566844	0,3573521	0,4168120	0,5952529	0,2387421	0,8205046	0,7370099	0,4015726	0,5699157	0,3640669	0,0413937	0,3857082	0,7445575	0,5061860	0,1103246	0,2988913	0,5548480	0,2030818
1040	0,4069209	0,6150792	0,0438421	0,0579755	0,4429341	0,6697338	0,2607458	0,0301433	0,7100250	0,3088938	0,5364021	0,4300040	0,1448395	0,2099021	0,4571821	0,3725771	0,3909536	0,6067352	0,2852717	0,7422564	0,6401011	0,2870498	0,6308261	0,3614211	0,0469186	0,3824127	0,7149993	0,4709984	0,1329838	0,3385894	0,5267719	0,1764045
1060	0,3269962	0,4837655	0,0482573	0,0471534	0,5787460	0,6442590	0,4097458	0,0223025	0,7903776	0,2036126	0,6827443	0,4220643	0,2717760	0,1848813	0,4654592	0,3706474	0,3945094	0,5528000	0,2643662	0,7445665	0,6973295	0,2596227	0,7190048	0,2963489	0,0967229	0,2786446	0,6425947	0,5103117	0,1608219	0,3252405	0,5811330	0,1179247
1080	0,4751637	0,5880598	0,0502449	0,1191494	0,4793212	0,6040819	0,3053771	0,0329791	0,8553019	0,1761713	0,5465687	0,4862664	0,1760427	0,2232581	0,4119387	0,3690522	0,3021440	0,6287998	0,3011971	0,7276848	0,6372271	0,2645557	0,6950499	0,2898585	0,0692156	0,3212042	0,6322362	0,4028199	0,1280268	0,2559008	0,6071761	0,1124827
1100	0,3171986	0,5856092	0,0170861	0,0566739	0,5066070	0,6200094	0,3137785	0,0183808	0,8758477	0,1551031	0,6230978	0,4893368	0,1382376	0,2025931	0,5198417	0,3836421	0,3727266	0,6711099	0,2656162	0,6682190	0,7094027	0,2950176	0,7071458	0,2747367	0,0559138	0,2874327	0,7375792	0,3704954	0,2149495	0,2688369	0,5267136	0,1946138

0	0,3328302	0,4625377	0,0340383	0,0396462	0,5642905	0,6533116	0,3701288	0,0254639	0,7755794	0,2224714	0,6563424	0,5070820	0,2511348	0,2448307	0,3972607	0,4878117	0,4852836	0,5480720	0,2677952	0,8163885	0,7211465	0,3036694	0,7041478	0,3029454	0,0422908	0,3269391	0,6864704	0,4550917	0,1858472	0,2301606	0,6275701	0,1737346
20	0,4196739	0,5717427	0,0583218	0,0860205	0,5555454	0,6815135	0,3464686	0,0195487	0,6448569	0,2658043	0,6328813	0,4532811	0,1815083	0,3384165	0,5248724	0,2839041	0,4756388	0,5721541	0,2901632	0,7195109	0,7553320	0,3017507	0,6427415	0,3562186	0,0683097	0,3658029	0,7180057	0,4686467	0,1410668	0,2381286	0,5589360	0,2339173
40	0,4376529	0,4177036	0,0649246	0,1011020	0,5623597	0,7914192	0,4293378	0,0200238	0,7949880	0,1787935	0,6849327	0,4678731	0,1906870	0,3246628	0,5369265	0,3714615	0,4110864	0,5017710	0,2303914	0,6513571	0,6975241	0,2615000	0,5957093	0,3747696	0,0617443	0,2962046	0,6549903	0,4982682	0,1685416	0,2827807	0,5815479	0,1291103
60	0,4741894	0,4515404	0,0699213	0,1631139	0,4426822	0,7171902	0,3720872	0,0224215	0,6627959	0,1985429	0,6263251	0,5118286	0,1770568	0,3794152	0,3983944	0,3102932	0,3778019	0,5338481	0,2681207	0,6534847	0,8050800	0,3138205	0,6049408	0,3616065	0,0324411	0,4027040	0,7188434	0,4249754	0,1286402	0,2586276	0,5497990	0,1307986
