"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
980	0,6947193	0,3808815	0,2385098	0,4438669	0,2215269	0,1862272	0,1760157	0,5354304	0,6536180	0,6984947	0,8711166	0,1764285	0,7057518	0,1765786	0,0831172	0,1751095	0,4625836	0,4900449	0,9353612	0,1170399	0,7808799	0,1562631	0,5318508	0,6426450	0,1701215	0,7344963	0,9498525	0,8600504	0,3867629	0,7962529	0,2782826	0,5832696
1000	0,6948654	0,3809131	0,2367226	0,4463805	0,2215269	0,1861713	0,1760162	0,5354301	0,6536128	0,6985019	0,8711539	0,1763766	0,7057488	0,1767355	0,0830976	0,1763441	0,4627973	0,4914804	0,9368676	0,1169831	0,7808809	0,1551045	0,5309944	0,6428431	0,1699304	0,7423034	0,9529776	0,8620307	0,3874133	0,7954176	0,2784794	0,5832688
1020	0,6949637	0,3809304	0,2353455	0,4484280	0,2215269	0,1861344	0,1760163	0,5354299	0,6536123	0,6985077	0,8711762	0,1763427	0,7057460	0,1768402	0,0830854	0,1773384	0,4629366	0,4926376	0,9380951	0,1169480	0,7808815	0,1542778	0,5304000	0,6429743	0,1697963	0,7484328	0,9555182	0,8638894	0,3879116	0,7947796	0,2786176	0,5832684
1040	0,6950298	0,3809402	0,2342911	0,4500712	0,2215269	0,1861101	0,1760163	0,5354298	0,6536137	0,6985118	0,8711899	0,1763207	0,7057437	0,1769098	0,0830778	0,1781340	0,4630279	0,4935610	0,9390839	0,1169263	0,7808820	0,1536910	0,5299918	0,6430619	0,1697022	0,7532104	0,9575622	0,8655921	0,3882900	0,7942968	0,2787153	0,5832685
1060	0,6950743	0,3809462	0,2334886	0,4513729	0,2215269	0,1860941	0,1760163	0,5354297	0,6536156	0,6985144	0,8711984	0,1763065	0,7057420	0,1769561	0,0830730	0,1787669	0,4630880	0,4942910	0,9398725	0,1169130	0,7808823	0,1532763	0,5297140	0,6431206	0,1696362	0,7569113	0,9591920	0,8671193	0,3885750	0,7939343	0,2787847	0,5832689
1080	0,6951042	0,3809504	0,2328809	0,4523923	0,2215269	0,1860834	0,1760163	0,5354297	0,6536174	0,6985159	0,8712036	0,1762974	0,7057408	0,1769867	0,0830701	0,1792679	0,4631278	0,4948637	0,9404958	0,1169048	0,7808826	0,1529843	0,5295262	0,6431601	0,1695899	0,7597621	0,9604812	0,8684636	0,3887884	0,7936638	0,2788342	0,5832693
1100	0,6951243	0,3809535	0,2324227	0,4531828	0,2215269	0,1860762	0,1760163	0,5354297	0,6536187	0,6985167	0,8712069	0,1762915	0,7057400	0,1770069	0,0830683	0,1796626	0,4631542	0,4953098	0,9409848	0,1168998	0,7808827	0,1527794	0,5293998	0,6431867	0,1695574	0,7619470	0,9614941	0,8696274	0,3889471	0,7934633	0,2788696	0,5832698

0	0,6951630	0,3809637	0,2313959	0,4550144	0,2215269	0,1860619	0,1760163	0,5354297	0,6536207	0,6985169	0,8712121	0,1762786	0,7057383	0,1770474	0,0830653	0,1805638	0,4632053	0,4963338	0,9421002	0,1168920	0,7808685	0,1523547	0,5291590	0,6432396	0,1694818	0,7669016	0,9637118	0,8722879	0,3893492	0,7929939	0,2789345	0,5832710
20	0,7197982	0,3810261	0,2311223	0,4282591	0,2145629	0,1857997	0,1760163	0,5354297	0,6408314	0,7204839	0,8714248	0,1765834	0,6971658	0,1770524	0,0830654	0,2068646	0,4634918	0,4960098	0,9421938	0,1168654	0,7808739	0,1521232	0,5177595	0,6435515	0,1804708	0,7146683	0,9639851	0,8726076	0,3648340	0,7925700	0,3106302	0,6071279
