"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
1100	0,6951494	0,3809611	0,2312232	0,4543932	0,2215269	0,1860655	0,1760163	0,5354297	0,6536205	0,6985174	0,8712098	0,1762795	0,7057390	0,1770416	0,0830658	0,1804596	0,4632030	0,4961430	0,9416611	0,1168922	0,7808831	0,1525016	0,5292316	0,6432194	0,1695204	0,7630425	0,9635589	0,8716784	0,3892137	0,7931231	0,2789455	0,5832705

0	0,6951645	0,3809652	0,2310965	0,4553605	0,2215269	0,1860614	0,1760163	0,5354297	0,6536206	0,6985169	0,8712120	0,1762800	0,7057380	0,1770459	0,0830653	0,1808613	0,4632058	0,4966047	0,9423410	0,1168918	0,7808831	0,1523269	0,5291463	0,6432404	0,1694814	0,7672229	0,9645494	0,8736170	0,3893711	0,7929439	0,2789555	0,5832710
20	0,7827678	0,3816414	0,2288410	0,3501841	0,1953915	0,1841236	0,1760163	0,5354297	0,6069628	0,7656867	0,8722328	0,1793458	0,6787745	0,1770931	0,0830661	0,3106460	0,4658013	0,4932063	0,9421570	0,1166831	0,7808927	0,1508489	0,4865759	0,6451841	0,2054158	0,6741686	0,9642839	0,8715526	0,2820537	0,7896439	0,4527404	0,6763631
40	0,8416161	0,3845760	0,2192260	0,2874386	0,1856247	0,1763915	0,1760163	0,5354297	0,5883055	0,8050333	0,8762537	0,1915124	0,6641013	0,1772738	0,0830694	0,3976003	0,4762104	0,4842801	0,9411648	0,1158120	0,7809292	0,1446268	0,4559177	0,6529311	0,2306571	0,6194411	0,9629934	0,8591760	0,2066668	0,7742590	0,5768097	0,7253971
60	0,8811474	0,3890783	0,2045256	0,2528528	0,1855642	0,1659035	0,1760163	0,5354297	0,5851606	0,8286968	0,8819443	0,2088341	0,6568680	0,1775202	0,0830740	0,4559654	0,4912412	0,4774759	0,9398884	0,1145743	0,7809790	0,1351356	0,4318479	0,6640289	0,2483915	0,5828923	0,9616012	0,8338648	0,1539616	0,7486271	0,6660262	0,7522224
80	0,9077028	0,3938335	0,1885761	0,2363664	0,1889160	0,1563095	0,1760163	0,5354297	0,5885292	0,8430674	0,8877042	0,2260164	0,6536927	0,1777629	0,0830787	0,4954344	0,5067167	0,4756289	0,9392119	0,1134339	0,7810277	0,1246870	0,4129709	0,6754677	0,2608514	0,5573663	0,9613641	0,7979755	0,1175730	0,7195051	0,7303081	0,7672487
100	0,9255419	0,3979466	0,1738183	0,2311097	0,1919452	0,1493104	0,1760163	0,5354297	0,5934700	0,8516584	0,8926914	0,2401121	0,6525728	0,1779703	0,0830828	0,5224516	0,5202999	0,4777811	0,9396378	0,1126348	0,7810690	0,1148006	0,3983121	0,6856354	0,2696048	0,5402998	0,9628732	0,7568486	0,0929276	0,6923686	0,7765936	0,7758056
120	0,9375259	0,4010518	0,1613074	0,2325035	0,1935128	0,1450740	0,1760163	0,5354297	0,5978333	0,8565962	0,8966406	0,2503369	0,6524084	0,1781344	0,0830861	0,5412889	0,5311755	0,4820194	0,9411210	0,1121867	0,7811012	0,1062522	0,3869540	0,6939685	0,2757537	0,5302489	0,9659275	0,7163214	0,0766303	0,6697436	0,8098577	0,7807390
140	0,9455765	0,4031466	0,1512540	0,2375524	0,1939032	0,1429834	0,1760163	0,5354297	0,6009942	0,8592711	0,8995877	0,2571031	0,6526272	0,1782579	0,0830886	0,5547680	0,5393664	0,4867935	0,9433033	0,1119840	0,7811251	0,0992999	0,3781389	0,7004551	0,2800726	0,5258135	0,9698965	0,6807914	0,0661174	0,6519143	0,8337038	0,7836068
160	0,9509848	0,4044085	0,1434560	0,2443262	0,1937389	0,1422054	0,1760163	0,5354297	0,6030120	0,8606048	0,9016911	0,2612499	0,6529502	0,1783479	0,0830905	0,5647114	0,5452590	0,4912386	0,9457836	0,1119111	0,7811422	0,0938881	0,3712989	0,7053221	0,2831058	0,5255511	0,9741145	0,6525843	0,0594721	0,6381346	0,8507507	0,7852797
180	0,9546180	0,4050675	0,1375557	0,2516058	0,1934687	0,1420379	0,1760163	0,5354297	0,6041697	0,8611899	0,9031382	0,2636161	0,6532548	0,1784115	0,0830918	0,5722634	0,5493421	0,4950418	0,9482570	0,1118891	0,7811540	0,0898068	0,3660198	0,7088710	0,2852358	0,5281280	0,9780952	0,6322487	0,0553183	0,6274814	0,8629017	0,7862534
200	0,9570586	0,4053353	0,1331724	0,2586518	0,1932846	0,1420460	0,1760163	0,5354297	0,6047623	0,8613881	0,9041019	0,2648691	0,6534980	0,1784555	0,0830927	0,5781374	0,5520797	0,4981888	0,9505424	0,1118795	0,7811620	0,0867972	0,3619895	0,7113985	0,2867314	0,5324306	0,9815728	0,6191621	0,0527239	0,6192109	0,8715383	0,7868155
220	0,9586982	0,4053777	0,1299615	0,2650513	0,1932104	0,1420382	0,1760163	0,5354297	0,6050212	0,8614071	0,9047245	0,2654756	0,6536747	0,1784853	0,0830933	0,5827904	0,5538604	0,5007685	0,9525562	0,1118701	0,7811673	0,0846118	0,3589596	0,7131626	0,2877814	0,5375986	0,9844569	0,6120976	0,0510941	0,6127986	0,8776605	0,7871353
