"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
1040	0,5054558	0,1688822	0,5015853	0,6448382	0,8969585	1,0082542	0,7927903	0,8838277	0,3834234	0,9032606	1,0316140	0,9417621	0,6969020	1,0162145	0,8995333	0,5954254	0,3737095	0,0411515	0,9642728	0,3261718	0,4538759	0,4627215	0,0164040	0,1494880	0,5463341	0,5006354	0,7093336	0,4769846	0,3886021	0,9293436	0,7086881	1,0032945
1060	0,4766599	0,1672994	0,4300413	0,6191858	0,8662820	1,0611499	0,7664698	0,8886656	0,4282798	0,8290900	1,0051103	0,9925712	0,7327387	1,0020851	0,8558941	0,5870545	0,4168836	0,0486546	0,9105451	0,2938683	0,4419443	0,4569462	0,0131268	0,1556605	0,5899342	0,4865786	0,7400065	0,4394068	0,4490789	0,8983704	0,7474985	1,0388057
1080	0,4723920	0,2010810	0,4407562	0,6475758	0,8457437	1,0174016	0,7552044	0,8425295	0,4111579	0,7301864	0,9533242	0,9033210	0,7184858	0,9908420	0,8340865	0,6307728	0,4059772	0,0344932	0,9681635	0,2965978	0,4778769	0,4505160	0,0084246	0,1901776	0,5780678	0,4849281	0,7170124	0,4422718	0,3587358	0,9356648	0,7227745	1,0873436
1100	0,5034558	0,1839864	0,4476214	0,6303322	0,8427879	1,0054450	0,7828697	0,8810352	0,3665359	0,8767675	0,9644565	0,8794647	0,6915462	0,9931683	0,8459442	0,5983784	0,3774099	0,0460906	1,0406839	0,2501736	0,4874855	0,4220217	0,0041113	0,1463696	0,6120390	0,4597466	0,6992797	0,4686279	0,3259854	1,0026048	0,6475932	1,0389394

0	0,5600967	0,2065908	0,4852157	0,6124620	0,7339061	1,0173116	0,7653388	0,8375585	0,4231247	0,8618818	1,0483658	0,9232449	0,6236752	0,9864146	0,7565256	0,6282470	0,3830982	0,0543313	0,9466988	0,2374628	0,4384205	0,4154814	0,0129113	0,1410081	0,5526293	0,5232871	0,8176112	0,4950229	0,3016902	0,9700298	0,7908216	1,0506278
20	0,3807265	0,2126720	0,4845364	0,6363682	0,7606273	0,9187252	0,7099958	0,5966130	0,2841842	0,9054632	0,9064108	0,8204948	0,7043339	0,9743513	0,7670404	0,7357142	0,3856935	0,0890736	0,7387415	0,3356789	0,4175171	0,4715761	0,3842897	0,1818108	0,5602113	0,5050061	0,7814664	0,5692911	0,2911480	0,8726907	0,7687963	1,0363546
40	0,3311837	0,2121766	0,4400859	0,6637839	0,7765502	0,9595843	0,6133673	0,4961455	0,1833288	0,8781103	0,9241552	0,8038716	0,7028995	1,0072434	0,7455846	0,8470369	0,4024100	0,1534268	0,6516045	0,2933595	0,3764378	0,4262187	0,6373451	0,1453606	0,5763276	0,4473306	0,7557371	0,6589035	0,2629353	0,9106326	0,7378721	0,9979762
60	0,3080207	0,1732532	0,4518374	0,6728008	0,7760552	0,9796847	0,6185683	0,3988081	0,1153069	0,7592683	0,8986406	0,8294199	0,7448285	0,9361521	0,7396000	0,9473020	0,3913360	0,2456368	0,5743400	0,3082268	0,4135356	0,4433936	0,7554009	0,2379598	0,5540078	0,4489102	0,7214741	0,7119518	0,2381784	0,8991387	0,7961958	0,9633847
80	0,2875788	0,1665265	0,4876575	0,6803084	0,8044560	0,9940636	0,6213753	0,4014317	0,0908394	0,6645248	0,8918134	0,8633014	0,7329550	0,9755900	0,7286677	0,9178497	0,3580672	0,2699113	0,4902882	0,3135727	0,4205872	0,4532834	0,8027839	0,1804955	0,5690441	0,4356859	0,7331981	0,7317723	0,1890480	0,8883229	0,8247851	0,9751991
