"Time"	slyA	hlyE	hns	cspA	bolA	stpA	bglJ	leuO	cadC	nhaR	bglF	bglB	bglG	yjjQ	nhaA	osmC	cadB	cadA	gspB	leuA	ampC	yciF	proW	smtA	leuC	gspO	yciG	pgaC	proV	pgaA	leuL	pgaB
1080	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427395	0,7068141	0,0508540	0,0271144	0,3480164	0,1858647	0,1467013	0,5157658	0,5889547	0,7035299	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9293728	0,0416028	0,7714068	0,0190640	0,2773801
1100	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427395	0,7068141	0,0508540	0,0271144	0,3480164	0,1858768	0,1467013	0,5158967	0,5889548	0,7035314	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9293728	0,0416028	0,7714067	0,0190640	0,2773801

0	1,0000000	0,9800837	0,8340001	1,0000000	0,0822969	0,5117656	0,0121808	0,0400821	0,6421703	0,7069493	0,0508540	0,0271144	0,3480163	0,1859105	0,1469512	0,5172143	0,5876700	0,7026538	0,6827056	0,0073216	0,9998332	0,4227493	0,1008759	0,7608711	0,0370099	0,1420329	0,0551277	0,9295263	0,0416033	0,7715389	0,0190640	0,2783584
20	1,0000000	0,9829542	0,8355455	0,9019394	0,0754712	0,5117470	0,0816779	0,0750983	0,6447319	0,7069025	0,0509972	0,0271093	0,3509457	0,1860902	0,1468948	0,5170146	0,5879608	0,6250050	0,6826760	0,0110630	0,9475952	0,3904634	0,1008730	0,7608858	0,0372157	0,1334096	0,0551265	0,9294920	0,0416031	0,7715093	0,0190649	0,3353258
40	1,0000000	0,9876735	0,8385282	0,7245720	0,0623426	0,5115734	0,2210656	0,1408197	0,6495082	0,7067103	0,0840304	0,0271729	0,3848304	0,1884067	0,1468429	0,5168542	0,5889404	0,4872078	0,6823932	0,0183233	0,8453102	0,3344243	0,1008535	0,7610220	0,0403747	0,1167335	0,0551156	0,9294622	0,0416025	0,7714831	0,0190986	0,4470257
60	1,0000000	0,9917296	0,8413566	0,5555943	0,0489230	0,5111477	0,3700208	0,2065393	0,6533639	0,7062202	0,1904277	0,0283432	0,4717105	0,1963490	0,1467674	0,5167154	0,5910105	0,3584672	0,6816039	0,0276428	0,7388586	0,2831645	0,1008009	0,7613609	0,0532611	0,0993618	0,0550872	0,9294206	0,0416011	0,7714440	0,0194330	0,5633304
80	1,0000000	0,9946482	0,8431364	0,4211691	0,0374379	0,5105495	0,5031471	0,2619683	0,6545474	0,7054152	0,3169416	0,0348696	0,5837891	0,2118921	0,1466263	0,5165723	0,5936747	0,2577718	0,6802830	0,0404672	0,6462389	0,2438107	0,1007145	0,7618603	0,0815609	0,0840130	0,0550432	0,9293399	0,0415989	0,7713652	0,0209072	0,6646583
100	1,0000000	0,9965816	0,8432044	0,3230517	0,0284040	0,5099671	0,6123660	0,3054065	0,6525763	0,7044163	0,4332707	0,0537963	0,6900371	0,2343761	0,1463836	0,5163964	0,5959289	0,1852883	0,6786426	0,0578922	0,5722723	0,2159527	0,1006090	0,7623945	0,1252088	0,0713994	0,0549930	0,9291950	0,0415966	0,7712235	0,0247894	0,7457684
120	1,0000000	0,9978032	0,8408673	0,2549435	0,0216433	0,5096171	0,6975809	0,3382904	0,6477965	0,7034501	0,5292736	0,0869021	0,7766318	0,2615234	0,1460316	0,5161673	0,5968298	0,1354974	0,6770753	0,0793812	0,5160864	0,1971423	0,1005098	0,7627991	0,1795266	0,0614292	0,0549506	0,9289775	0,0415946	0,7710128	0,0320913	0,8075856
