"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
900	0,3037028	0,7117657	0,2726143	0,2481974	0,8101334	0,3852204	0,4361786	0,2448728	0,2674472	0,5920527	0,7669838	0,4670211	0,6055981	0,6188270	0,4897461	0,4655913	0,0504092	0,6866580	0,5154568	0,5954533	0,0757994	0,1049669	0,0556306	0,7697975	0,5334820	0,2220326	0,6994636	0,5617801	0,6454099	0,3796846	0,4364925	0,3821985
920	0,2438872	0,8459290	0,3637392	0,1307702	0,6461223	0,4219252	0,5094661	0,1513452	0,2901580	0,3933437	0,5569387	0,5734032	0,7277625	0,5193721	0,5188429	0,5023700	0,0312499	0,6234381	0,6192298	0,6531213	0,0867442	0,0914688	0,0464938	0,7408425	0,4687120	0,2622588	0,6651400	0,5313496	0,7134840	0,2950413	0,3912073	0,4685671
940	0,3156338	0,7072485	0,3910769	0,1622037	0,6793390	0,4596166	0,5108725	0,2463751	0,2916342	0,5746243	0,7133877	0,4730648	0,6689933	0,6342231	0,6251575	0,4720611	0,0405527	0,5985365	0,6443034	0,7138361	0,0757125	0,1428844	0,0545028	0,6435396	0,5808160	0,2086397	0,6505099	0,6662934	0,8907924	0,3365440	0,3246143	0,3781030
960	0,3303644	0,7576419	0,4282806	0,0947215	0,7491906	0,4177348	0,5863317	0,2485594	0,2111718	0,5294299	0,5995180	0,6283904	0,6518189	0,5519306	0,6292892	0,5574007	0,0476887	0,5103675	0,6072562	0,6802621	0,0752425	0,1140998	0,0729812	0,7614884	0,4261270	0,2414991	0,6502298	0,5675512	0,7088780	0,2530790	0,5053616	0,4670213
980	0,3637966	0,7215544	0,3959821	0,1097395	0,7046520	0,5002086	0,4382982	0,2571775	0,3280554	0,5231610	0,6018223	0,4483833	0,8094500	0,6039484	0,5494285	0,5560652	0,0636711	0,6325778	0,4799415	0,7390266	0,1207815	0,0671307	0,0748475	0,7038715	0,4762514	0,1660032	0,5333587	0,5621155	0,7550287	0,3294504	0,3765877	0,4446673
1000	0,2429233	0,5835387	0,3628485	0,1256976	0,7529508	0,4158061	0,4933768	0,2851096	0,2223572	0,4779061	0,6702739	0,5366151	0,5926774	0,4964932	0,6178183	0,5124127	0,0562290	0,6411100	0,5089094	0,4551115	0,1073639	0,1222576	0,1362613	0,6267192	0,4650522	0,2131865	0,6456311	0,4643426	0,7562527	0,3046757	0,3569248	0,4470062
1020	0,1888382	0,6788070	0,4866796	0,1042449	0,8663613	0,4917886	0,5484966	0,2426795	0,2538696	0,5211969	0,6772590	0,5095765	0,6271132	0,5839760	0,5204327	0,4500174	0,0647403	0,7421994	0,6182080	0,4778302	0,1272061	0,1248734	0,0586116	0,5824486	0,4207832	0,1686679	0,6562170	0,5833509	0,6216217	0,3023293	0,4389072	0,5358073
1040	0,2494565	0,6635396	0,4754659	0,1467468	0,7642068	0,5115203	0,4345304	0,2480826	0,2033595	0,4797907	0,6578466	0,4743532	0,7141474	0,4817437	0,5967806	0,5881845	0,0707918	0,6340102	0,5780678	0,5308004	0,0888740	0,1566139	0,0756371	0,6195696	0,5111980	0,1280094	0,5601066	0,5829387	0,6514239	0,2311524	0,5089510	0,4214332
1060	0,2916800	0,7160900	0,4010145	0,1450408	0,7811449	0,4729306	0,4510925	0,3076436	0,2108691	0,5693508	0,7038339	0,5591457	0,7457918	0,5645146	0,6002861	0,4874223	0,0566019	0,6523566	0,5463265	0,5792012	0,0484808	0,1559445	0,1121424	0,6783556	0,5658745	0,1798326	0,5432387	0,5174262	0,6318615	0,3147738	0,4706893	0,4756549
1080	0,2237638	0,7633605	0,3170089	0,1477911	0,7362189	0,5383976	0,4349823	0,2449144	0,2912722	0,5664292	0,6550085	0,5161575	0,7462713	0,5162421	0,5981630	0,4773448	0,0462810	0,6608819	0,5630612	0,6041411	0,0675114	0,1130905	0,0749028	0,7374163	0,4191653	0,1461345	0,6393067	0,5249867	0,6525357	0,3486477	0,3911168	0,4053441
1100	0,3184241	0,8417088	0,4094646	0,1200552	0,7172833	0,4375721	0,4579738	0,2269615	0,1987885	0,5796312	0,5802742	0,4941024	0,6827306	0,4545744	0,5876870	0,4934629	0,0586871	0,7141881	0,5630013	0,5936713	0,0719653	0,1998397	0,1015916	0,6603605	0,5434480	0,2338535	0,6650635	0,6067035	0,5198203	0,3021339	0,4169742	0,4719537

0	0,3168764	0,7432204	0,3037681	0,0732999	0,6638436	0,4052410	0,4239565	0,2004932	0,2655084	0,4603887	0,6787761	0,5903960	0,7084086	0,6402770	0,6671794	0,4483316	0,0290773	0,7140095	0,6697389	0,5238351	0,0932176	0,1491317	0,0644609	0,7751926	0,5455057	0,2108391	0,5950349	0,5450995	0,7550918	0,2599432	0,4474429	0,3749618
20	0,3101408	0,6841149	0,4338971	0,1076801	0,6775787	0,3798435	0,4837348	0,2288948	0,3040389	0,5648477	0,6062787	0,4138713	0,6997305	0,5429376	0,6616406	0,5291636	0,0506943	0,9466142	0,5847019	0,5406563	0,0700212	0,1696991	0,0404545	0,6556933	0,4709871	0,1730903	0,5320295	0,6228292	0,6935572	0,3560829	0,3641290	0,4315444
40	0,2537827	0,7482865	0,3086431	0,1296055	0,6650813	0,4036382	0,4651450	0,1710465	0,3185192	0,6595667	0,6143123	0,5233227	0,7674020	0,4673727	0,5243585	0,5376078	0,0837498	0,5897476	0,5781738	0,5303833	0,0880142	0,1198918	0,0430629	0,5243764	0,4535730	0,1406154	0,5481045	0,5890823	0,9334885	0,3837590	0,4395225	0,4442710
60	0,2379540	0,8613282	0,3961564	0,1627013	0,6442915	0,5249403	0,5187471	0,2971252	0,3945631	0,5161218	0,7523633	0,5013288	0,6166200	0,4950736	0,5314083	0,4478110	0,0516938	0,7064728	0,6418468	0,6124855	0,0658120	0,0549108	0,0342792	0,5178316	0,4889884	0,1642267	0,5171148	0,5342928	0,7380037	0,3893086	0,5571314	0,4088757
80	0,2263180	0,7132343	0,3887484	0,1087110	0,6062207	0,6395916	0,4460381	0,3332795	0,3786040	0,4306668	0,6639854	0,4800980	0,7143253	0,5913787	0,5444795	0,4984960	0,0403027	0,6511382	0,6818060	0,5774356	0,0808080	0,1271442	0,0502395	0,6509777	0,4589295	0,2143371	0,5494810	0,4960776	0,8348794	0,5306484	0,5369211	0,5523620
100	0,2900325	0,7736390	0,4288228	0,1457824	0,6815097	0,4787446	0,4233348	0,4049189	0,3202645	0,4919623	0,6842281	0,4797207	0,5993512	0,6277725	0,5769410	0,5105113	0,0783312	0,6587396	0,6330913	0,6158663	0,0667867	0,1052422	0,0542928	0,4645326	0,4699213	0,1422946	0,4441564	0,5501601	0,6983913	0,4924205	0,5804232	0,4242922
120	0,2056343	0,7781644	0,4365274	0,1363690	0,6821378	0,4734200	0,4332554	0,3400535	0,3462118	0,7035441	0,6967881	0,4642865	0,7319422	0,5817082	0,5314772	0,5859318	0,0454174	0,6646819	0,5139915	0,6809505	0,0711501	0,0969105	0,0310943	0,5945262	0,5149856	0,2092819	0,5397274	0,7341544	0,7234065	0,5718228	0,5942274	0,4336883
140	0,1719887	0,7582503	0,3016943	0,1603083	0,6713959	0,4831578	0,4828233	0,3136159	0,2697911	0,5281181	0,5818852	0,5094512	0,7136996	0,5502337	0,5895729	0,5142217	0,0634486	0,7996242	0,6602670	0,5331091	0,0653239	0,0852817	0,0386556	0,5444336	0,4127781	0,1931451	0,5968961	0,6111872	0,7366046	0,7335535	0,7366815	0,5051885
160	0,3190332	0,6406288	0,3136685	0,1094330	0,6065063	0,4268562	0,4561671	0,2325969	0,3644370	0,4185890	0,5949861	0,4810508	0,6207826	0,5827487	0,5245348	0,5102630	0,0445298	0,7401373	0,6504624	0,6573241	0,0827582	0,0814407	0,0067179	0,5807083	0,4093247	0,1705583	0,5532768	0,5800727	0,7846908	0,8093040	0,6660000	0,5695575
180	0,2218980	0,6621819	0,3126500	0,1381114	0,6112657	0,5192639	0,3828423	0,2921406	0,2863008	0,5217561	0,5805572	0,4270459	0,7556767	0,6676143	0,4495964	0,5216960	0,0561673	0,6437277	0,6047203	0,9194370	0,0292291	0,0689167	0,0262131	0,5752880	0,3844822	0,1872414	0,5816587	0,4820952	0,6937791	0,6336196	0,6318616	0,5141802
200	0,1846221	0,7455298	0,3381889	0,1382535	0,6331207	0,5020559	0,5091542	0,2831254	0,3327401	0,4901158	0,5498879	0,4630375	0,5111179	0,6480656	0,6986555	0,6088603	0,0633013	0,7510152	0,5075068	0,7743129	0,0561445	0,0768452	0,0062795	0,6759574	0,4964923	0,1413870	0,6035632	0,5585176	0,6844820	0,6772505	0,6574579	0,5368068
220	0,1616402	0,7710273	0,3240207	0,2248541	0,6977634	0,4803609	0,5079970	0,2669229	0,2971742	0,5711913	0,7682349	0,4448591	0,6255245	0,5883393	0,5806115	0,5150428	0,0704286	0,6329001	0,4870670	0,7283315	0,0451696	0,0860125	0,0079407	0,6246020	0,4624461	0,1722066	0,6201886	0,4976141	0,8045562	0,7707077	0,6033500	0,4826660
