"Time"	slyA	hlyE	hns	cspA	bolA	stpA	bglJ	leuO	cadC	nhaR	bglF	bglB	bglG	yjjQ	nhaA	osmC	cadB	cadA	gspB	leuA	ampC	yciF	proW	smtA	leuC	gspO	yciG	pgaC	proV	pgaA	leuL	pgaB
980	0,7561272	0,8252224	0,6198521	0,5908719	0,0530853	0,3822350	0,0270734	0,0175397	0,6414014	0,6035043	0,0733926	0,0257106	0,2263161	0,1300515	0,1078087	0,3175223	0,5571273	0,5109496	0,6086248	0,0069994	0,7312723	0,2742360	0,0757244	0,4972903	0,0286435	0,1168741	0,0198847	0,6018703	0,0670569	0,6260516	0,0106214	0,2057348
1000	0,6114753	0,6216089	0,5574810	0,6873850	0,0877394	0,3848659	0,0064694	0,0368141	0,4916594	0,5661153	0,0682343	0,0231138	0,2201292	0,1467076	0,1918169	0,3546835	0,4269714	0,6098344	0,6117956	0,0104075	0,5985343	0,3199769	0,0482764	0,6187981	0,0312383	0,1098285	0,0497813	0,6585906	0,0405118	0,4992723	0,0190136	0,1783554
1020	0,7340397	0,7866980	0,7099397	0,6720204	0,0317953	0,3827275	0,0225132	0,0304009	0,5569598	0,6158746	0,0565433	0,0219141	0,1989053	0,1168174	0,1753604	0,3465722	0,5137901	0,5277096	0,5247821	0,0207398	0,8028151	0,3010971	0,1313680	0,5043440	0,0431402	0,0693339	0,0388323	0,6892600	0,0325456	0,6770749	0,0159970	0,1449347
1040	0,7339820	0,7469130	0,5986946	0,6918141	0,0486912	0,3865806	0,0136188	0,0580885	0,5297319	0,4701352	0,0498725	0,0094387	0,2803072	0,1185490	0,1577070	0,4182496	0,4555857	0,6085939	0,5048718	0,0066854	0,7597151	0,2716799	0,1326703	0,5409863	0,0352151	0,0825097	0,0622727	0,6566166	0,0229909	0,6692049	0,0175741	0,2411594
1060	0,9023149	0,7328980	0,6850451	0,7652114	0,0739816	0,3921445	0,0241339	0,0430088	0,4486109	0,4790416	0,0451957	0,0168821	0,2771013	0,1339050	0,1241183	0,3489824	0,5387988	0,5560505	0,5656392	0,0084512	0,6545348	0,2862707	0,0636612	0,5670501	0,0269117	0,1219418	0,0542249	0,6967392	0,0362946	0,6606419	0,0534849	0,2211515
1080	0,7398437	0,6937421	0,6613820	0,7787388	0,0867672	0,3897737	0,0177876	0,0684579	0,6275158	0,6220626	0,0309240	0,0212527	0,3520404	0,1434357	0,0973811	0,3004787	0,4882849	0,6089457	0,5384418	0,0038056	0,6935868	0,4277589	0,0656497	0,4739474	0,0378061	0,1411818	0,0629562	0,7446438	0,0199511	0,7017598	0,0622934	0,2410879
1100	0,6906885	0,5857135	0,6680502	0,7637003	0,0499563	0,3018550	0,0204474	0,0282581	0,5026872	0,5554030	0,0669687	0,0235411	0,2768224	0,1174962	0,1941188	0,3561459	0,4802568	0,5691771	0,4361746	0,0025555	0,6936145	0,4059545	0,0794363	0,4726209	0,0232060	0,0759025	0,0401009	0,7355243	0,0161327	0,5854861	0,0352808	0,2556969

0	0,7955629	0,8262310	0,6362067	0,7638796	0,0459408	0,3979729	0,0165867	0,0719270	0,4623946	0,5149244	0,0395264	0,0282959	0,3231120	0,1572762	0,1131093	0,3237639	0,4321872	0,5225223	0,4668605	0,0070952	0,6770964	0,3296641	0,0777204	0,5212834	0,0359133	0,0965452	0,0605739	0,7487296	0,0543359	0,6064773	0,0108385	0,2440852
20	0,7680534	0,7543590	0,7019349	0,6864672	0,0460457	0,3945046	0,0493331	0,0488356	0,4210722	0,5277572	0,0231254	0,0226250	0,2335392	0,2138554	0,1583013	0,3829147	0,3877949	0,4092439	0,4515275	0,0055617	0,7327738	0,1946434	0,0577627	0,4718037	0,0393817	0,0969524	0,0421678	0,7606168	0,0315088	0,5102320	0,0013606	0,3079410
40	0,7420724	0,6391455	0,7107519	0,4737774	0,0595882	0,4387263	0,2153385	0,0779476	0,4582353	0,5612130	0,0572664	0,0153595	0,2623871	0,1645509	0,1904272	0,4443997	0,3483903	0,3522521	0,5624335	0,0103537	0,7102447	0,2400442	0,0769827	0,5272110	0,0343971	0,0584990	0,0199687	0,7547868	0,0128984	0,5269426	0,0058110	0,3885996
60	0,7687394	0,7110863	0,5662738	0,4558665	0,0460370	0,3055673	0,2429951	0,1504984	0,3436309	0,5115235	0,1498991	0,0109033	0,3886344	0,1908976	0,1080909	0,3239236	0,3246761	0,2558831	0,6494585	0,0230314	0,5165162	0,2123356	0,0597755	0,6686694	0,0472058	0,0283320	0,0351448	0,7967089	0,0100136	0,5839765	0,0071075	0,4599598
80	0,7358398	0,8055729	0,7768478	0,3826699	0,0273233	0,3064805	0,3787582	0,2122249	0,3789200	0,5354402	0,2014674	0,0364081	0,3728255	0,1528692	0,1184553	0,4954513	0,2812581	0,1926455	0,3911185	0,0329520	0,5936192	0,2091758	0,0897276	0,5588230	0,0842625	0,0444147	0,0398998	0,6695972	0,0194903	0,5913612	0,0087206	0,4487199
100	0,9037042	0,9125450	0,6276621	0,2860142	0,0248162	0,3324701	0,5136659	0,1788611	0,3749359	0,5971702	0,2726252	0,0612581	0,6190980	0,2484960	0,1228945	0,3984864	0,3804448	0,0976771	0,4601613	0,0267120	0,3604113	0,1261219	0,0814230	0,4829257	0,1119869	0,0421192	0,0248767	0,6027958	0,0225237	0,6396768	0,0179761	0,5343224
120	0,6943244	0,8007336	0,5792207	0,2225436	0,0096558	0,3847164	0,5705535	0,2531010	0,3837236	0,4622205	0,3535028	0,0532475	0,4872809	0,1190147	0,1197003	0,3631835	0,3608435	0,1235147	0,6399439	0,0686467	0,3370016	0,1729906	0,1117298	0,6212331	0,1607601	0,0335066	0,0507331	0,6561661	0,0130760	0,5166858	0,0101841	0,6005599
140	0,6593482	0,7051826	0,7622227	0,1918170	0,0182303	0,4166542	0,5270677	0,2863689	0,3428365	0,4878638	0,4787860	0,1122734	0,6450977	0,2424711	0,1047391	0,3373633	0,3625259	0,0549529	0,5254940	0,1008585	0,3599110	0,1770867	0,0779614	0,7111371	0,2992218	0,0183078	0,0512189	0,6542663	0,0190367	0,6062084	0,0124815	0,6581375
160	0,8561143	0,6508470	0,6083122	0,1530326	0,0161136	0,4147441	0,5782282	0,3021941	0,4181424	0,4977823	0,3476161	0,1441991	0,6823362	0,3566979	0,1058171	0,5036227	0,3171151	0,0270856	0,5503968	0,0929756	0,2898107	0,1479196	0,0972937	0,7101981	0,2386450	0,0329776	0,0412876	0,7543491	0,0328507	0,5724083	0,0666451	0,5995017
180	0,7196538	0,7760171	0,5909429	0,1314672	0,0042424	0,3597563	0,5418967	0,3674634	0,3494656	0,4121798	0,4104463	0,1576180	0,6546405	0,3081467	0,1241582	0,3599825	0,1779798	0,0396884	0,5244195	0,1024256	0,3456197	0,1614755	0,0820383	0,5604267	0,2801951	0,0167835	0,0466213	0,7920506	0,0243101	0,4701361	0,0526237	0,8683052
200	0,7204952	0,6189961	0,5753509	0,0953897	0,0056611	0,3698240	0,5630940	0,3669156	0,4300175	0,4772696	0,5277369	0,1874132	0,6128310	0,2899604	0,0958553	0,3504823	0,2860936	0,0275934	0,5530743	0,2193342	0,3362759	0,1044872	0,0557353	0,6303155	0,3037810	0,0340899	0,0730989	0,6861959	0,0306472	0,5329901	0,0842227	0,6332700
220	0,7381994	0,9546029	0,6188048	0,1520879	0,0051312	0,4076902	0,5816971	0,2850927	0,2536427	0,4793414	0,3852298	0,1301813	0,6898634	0,3498802	0,0915883	0,3375265	0,2726609	0,0287998	0,4715550	0,1571342	0,3162494	0,0926606	0,0573702	0,6754456	0,3249708	0,0398828	0,0191954	0,6996254	0,0528770	0,5651786	0,1040191	0,7379664
